,NO_5_NO_1,NO_1_NO_5,NO_5_NO_2,NO_2_NO_5,NO_5_NO_3,NO_3_NO_5,NO_5_NO_1_net_export,NO_5_NO_2_net_export,NO_5_NO_3_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,339.2387915,0.0,0.0,87.50864925,0.0,461.64797775,339.2387915,-87.50864925,-461.64797775,-209.91783550000002,None,NO_5,2026-04-23
2026-01-01 01:00:00+00:00,214.78943175,0.0,0.0,117.54629225000001,0.0,360.15174824999997,214.78943175,-117.54629225000001,-360.15174824999997,-262.90860875,None,NO_5,2026-04-23
2026-01-01 02:00:00+00:00,146.03868925,0.0,0.0,142.38577,0.0,215.364663,146.03868925,-142.38577,-215.364663,-211.71174375,None,NO_5,2026-04-23
2026-01-01 03:00:00+00:00,225.34079,0.0,0.0,104.141261,0.0,99.28559874999999,225.34079,-104.141261,-99.28559874999999,21.913930250000007,None,NO_5,2026-04-23
2026-01-01 04:00:00+00:00,333.16971325,0.0,0.0,100.59412499999999,9.42680575,9.8546315,333.16971325,-100.59412499999999,-0.4278257500000002,232.14776249999997,None,NO_5,2026-04-23
2026-01-01 05:00:00+00:00,341.68688725,0.0,0.0,155.52558775,77.746609,0.0,341.68688725,-155.52558775,77.746609,263.90790849999996,None,NO_5,2026-04-23
2026-01-01 06:00:00+00:00,422.246505,0.0,0.0,127.91469375,87.53541575,0.0,422.246505,-127.91469375,87.53541575,381.86722699999996,None,NO_5,2026-04-23
2026-01-01 07:00:00+00:00,533.23382875,0.0,0.0,83.5085955,102.67635200000001,0.0,533.23382875,-83.5085955,102.67635200000001,552.40158525,None,NO_5,2026-04-23
2026-01-01 08:00:00+00:00,569.6720417500001,0.0,0.0,73.60047225,86.49929375,0.0,569.6720417500001,-73.60047225,86.49929375,582.5708632500001,None,NO_5,2026-04-23
2026-01-01 09:00:00+00:00,797.17035575,0.0,5.1429575,13.666561999999999,13.754122,0.0,797.17035575,-8.5236045,13.754122,802.40087325,None,NO_5,2026-04-23
2026-01-01 10:00:00+00:00,960.4457485,0.0,47.0222835,0.0,0.0,70.826286,960.4457485,47.0222835,-70.826286,936.641746,None,NO_5,2026-04-23
2026-01-01 11:00:00+00:00,543.95257925,0.0,0.0,153.08216825,0.0,172.24289775,543.95257925,-153.08216825,-172.24289775,218.62751325,None,NO_5,2026-04-23
2026-01-01 12:00:00+00:00,687.85574775,0.0,0.0,106.65136275,0.0,217.93338849999998,687.85574775,-106.65136275,-217.93338849999998,363.2709965,None,NO_5,2026-04-23
2026-01-01 13:00:00+00:00,873.777598,0.0,5.48892425,21.057872,0.0,322.07507,873.777598,-15.56894775,-322.07507,536.13358025,None,NO_5,2026-04-23
2026-01-01 14:00:00+00:00,828.8846975,0.0,0.0,27.371661,0.0,404.13139625,828.8846975,-27.371661,-404.13139625,397.38164025,None,NO_5,2026-04-23
2026-01-01 15:00:00+00:00,836.2033395,0.0,0.0,44.506337,0.0,426.579846,836.2033395,-44.506337,-426.579846,365.11715649999996,None,NO_5,2026-04-23
2026-01-01 16:00:00+00:00,980.4604515,0.0,46.224914,0.0,0.0,398.15556625,980.4604515,46.224914,-398.15556625,628.52979925,None,NO_5,2026-04-23
2026-01-01 17:00:00+00:00,952.48867075,0.0,13.411308499999999,0.5717765,0.0,428.8717345,952.48867075,12.839531999999998,-428.8717345,536.45646825,None,NO_5,2026-04-23
2026-01-01 18:00:00+00:00,835.86919375,0.0,4.81907325,20.076477750000002,0.0,450.5291945,835.86919375,-15.257404500000003,-450.5291945,370.08259475,None,NO_5,2026-04-23
2026-01-01 19:00:00+00:00,643.35488175,0.0,0.0,79.476499,0.0,418.90649025,643.35488175,-79.476499,-418.90649025,144.97189250000002,None,NO_5,2026-04-23
2026-01-01 20:00:00+00:00,576.078893,0.0,0.0,86.57207100000001,0.0,481.54805925,576.078893,-86.57207100000001,-481.54805925,7.958762750000005,None,NO_5,2026-04-23
2026-01-01 21:00:00+00:00,515.8523917499999,0.0,0.0,94.40366925000001,0.0,424.80698425,515.8523917499999,-94.40366925000001,-424.80698425,-3.3582617500001106,None,NO_5,2026-04-23
2026-01-01 22:00:00+00:00,614.20050125,0.0,0.0,84.877308,0.0,342.45789975,614.20050125,-84.877308,-342.45789975,186.8652935,None,NO_5,2026-04-23
2026-01-01 23:00:00+00:00,759.2151605,0.0,0.28274875,21.63722575,0.0,205.3364075,759.2151605,-21.354477,-205.3364075,532.5242760000001,None,NO_5,2026-04-23
2026-01-02 00:00:00+00:00,648.73461675,0.0,0.0,83.03272825,0.0,174.43102075000002,648.73461675,-83.03272825,-174.43102075000002,391.27086775,None,NO_5,2026-04-23
2026-01-02 01:00:00+00:00,422.48046575,0.0,0.0,177.43257225000002,0.0,185.0930805,422.48046575,-177.43257225000002,-185.0930805,59.95481299999997,None,NO_5,2026-04-23
2026-01-02 02:00:00+00:00,524.4087657499999,0.0,0.0,140.5777785,0.0,161.48491825000002,524.4087657499999,-140.5777785,-161.48491825000002,222.3460689999999,None,NO_5,2026-04-23
2026-01-02 03:00:00+00:00,507.9756245,0.0,0.0,154.73861025,0.0,153.35606525,507.9756245,-154.73861025,-153.35606525,199.88094900000002,None,NO_5,2026-04-23
2026-01-02 04:00:00+00:00,508.962903,0.0,0.0,138.47383075,0.0,178.63304775,508.962903,-138.47383075,-178.63304775,191.8560245,None,NO_5,2026-04-23
2026-01-02 05:00:00+00:00,825.565036,0.0,0.0,113.93225749999999,0.0,294.86628475,825.565036,-113.93225749999999,-294.86628475,416.76649375,None,NO_5,2026-04-23
2026-01-02 06:00:00+00:00,1234.92807075,0.0,0.0,135.00095525,0.0,237.67535825000002,1234.92807075,-135.00095525,-237.67535825000002,862.2517572499999,None,NO_5,2026-04-23
2026-01-02 07:00:00+00:00,1222.775536,0.0,0.0,155.2887365,0.0,254.87061525000001,1222.775536,-155.2887365,-254.87061525000001,812.6161842500002,None,NO_5,2026-04-23
2026-01-02 08:00:00+00:00,1179.683724,0.0,0.0,160.67460749999998,0.0,190.0778875,1179.683724,-160.67460749999998,-190.0778875,828.931229,None,NO_5,2026-04-23
2026-01-02 09:00:00+00:00,1210.2175,0.0,0.0,168.486143,0.0,206.54658225,1210.2175,-168.486143,-206.54658225,835.1847747499999,None,NO_5,2026-04-23
2026-01-02 10:00:00+00:00,1069.01124025,0.0,0.0,207.143516,0.0,250.6282995,1069.01124025,-207.143516,-250.6282995,611.2394247499999,None,NO_5,2026-04-23
2026-01-02 11:00:00+00:00,1128.519971,0.0,0.0,129.34489274999999,0.0,204.07191949999998,1128.519971,-129.34489274999999,-204.07191949999998,795.1031587499999,None,NO_5,2026-04-23
2026-01-02 12:00:00+00:00,1241.0200224999999,0.0,0.0,72.06938425000001,0.0,113.579128,1241.0200224999999,-72.06938425000001,-113.579128,1055.3715102499998,None,NO_5,2026-04-23
2026-01-02 13:00:00+00:00,1396.793459,0.0,67.68677600000001,22.651311749999998,0.0,54.29390425,1396.793459,45.03546425000001,-54.29390425,1387.535019,None,NO_5,2026-04-23
2026-01-02 14:00:00+00:00,2133.0397675,0.0,371.448613,0.0,0.0,145.49816775,2133.0397675,371.448613,-145.49816775,2358.99021275,None,NO_5,2026-04-23
2026-01-02 15:00:00+00:00,2221.02060725,0.0,515.92165825,0.0,0.0,124.85835325,2221.02060725,515.92165825,-124.85835325,2612.0839122499997,None,NO_5,2026-04-23
2026-01-02 16:00:00+00:00,2229.30810125,0.0,513.4537760000001,0.0,0.0,98.10978025,2229.30810125,513.4537760000001,-98.10978025,2644.652097,None,NO_5,2026-04-23
2026-01-02 17:00:00+00:00,2343.18370375,0.0,594.8320105,0.0,0.0,135.40440825,2343.18370375,594.8320105,-135.40440825,2802.6113060000002,None,NO_5,2026-04-23
2026-01-02 18:00:00+00:00,2236.1390057500003,0.0,540.98732875,0.0,0.0,148.7872505,2236.1390057500003,540.98732875,-148.7872505,2628.339084,None,NO_5,2026-04-23
2026-01-02 19:00:00+00:00,1935.64692725,0.0,502.52622725000003,0.0,0.0,211.78528,1935.64692725,502.52622725000003,-211.78528,2226.3878745,None,NO_5,2026-04-23
2026-01-02 20:00:00+00:00,2096.25081925,0.0,589.3948295,0.0,0.0,255.026601,2096.25081925,589.3948295,-255.026601,2430.61904775,None,NO_5,2026-04-23
2026-01-02 21:00:00+00:00,1845.2185992500001,0.0,549.278033,0.0,0.0,289.92223975,1845.2185992500001,549.278033,-289.92223975,2104.5743925000006,None,NO_5,2026-04-23
2026-01-02 22:00:00+00:00,1981.14806825,0.0,622.57388575,0.0,0.0,290.89128875,1981.14806825,622.57388575,-290.89128875,2312.83066525,None,NO_5,2026-04-23
2026-01-02 23:00:00+00:00,2178.837615,0.0,760.660184,0.0,0.0,426.03596375,2178.837615,760.660184,-426.03596375,2513.4618352499997,None,NO_5,2026-04-23
2026-01-03 00:00:00+00:00,2080.9094005,0.0,713.1468777499999,0.0,0.0,524.2627725,2080.9094005,713.1468777499999,-524.2627725,2269.79350575,None,NO_5,2026-04-23
2026-01-03 01:00:00+00:00,1856.79979825,0.0,654.301743,0.0,0.0,561.4620335,1856.79979825,654.301743,-561.4620335,1949.6395077500001,None,NO_5,2026-04-23
2026-01-03 02:00:00+00:00,1850.1253445,0.0,615.32265375,0.0,0.0,453.0997445,1850.1253445,615.32265375,-453.0997445,2012.3482537499997,None,NO_5,2026-04-23
2026-01-03 03:00:00+00:00,1675.783361,0.0,492.905112,0.0,0.0,479.20218375,1675.783361,492.905112,-479.20218375,1689.48628925,None,NO_5,2026-04-23
2026-01-03 04:00:00+00:00,1759.13021075,0.0,538.296069,0.0,0.0,480.319456,1759.13021075,538.296069,-480.319456,1817.10682375,None,NO_5,2026-04-23
2026-01-03 05:00:00+00:00,1819.39251275,0.0,570.17331125,0.0,0.0,457.01838875,1819.39251275,570.17331125,-457.01838875,1932.5474352499998,None,NO_5,2026-04-23
2026-01-03 06:00:00+00:00,2049.17815375,0.0,612.913223,0.0,0.0,392.03213125,2049.17815375,612.913223,-392.03213125,2270.0592455,None,NO_5,2026-04-23
