,ME_BA,BA_ME,ME_RS,RS_ME,ME_IT_CSUD,IT_CSUD_ME,ME_BA_net_export,ME_RS_net_export,ME_IT_CSUD_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,629.268,0.0,52.3098,51.75,0.0,-629.268,-52.3098,51.75,-629.8278,None,ME,2026-04-23
2026-01-01 01:00:00+00:00,0.0,659.149225,0.0,92.6183,78.25,0.0,-659.149225,-92.6183,78.25,-673.517525,None,ME,2026-04-23
2026-01-01 02:00:00+00:00,0.0,680.018725,0.0,104.6949,121.0,0.0,-680.018725,-104.6949,121.0,-663.713625,None,ME,2026-04-23
2026-01-01 03:00:00+00:00,0.0,731.511725,0.0,116.5298,178.75,0.0,-731.511725,-116.5298,178.75,-669.291525,None,ME,2026-04-23
2026-01-01 04:00:00+00:00,0.0,700.21165,0.0,98.2646,179.5,0.0,-700.21165,-98.2646,179.5,-618.9762499999999,None,ME,2026-04-23
2026-01-01 05:00:00+00:00,0.0,713.089975,0.0,118.2546,165.5,0.0,-713.089975,-118.2546,165.5,-665.844575,None,ME,2026-04-23
2026-01-01 06:00:00+00:00,0.0,437.611125,60.5868,0.0,141.5,0.0,-437.611125,60.5868,141.5,-235.52432500000003,None,ME,2026-04-23
2026-01-01 07:00:00+00:00,148.231425,77.0534,400.4754,0.0,159.25,0.0,71.178025,400.4754,159.25,630.903425,None,ME,2026-04-23
2026-01-01 08:00:00+00:00,350.130075,24.662,579.3313,0.0,155.75,0.0,325.468075,579.3313,155.75,1060.549375,None,ME,2026-04-23
2026-01-01 09:00:00+00:00,193.968,36.8158,486.9381,0.0,162.25,0.0,157.1522,486.9381,162.25,806.3403000000001,None,ME,2026-04-23
2026-01-01 10:00:00+00:00,58.03,73.63865,397.2625,0.0,164.25,0.0,-15.608649999999997,397.2625,164.25,545.9038499999999,None,ME,2026-04-23
2026-01-01 11:00:00+00:00,62.01,68.22055,376.2987,0.0,162.0,0.0,-6.210550000000005,376.2987,162.0,532.08815,None,ME,2026-04-23
2026-01-01 12:00:00+00:00,23.166,203.482775,267.9632,0.0,162.0,0.0,-180.316775,267.9632,162.0,249.64642499999997,None,ME,2026-04-23
2026-01-01 13:00:00+00:00,3.498,451.91785,91.4893,0.0,159.5,0.0,-448.41985,91.4893,159.5,-197.43054999999998,None,ME,2026-04-23
2026-01-01 14:00:00+00:00,0.0,908.53625,0.0,151.0748,71.5,0.0,-908.53625,-151.0748,71.5,-988.11105,None,ME,2026-04-23
2026-01-01 15:00:00+00:00,0.0,787.418025,0.0,189.432,104.5,0.0,-787.418025,-189.432,104.5,-872.350025,None,ME,2026-04-23
2026-01-01 16:00:00+00:00,0.0,763.7004,0.0,183.4226,71.0,0.0,-763.7004,-183.4226,71.0,-876.1229999999999,None,ME,2026-04-23
2026-01-01 17:00:00+00:00,0.0,803.48885,0.0,191.4142,73.5,0.0,-803.48885,-191.4142,73.5,-921.4030499999999,None,ME,2026-04-23
2026-01-01 18:00:00+00:00,0.0,788.60535,0.0,197.5555,58.25,0.0,-788.60535,-197.5555,58.25,-927.91085,None,ME,2026-04-23
2026-01-01 19:00:00+00:00,0.0,855.725175,0.0,147.1749,73.0,0.0,-855.725175,-147.1749,73.0,-929.900075,None,ME,2026-04-23
2026-01-01 20:00:00+00:00,0.0,863.60785,0.0,166.6057,0.75,0.0,-863.60785,-166.6057,0.75,-1029.46355,None,ME,2026-04-23
2026-01-01 21:00:00+00:00,0.0,789.600475,0.0,136.8538,0.5,0.0,-789.600475,-136.8538,0.5,-925.9542749999999,None,ME,2026-04-23
2026-01-01 22:00:00+00:00,0.0,870.41945,0.0,196.9537,50.75,0.0,-870.41945,-196.9537,50.75,-1016.6231499999999,None,ME,2026-04-23
2026-01-01 23:00:00+00:00,0.0,856.214825,0.0,219.6363,70.0,0.0,-856.214825,-219.6363,70.0,-1005.8511250000001,None,ME,2026-04-23
2026-01-02 00:00:00+00:00,0.0,855.685,0.0,233.918,70.5,0.0,-855.685,-233.918,70.5,-1019.1030000000001,None,ME,2026-04-23
2026-01-02 01:00:00+00:00,0.0,843.647775,0.0,233.0191,70.5,0.0,-843.647775,-233.0191,70.5,-1006.1668750000001,None,ME,2026-04-23
2026-01-02 02:00:00+00:00,0.0,811.987075,0.0,224.4796,70.5,0.0,-811.987075,-224.4796,70.5,-965.9666750000001,None,ME,2026-04-23
2026-01-02 03:00:00+00:00,0.0,759.3478,0.0,190.579,70.75,0.0,-759.3478,-190.579,70.75,-879.1768,None,ME,2026-04-23
2026-01-02 04:00:00+00:00,0.0,761.48595,0.0,187.6746,70.5,0.0,-761.48595,-187.6746,70.5,-878.6605500000001,None,ME,2026-04-23
2026-01-02 05:00:00+00:00,0.0,743.332975,0.0,168.3051,70.75,0.0,-743.332975,-168.3051,70.75,-840.8880750000001,None,ME,2026-04-23
2026-01-02 06:00:00+00:00,0.0,598.40305,0.0,38.4179,70.5,0.0,-598.40305,-38.4179,70.5,-566.32095,None,ME,2026-04-23
2026-01-02 07:00:00+00:00,20.988,233.886775,221.5909,0.0,70.75,0.0,-212.898775,221.5909,70.75,79.442125,None,ME,2026-04-23
2026-01-02 08:00:00+00:00,66.26805,79.829,351.8385,0.0,70.5,0.0,-13.560949999999991,351.8385,70.5,408.77755,None,ME,2026-04-23
2026-01-02 09:00:00+00:00,148.799875,33.605,393.7283,0.0,70.25,0.0,115.194875,393.7283,70.25,579.173175,None,ME,2026-04-23
2026-01-02 10:00:00+00:00,213.18315,32.384,424.7525,0.0,70.5,0.0,180.79915,424.7525,70.5,676.05165,None,ME,2026-04-23
2026-01-02 11:00:00+00:00,92.92005,47.357,371.276,0.0,69.25,0.0,45.563050000000004,371.276,69.25,486.08905000000004,None,ME,2026-04-23
2026-01-02 12:00:00+00:00,45.99015,98.874,303.2078,0.0,0.75,0.0,-52.883849999999995,303.2078,0.75,251.07395000000002,None,ME,2026-04-23
2026-01-02 13:00:00+00:00,2.343,329.94255,144.1647,0.0,0.5,0.0,-327.59954999999997,144.1647,0.5,-182.93484999999995,None,ME,2026-04-23
2026-01-02 14:00:00+00:00,0.462,583.47975,0.0,98.6002,0.25,0.0,-583.01775,-98.6002,0.25,-681.36795,None,ME,2026-04-23
2026-01-02 15:00:00+00:00,0.33,602.42965,0.0,130.2302,0.5,0.0,-602.09965,-130.2302,0.5,-731.82985,None,ME,2026-04-23
2026-01-02 16:00:00+00:00,10.164,540.413325,0.0,129.811,0.5,0.0,-530.249325,-129.811,0.5,-659.560325,None,ME,2026-04-23
2026-01-02 17:00:00+00:00,24.684,487.115075,0.0,116.0796,0.25,0.0,-462.43107499999996,-116.0796,0.25,-578.260675,None,ME,2026-04-23
2026-01-02 18:00:00+00:00,7.062,533.2368,0.0,107.7593,0.5,0.0,-526.1748,-107.7593,0.5,-633.4341,None,ME,2026-04-23
2026-01-02 19:00:00+00:00,1.65,554.34195,0.0,113.072,0.5,0.0,-552.69195,-113.072,0.5,-665.26395,None,ME,2026-04-23
2026-01-02 20:00:00+00:00,5.28,476.910775,8.9624,0.0,0.25,0.0,-471.630775,8.9624,0.25,-462.418375,None,ME,2026-04-23
2026-01-02 21:00:00+00:00,0.0,413.038325,124.194,0.0,0.5,0.0,-413.038325,124.194,0.5,-288.34432499999997,None,ME,2026-04-23
2026-01-02 22:00:00+00:00,0.066,385.901125,157.9393,0.0,0.5,0.0,-385.835125,157.9393,0.5,-227.395825,None,ME,2026-04-23
2026-01-02 23:00:00+00:00,2.706,184.409475,282.5223,0.0,0.5,0.0,-181.703475,282.5223,0.5,101.31882499999998,None,ME,2026-04-23
2026-01-03 00:00:00+00:00,4.62,151.674775,290.3442,0.0,0.5,0.0,-147.054775,290.3442,0.5,143.789425,None,ME,2026-04-23
2026-01-03 01:00:00+00:00,10.23,114.19025,294.4993,0.0,0.5,0.0,-103.96025,294.4993,0.5,191.03905,None,ME,2026-04-23
2026-01-03 02:00:00+00:00,18.976,84.37755,303.6714,0.0,0.75,0.0,-65.40155,303.6714,0.75,239.01985000000002,None,ME,2026-04-23
2026-01-03 03:00:00+00:00,49.85,47.43955,331.0954,0.0,0.75,0.0,2.4104500000000044,331.0954,0.75,334.25585,None,ME,2026-04-23
2026-01-03 04:00:00+00:00,51.223,49.136,308.2176,0.0,0.5,0.0,2.086999999999996,308.2176,0.5,310.8046,None,ME,2026-04-23
2026-01-03 05:00:00+00:00,28.791225,91.987075,238.1167,0.0,0.5,0.0,-63.19585000000001,238.1167,0.5,175.42085,None,ME,2026-04-23
2026-01-03 06:00:00+00:00,32.140275,84.048,257.2467,0.0,0.75,0.0,-51.907725,257.2467,0.75,206.08897499999998,None,ME,2026-04-23
2026-01-03 07:00:00+00:00,201.7113,23.527,356.7307,0.0,0.25,0.0,178.1843,356.7307,0.25,535.165,None,ME,2026-04-23
2026-01-03 08:00:00+00:00,333.65255,18.491,417.2603,0.0,0.5,0.0,315.16155000000003,417.2603,0.5,732.92185,None,ME,2026-04-23
2026-01-03 09:00:00+00:00,259.7504,23.397,340.55,0.0,0.5,0.0,236.35340000000002,340.55,0.5,577.4034,None,ME,2026-04-23
2026-01-03 10:00:00+00:00,146.3967,37.246,226.1507,0.0,0.5,0.0,109.1507,226.1507,0.5,335.8014,None,ME,2026-04-23
2026-01-03 11:00:00+00:00,96.498,62.381725,163.8733,0.0,0.25,0.0,34.116275,163.8733,0.25,198.239575,None,ME,2026-04-23
2026-01-03 12:00:00+00:00,68.088,111.531175,116.1249,0.0,0.5,0.0,-43.44317500000001,116.1249,0.5,73.18172499999999,None,ME,2026-04-23
2026-01-03 13:00:00+00:00,31.614,239.47905,23.5004,0.0,0.5,0.0,-207.86505,23.5004,0.5,-183.86464999999998,None,ME,2026-04-23
2026-01-03 14:00:00+00:00,28.842,327.92035,0.0,29.5136,0.25,18.5,-299.07835,-29.5136,-18.25,-346.84195,None,ME,2026-04-23
2026-01-03 15:00:00+00:00,96.888,272.776125,0.0,25.5077,0.0,48.0,-175.88812499999997,-25.5077,-48.0,-249.39582499999997,None,ME,2026-04-23
2026-01-03 16:00:00+00:00,124.872,240.58345,22.7428,0.0,0.5,0.0,-115.71145,22.7428,0.5,-92.46865,None,ME,2026-04-23
2026-01-03 17:00:00+00:00,121.572,250.33495,6.4597,0.0,0.25,0.0,-128.76295,6.4597,0.25,-122.05324999999999,None,ME,2026-04-23
2026-01-03 18:00:00+00:00,107.052,290.052675,0.0,20.4146,0.5,0.0,-183.000675,-20.4146,0.5,-202.915275,None,ME,2026-04-23
2026-01-03 19:00:00+00:00,70.356,401.456625,0.0,99.9186,0.5,0.0,-331.100625,-99.9186,0.5,-430.519225,None,ME,2026-04-23
2026-01-03 20:00:00+00:00,58.146,385.5951,0.0,147.9508,0.5,0.0,-327.4491,-147.9508,0.5,-474.8999,None,ME,2026-04-23
2026-01-03 21:00:00+00:00,5.94,444.71865,0.0,140.9463,104.75,0.0,-438.77865,-140.9463,104.75,-474.97495000000004,None,ME,2026-04-23
2026-01-03 22:00:00+00:00,0.0,441.092225,6.5575,0.0,155.0,0.0,-441.092225,6.5575,155.0,-279.534725,None,ME,2026-04-23
2026-01-03 23:00:00+00:00,0.396,340.8468,100.6138,0.0,158.0,0.0,-340.45079999999996,100.6138,158.0,-81.83699999999996,None,ME,2026-04-23
2026-01-04 00:00:00+00:00,0.0,328.983125,96.8995,0.0,173.75,0.0,-328.983125,96.8995,173.75,-58.333624999999984,None,ME,2026-04-23
2026-01-04 01:00:00+00:00,10.802,217.882,87.0035,0.0,235.25,0.0,-207.08,87.0035,235.25,115.17349999999999,None,ME,2026-04-23
2026-01-04 02:00:00+00:00,32.379475,139.878,163.935,0.0,256.25,0.0,-107.49852499999999,163.935,256.25,312.68647500000003,None,ME,2026-04-23
2026-01-04 03:00:00+00:00,41.38685,115.228,237.8327,0.0,265.75,0.0,-73.84115,237.8327,265.75,429.74154999999996,None,ME,2026-04-23
2026-01-04 04:00:00+00:00,31.086575,176.052,234.3912,0.0,265.5,0.0,-144.96542499999998,234.3912,265.5,354.92577500000004,None,ME,2026-04-23
2026-01-04 05:00:00+00:00,42.721525,148.498,243.3797,0.0,247.75,0.0,-105.77647499999999,243.3797,247.75,385.353225,None,ME,2026-04-23
2026-01-04 06:00:00+00:00,37.577475,194.638,252.0185,0.0,277.75,0.0,-157.060525,252.0185,277.75,372.707975,None,ME,2026-04-23
2026-01-04 07:00:00+00:00,129.132225,58.779,413.2153,0.0,221.75,0.0,70.35322500000001,413.2153,221.75,705.318525,None,ME,2026-04-23
2026-01-04 08:00:00+00:00,151.58115,28.921,349.1662,0.0,141.75,0.0,122.66015000000002,349.1662,141.75,613.57635,None,ME,2026-04-23
2026-01-04 09:00:00+00:00,128.874825,35.614,334.7872,0.0,101.75,0.0,93.26082499999998,334.7872,101.75,529.7980249999999,None,ME,2026-04-23
2026-01-04 10:00:00+00:00,67.3672,153.738,285.9935,0.0,94.75,0.0,-86.3708,285.9935,94.75,294.3727,None,ME,2026-04-23
2026-01-04 11:00:00+00:00,27.27615,230.264175,184.744,0.0,87.5,0.0,-202.988025,184.744,87.5,69.255975,None,ME,2026-04-23
2026-01-04 12:00:00+00:00,33.902,246.018275,132.2368,0.0,103.25,0.0,-212.11627499999997,132.2368,103.25,23.370525000000015,None,ME,2026-04-23
2026-01-04 13:00:00+00:00,38.478,298.449675,76.3919,0.0,89.5,0.0,-259.971675,76.3919,89.5,-94.07977499999998,None,ME,2026-04-23
2026-01-04 14:00:00+00:00,29.898,370.5406,0.0,35.8605,52.0,0.0,-340.64259999999996,-35.8605,52.0,-324.50309999999996,None,ME,2026-04-23
2026-01-04 15:00:00+00:00,40.468925,276.766,0.0,8.4387,62.25,0.0,-236.297075,-8.4387,62.25,-182.48577500000002,None,ME,2026-04-23
2026-01-04 16:00:00+00:00,76.279125,195.945,105.2623,0.0,69.5,0.0,-119.665875,105.2623,69.5,55.096424999999996,None,ME,2026-04-23
2026-01-04 17:00:00+00:00,82.57055,166.846,135.6617,0.0,53.75,0.0,-84.27545,135.6617,53.75,105.13624999999999,None,ME,2026-04-23
2026-01-04 18:00:00+00:00,71.10175,173.359,180.6708,0.0,51.25,0.0,-102.25725000000001,180.6708,51.25,129.66355,None,ME,2026-04-23
2026-01-04 19:00:00+00:00,61.2506,220.71,127.3646,0.0,68.75,0.0,-159.45940000000002,127.3646,68.75,36.65519999999998,None,ME,2026-04-23
2026-01-04 20:00:00+00:00,76.5695,216.392,150.0194,0.0,83.25,0.0,-139.8225,150.0194,83.25,93.4469,None,ME,2026-04-23
2026-01-04 21:00:00+00:00,77.197725,164.773,110.5732,0.0,65.25,0.0,-87.57527499999999,110.5732,65.25,88.24792500000001,None,ME,2026-04-23
2026-01-04 22:00:00+00:00,130.7038,60.513,125.315,0.0,1.0,0.0,70.1908,125.315,1.0,196.5058,None,ME,2026-04-23
2026-01-04 23:00:00+00:00,121.92675,105.365,50.2205,0.0,92.25,0.0,16.561750000000004,50.2205,92.25,159.03225,None,ME,2026-04-23
2026-01-05 00:00:00+00:00,152.44605,56.907,121.7947,0.0,95.0,0.0,95.53905000000002,121.7947,95.0,312.33375,None,ME,2026-04-23
2026-01-05 01:00:00+00:00,144.940475,66.786,71.2206,0.0,95.5,0.0,78.15447499999999,71.2206,95.5,244.87507499999998,None,ME,2026-04-23
2026-01-05 02:00:00+00:00,158.804175,65.622,65.3265,0.0,124.25,0.0,93.18217499999999,65.3265,124.25,282.758675,None,ME,2026-04-23
2026-01-05 03:00:00+00:00,173.8107,51.279,104.3726,0.0,125.0,0.0,122.5317,104.3726,125.0,351.90430000000003,None,ME,2026-04-23
2026-01-05 04:00:00+00:00,168.51135,73.459,79.8885,0.0,120.25,0.0,95.05234999999999,79.8885,120.25,295.19084999999995,None,ME,2026-04-23
2026-01-05 05:00:00+00:00,220.059875,31.561,0.0,58.3081,1.0,0.0,188.498875,-58.3081,1.0,131.190775,None,ME,2026-04-23
2026-01-05 06:00:00+00:00,207.220875,37.775,0.0,111.8186,0.0,104.0,169.445875,-111.8186,-104.0,-46.372725,None,ME,2026-04-23
2026-01-05 07:00:00+00:00,327.174775,28.281,26.7678,0.0,0.0,294.0,298.893775,26.7678,-294.0,31.661575000000028,None,ME,2026-04-23
2026-01-05 08:00:00+00:00,243.179125,34.287,61.7801,0.0,0.0,294.0,208.892125,61.7801,-294.0,-23.32777500000003,None,ME,2026-04-23
2026-01-05 09:00:00+00:00,152.70175,39.226,0.0,12.6489,0.0,294.0,113.47575,-12.6489,-294.0,-193.17315,None,ME,2026-04-23
2026-01-05 10:00:00+00:00,42.931325,82.616,0.0,70.6746,0.0,294.0,-39.684675,-70.6746,-294.0,-404.359275,None,ME,2026-04-23
2026-01-05 11:00:00+00:00,29.3257,72.888,0.0,94.153,0.0,294.0,-43.56230000000001,-94.153,-294.0,-431.7153,None,ME,2026-04-23
2026-01-05 12:00:00+00:00,19.217375,94.204,0.0,77.0084,0.0,294.0,-74.98662499999999,-77.0084,-294.0,-445.995025,None,ME,2026-04-23
