,SE_1_FI,FI_SE_1,SE_1_NO_4,NO_4_SE_1,SE_1_SE_2,SE_2_SE_1,SE_1_FI_net_export,SE_1_NO_4_net_export,SE_1_SE_2_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,1778.375,0.0,211.16296925,0.0,0.0,616.9333799999999,1778.375,211.16296925,-616.9333799999999,1372.6045892500001,None,SE_1,2026-04-23
2026-01-01 01:00:00+00:00,1785.525,0.0,252.8813075,0.0,0.0,950.3512880000001,1785.525,252.8813075,-950.3512880000001,1088.0550195,None,SE_1,2026-04-23
2026-01-01 02:00:00+00:00,1858.675,0.0,294.39416175,0.0,0.0,1296.5650485,1858.675,294.39416175,-1296.5650485,856.50411325,None,SE_1,2026-04-23
2026-01-01 03:00:00+00:00,1810.425,0.0,295.91940999999997,0.0,0.0,1390.9716795,1810.425,295.91940999999997,-1390.9716795,715.3727304999998,None,SE_1,2026-04-23
2026-01-01 04:00:00+00:00,1791.825,0.0,281.9130955,0.0,0.0,1276.063263,1791.825,281.9130955,-1276.063263,797.6748324999999,None,SE_1,2026-04-23
2026-01-01 05:00:00+00:00,1790.45,0.0,310.56598925000003,0.0,0.0,1311.895569,1790.45,310.56598925000003,-1311.895569,789.12042025,None,SE_1,2026-04-23
2026-01-01 06:00:00+00:00,1933.175,0.0,281.14920925,0.0,0.0,1179.13931275,1933.175,281.14920925,-1179.13931275,1035.1848965,None,SE_1,2026-04-23
2026-01-01 07:00:00+00:00,1854.275,0.0,257.758744,0.0,0.0,1105.600342,1854.275,257.758744,-1105.600342,1006.4334020000003,None,SE_1,2026-04-23
2026-01-01 08:00:00+00:00,1942.825,0.0,212.8264995,0.0,0.0,1188.42990125,1942.825,212.8264995,-1188.42990125,967.2215982500002,None,SE_1,2026-04-23
2026-01-01 09:00:00+00:00,1732.6750000000002,0.0,145.06332325,0.0,0.0,989.854431,1732.6750000000002,145.06332325,-989.854431,887.8838922500001,None,SE_1,2026-04-23
2026-01-01 10:00:00+00:00,2049.55,0.0,0.0,31.43393725,0.0,1122.81555175,2049.55,-31.43393725,-1122.81555175,895.3005110000001,None,SE_1,2026-04-23
2026-01-01 11:00:00+00:00,1958.5,0.0,12.31774975,8.822288,0.0,1105.919159,1958.5,3.4954617500000005,-1105.919159,856.07630275,None,SE_1,2026-04-23
2026-01-01 12:00:00+00:00,1835.875,0.0,47.548227499999996,0.0,0.0,932.9726865,1835.875,47.548227499999996,-932.9726865,950.4505409999999,None,SE_1,2026-04-23
2026-01-01 13:00:00+00:00,1842.025,0.0,176.913597,0.0,0.0,952.19844025,1842.025,176.913597,-952.19844025,1066.74015675,None,SE_1,2026-04-23
2026-01-01 14:00:00+00:00,1806.225,0.0,226.07570725,0.0,0.0,738.079529,1806.225,226.07570725,-738.079529,1294.2211782499999,None,SE_1,2026-04-23
2026-01-01 15:00:00+00:00,1828.575,0.0,312.53919675,0.0,0.0,688.3955384999999,1828.575,312.53919675,-688.3955384999999,1452.7186582499999,None,SE_1,2026-04-23
2026-01-01 16:00:00+00:00,1899.9,0.0,404.94608475,0.0,0.0,664.15733325,1899.9,404.94608475,-664.15733325,1640.6887515,None,SE_1,2026-04-23
2026-01-01 17:00:00+00:00,1835.35,0.0,222.59425075000001,0.0,0.0,365.85155475,1835.35,222.59425075000001,-365.85155475,1692.0926959999997,None,SE_1,2026-04-23
2026-01-01 18:00:00+00:00,1688.125,0.0,138.0333555,0.0,0.0,175.4834595,1688.125,138.0333555,-175.4834595,1650.674896,None,SE_1,2026-04-23
2026-01-01 19:00:00+00:00,1767.8,0.0,101.32273375,0.0,0.0,214.72941225,1767.8,101.32273375,-214.72941225,1654.3933215,None,SE_1,2026-04-23
2026-01-01 20:00:00+00:00,1891.075,0.0,79.24413625,0.0,0.0,295.56663875,1891.075,79.24413625,-295.56663875,1674.7524975000001,None,SE_1,2026-04-23
2026-01-01 21:00:00+00:00,1807.975,0.0,179.792824,0.0,0.0,462.19068175,1807.975,179.792824,-462.19068175,1525.57714225,None,SE_1,2026-04-23
2026-01-01 22:00:00+00:00,1818.275,0.0,285.33426775,0.0,0.0,621.09825925,1818.275,285.33426775,-621.09825925,1482.5110085000001,None,SE_1,2026-04-23
2026-01-01 23:00:00+00:00,1883.65,0.0,402.0841765,0.0,0.0,770.679184,1883.65,402.0841765,-770.679184,1515.0549925,None,SE_1,2026-04-23
2026-01-02 00:00:00+00:00,1745.05,0.0,465.30755925,0.0,0.0,560.75320425,1745.05,465.30755925,-560.75320425,1649.6043550000002,None,SE_1,2026-04-23
2026-01-02 01:00:00+00:00,1867.075,0.0,460.70747325,0.0,0.0,805.10301225,1867.075,460.70747325,-805.10301225,1522.6794610000002,None,SE_1,2026-04-23
2026-01-02 02:00:00+00:00,1892.175,0.0,489.36255975,0.0,0.0,899.3448637500001,1892.175,489.36255975,-899.3448637500001,1482.192696,None,SE_1,2026-04-23
2026-01-02 03:00:00+00:00,1699.0,0.0,533.79536025,0.0,0.0,502.28424824999996,1699.0,533.79536025,-502.28424824999996,1730.5111120000001,None,SE_1,2026-04-23
2026-01-02 04:00:00+00:00,1709.425,0.0,471.2027065,0.0,0.0,451.90316,1709.425,471.2027065,-451.90316,1728.7245464999999,None,SE_1,2026-04-23
2026-01-02 05:00:00+00:00,1688.65,0.0,504.76168175,0.0,37.041042250000004,22.646530249999998,1688.65,504.76168175,14.394512000000006,2207.8061937499997,None,SE_1,2026-04-23
2026-01-02 06:00:00+00:00,1858.85,0.0,500.709952,0.0,3.284645,51.181279,1858.85,500.709952,-47.896634000000006,2311.663318,None,SE_1,2026-04-23
2026-01-02 07:00:00+00:00,1938.05,0.0,402.3548395,0.0,36.8848115,104.9575615,1938.05,402.3548395,-68.07275,2272.3320895,None,SE_1,2026-04-23
