,DK_2_DE_LU,DE_LU_DK_2,DK_2_DK_1,DK_1_DK_2,DK_2_SE_4,SE_4_DK_2,DK_2_DE_LU_net_export,DK_2_DK_1_net_export,DK_2_SE_4_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,680.139,0.0,589.5525,0.0,0.0,1097.155,680.139,589.5525,-1097.155,172.53649999999993,None,DK_2,2026-04-23
2026-01-01 01:00:00+00:00,349.957,3.9082500000000002,599.3,0.0,0.0,806.485,346.04875,599.3,-806.485,138.86374999999987,None,DK_2,2026-04-23
2026-01-01 02:00:00+00:00,46.379,223.36849999999998,458.1475,0.0,0.0,362.40250000000003,-176.9895,458.1475,-362.40250000000003,-81.24450000000002,None,DK_2,2026-04-23
2026-01-01 03:00:00+00:00,0.0685,522.184,307.1225,0.0,18.226778,111.7825,-522.1155,307.1225,-93.555722,-308.548722,None,DK_2,2026-04-23
2026-01-01 04:00:00+00:00,0.094,555.55675,563.7425000000001,0.0,0.0,554.7175,-555.4627499999999,563.7425000000001,-554.7175,-546.4377499999998,None,DK_2,2026-04-23
2026-01-01 05:00:00+00:00,0.0,669.65525,589.3824999999999,0.0,0.0,469.8475,-669.65525,589.3824999999999,-469.8475,-550.1202500000002,None,DK_2,2026-04-23
2026-01-01 06:00:00+00:00,0.0,716.9000000000001,412.28,0.0,0.0,214.58499999999998,-716.9000000000001,412.28,-214.58499999999998,-519.2050000000002,None,DK_2,2026-04-23
2026-01-01 07:00:00+00:00,0.0,731.494,574.5125,0.0,0.0,419.175,-731.494,574.5125,-419.175,-576.1565,None,DK_2,2026-04-23
2026-01-01 08:00:00+00:00,0.0,670.82775,417.0025,0.0,0.0,424.9375,-670.82775,417.0025,-424.9375,-678.7627500000001,None,DK_2,2026-04-23
2026-01-01 09:00:00+00:00,0.0,744.7139999999999,195.21,0.0,0.0,162.305,-744.7139999999999,195.21,-162.305,-711.809,None,DK_2,2026-04-23
2026-01-01 10:00:00+00:00,0.0,752.92075,270.45500000000004,0.0,231.6204415,0.5175,-752.92075,270.45500000000004,231.1029415,-251.36280849999997,None,DK_2,2026-04-23
2026-01-01 11:00:00+00:00,0.0,738.938,448.58,0.0,93.40394025,0.0,-738.938,448.58,93.40394025,-196.95405975,None,DK_2,2026-04-23
2026-01-01 12:00:00+00:00,0.0,718.87725,296.63,0.0,189.101471,0.0,-718.87725,296.63,189.101471,-233.145779,None,DK_2,2026-04-23
