,IT_NORD_CH,CH_IT_NORD,IT_NORD_FR,FR_IT_NORD,IT_NORD_SI,SI_IT_NORD,IT_NORD_AT,AT_IT_NORD,IT_NORD_IT_CNOR,IT_CNOR_IT_NORD,IT_NORD_CH_net_export,IT_NORD_FR_net_export,IT_NORD_SI_net_export,IT_NORD_AT_net_export,IT_NORD_IT_CNOR_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,1351.5,0.0,1290.805,24.259999999999998,11.54,0.0,213.0,2305.69,0.0,-1351.5,-1290.805,12.719999999999999,-213.0,2305.69,-536.8950000000004,None,IT_NORD,2026-04-23
2026-01-01 01:00:00+00:00,0.0,1333.5,0.0,958.2025,8.1,37.31,0.0,190.0,2288.205,0.0,-1333.5,-958.2025,-29.21,-190.0,2288.205,-222.70749999999998,None,IT_NORD,2026-04-23
2026-01-01 02:00:00+00:00,0.0,1684.25,0.0,903.37,1.33,71.29,0.0,183.0,2247.69,0.0,-1684.25,-903.37,-69.96000000000001,-183.0,2247.69,-592.8899999999999,None,IT_NORD,2026-04-23
2026-01-01 03:00:00+00:00,0.0,1638.5,0.0,795.5775,64.62,0.05,0.0,175.25,1824.0025,0.0,-1638.5,-795.5775,64.57000000000001,-175.25,1824.0025,-720.7549999999997,None,IT_NORD,2026-04-23
2026-01-01 04:00:00+00:00,0.0,1750.5,0.0,734.5475,1.98,89.15,0.0,227.25,1456.5825,0.0,-1750.5,-734.5475,-87.17,-227.25,1456.5825,-1342.8850000000002,None,IT_NORD,2026-04-23
2026-01-01 05:00:00+00:00,0.0,1905.75,0.0,474.73249999999996,26.53,45.790000000000006,0.0,205.25,1654.2225,0.0,-1905.75,-474.73249999999996,-19.260000000000005,-205.25,1654.2225,-950.7700000000002,None,IT_NORD,2026-04-23
2026-01-01 06:00:00+00:00,0.0,2139.75,0.0,512.375,0.11,148.79,0.0,210.75,1774.5775,0.0,-2139.75,-512.375,-148.67999999999998,-210.75,1774.5775,-1236.9774999999997,None,IT_NORD,2026-04-23
2026-01-01 07:00:00+00:00,0.0,1589.25,0.0,384.38,0.0,64.13,0.0,199.0,465.125,22.0325,-1589.25,-384.38,-64.13,-199.0,443.0925,-1793.6675000000002,None,IT_NORD,2026-04-23
2026-01-01 08:00:00+00:00,0.0,1863.75,0.0,527.155,0.0,163.5,0.0,213.0,43.34,43.6375,-1863.75,-527.155,-163.5,-213.0,-0.29749999999999943,-2767.7025,None,IT_NORD,2026-04-23
2026-01-01 09:00:00+00:00,0.0,1531.25,0.0,926.2175,0.0,328.5,0.0,184.75,0.0,258.87,-1531.25,-926.2175,-328.5,-184.75,-258.87,-3229.5874999999996,None,IT_NORD,2026-04-23
2026-01-01 10:00:00+00:00,0.0,1500.25,0.0,1076.9425,0.0,408.25,0.0,199.75,0.0,159.65,-1500.25,-1076.9425,-408.25,-199.75,-159.65,-3344.8425,None,IT_NORD,2026-04-23
2026-01-01 11:00:00+00:00,0.0,1533.75,0.0,1118.695,0.0,640.0,0.0,206.0,32.3025,0.025,-1533.75,-1118.695,-640.0,-206.0,32.2775,-3466.1674999999996,None,IT_NORD,2026-04-23
2026-01-01 12:00:00+00:00,0.0,1184.75,0.0,1096.1875,0.0,390.5,0.0,178.75,10.4675,250.71500000000003,-1184.75,-1096.1875,-390.5,-178.75,-240.24750000000003,-3090.435,None,IT_NORD,2026-04-23
2026-01-01 13:00:00+00:00,0.0,1289.5,0.0,1058.3725,0.0,328.25,0.0,192.75,78.8425,194.555,-1289.5,-1058.3725,-328.25,-192.75,-115.7125,-2984.585,None,IT_NORD,2026-04-23
2026-01-01 14:00:00+00:00,0.0,1203.0,0.0,1145.6575,0.0,350.47,0.0,182.0,434.205,0.0,-1203.0,-1145.6575,-350.47,-182.0,434.205,-2446.9225000000006,None,IT_NORD,2026-04-23
2026-01-01 15:00:00+00:00,0.0,1257.0,0.0,1350.325,0.0,482.55,0.0,199.0,1215.9575,0.0,-1257.0,-1350.325,-482.55,-199.0,1215.9575,-2072.9175,None,IT_NORD,2026-04-23
2026-01-01 16:00:00+00:00,0.0,1420.75,0.0,1246.5125,0.0,187.0,0.0,220.5,1337.0674999999999,0.0,-1420.75,-1246.5125,-187.0,-220.5,1337.0674999999999,-1737.695,None,IT_NORD,2026-04-23
