,BE_NL,NL_BE,BE_FR,FR_BE,BE_GB,GB_BE,BE_DE_LU,DE_LU_BE,BE_NL_net_export,BE_FR_net_export,BE_GB_net_export,BE_DE_LU_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,3531.669,2680.0080000000003,0.0,239.12143025,0.0,1.798917,353.30505800000003,-3531.669,2680.0080000000003,239.12143025,-351.506141,-964.0457107499997,None,BE,2026-04-23
2026-01-01 01:00:00+00:00,0.0,3707.125,2603.451,0.0,351.881448,0.0,126.57499999999999,13.87117675,-3707.125,2603.451,351.881448,112.70382324999999,-639.08872875,None,BE,2026-04-23
2026-01-01 02:00:00+00:00,0.0,3373.404,2708.5679999999998,0.0,144.122864,0.0,158.2979805,3.889493,-3373.404,2708.5679999999998,144.122864,154.4084875,-366.3046485000003,None,BE,2026-04-23
2026-01-01 03:00:00+00:00,0.0,2714.609,2687.522,0.0,84.41273000000001,0.0,49.9096715,405.144,-2714.609,2687.522,84.41273000000001,-355.2343285,-297.9085985,None,BE,2026-04-23
2026-01-01 04:00:00+00:00,0.0,2272.301,2644.187,0.0,168.0965285,0.0,82.67142,976.553,-2272.301,2644.187,168.0965285,-893.88158,-353.89905150000004,None,BE,2026-04-23
2026-01-01 05:00:00+00:00,0.0,2611.043,3349.56,0.0,0.0,396.669264,118.56318999999999,1001.967,-2611.043,3349.56,-396.669264,-883.40381,-541.5560740000002,None,BE,2026-04-23
2026-01-01 06:00:00+00:00,0.0,2446.123,3084.31,0.0,3.7073635,24.101342,146.58372,901.272,-2446.123,3084.31,-20.3939785,-754.6882800000001,-136.89525850000018,None,BE,2026-04-23
2026-01-01 07:00:00+00:00,0.0,3062.13,2146.148,0.0,680.093344,0.0,115.067332,213.173,-3062.13,2146.148,680.093344,-98.10566800000001,-333.994324,None,BE,2026-04-23
2026-01-01 08:00:00+00:00,0.0,3322.977,2330.289,0.0,856.31032,0.0,233.072962,25.365,-3322.977,2330.289,856.31032,207.70796199999998,71.33028200000038,None,BE,2026-04-23
2026-01-01 09:00:00+00:00,0.0,3614.779,1849.404,0.0,737.5539679999999,0.0,456.403678,0.0,-3614.779,1849.404,737.5539679999999,456.403678,-571.417354,None,BE,2026-04-23
2026-01-01 10:00:00+00:00,0.0,3336.753,2045.882,0.0,757.24688,0.0,166.10087,381.242,-3336.753,2045.882,757.24688,-215.14113000000003,-748.7652500000002,None,BE,2026-04-23
2026-01-01 11:00:00+00:00,0.0,3191.108,1884.452,0.0,1037.917696,0.0,149.07382,881.0799999999999,-3191.108,1884.452,1037.917696,-732.0061799999999,-1000.744484,None,BE,2026-04-23
2026-01-01 12:00:00+00:00,0.0,3385.802,1428.467,0.0,1041.59024,0.0,129.42836400000002,683.433,-3385.802,1428.467,1041.59024,-554.004636,-1469.7493960000002,None,BE,2026-04-23
2026-01-01 13:00:00+00:00,0.0,3648.249,966.891,0.0,1041.622736,0.0,220.47198300000002,41.612,-3648.249,966.891,1041.622736,178.85998300000003,-1460.8752809999996,None,BE,2026-04-23
2026-01-01 14:00:00+00:00,0.0,2982.502,738.5,0.0,1003.55088,0.0,62.033193000000004,730.844,-2982.502,738.5,1003.55088,-668.8108070000001,-1909.261927,None,BE,2026-04-23
2026-01-01 15:00:00+00:00,0.0,3419.781,670.7,0.0,1021.207872,0.0,108.0718545,15.98446125,-3419.781,670.7,1021.207872,92.08739325,-1635.78573475,None,BE,2026-04-23
2026-01-01 16:00:00+00:00,0.0,3397.278,1464.873,0.0,1008.99704,0.0,111.1475355,40.80889775,-3397.278,1464.873,1008.99704,70.33863775,-853.0693222499998,None,BE,2026-04-23
2026-01-01 17:00:00+00:00,0.0,3776.788,1586.5,0.0,1021.440032,0.0,277.296,32.96027825,-3776.788,1586.5,1021.440032,244.33572175,-924.5122462500001,None,BE,2026-04-23
2026-01-01 18:00:00+00:00,0.0,3559.18,1891.326,0.0,1021.481808,0.0,20.08635125,174.84057,-3559.18,1891.326,1021.481808,-154.75421875,-801.1264107499999,None,BE,2026-04-23
2026-01-01 19:00:00+00:00,0.0,3718.621,1921.669,0.0,1012.214544,0.0,294.971274,0.0,-3718.621,1921.669,1012.214544,294.971274,-489.76618199999996,None,BE,2026-04-23
2026-01-01 20:00:00+00:00,0.0,3777.225,1446.246,0.0,1019.169648,0.0,623.923032,0.0,-3777.225,1446.246,1019.169648,623.923032,-687.8863199999997,None,BE,2026-04-23
2026-01-01 21:00:00+00:00,0.0,3647.124,1666.6680000000001,0.0,683.68464,0.0,799.265499,0.0,-3647.124,1666.6680000000001,683.68464,799.265499,-497.50586099999975,None,BE,2026-04-23
2026-01-01 22:00:00+00:00,0.0,3494.345,2054.276,0.0,85.4481,0.0,878.274624,0.0,-3494.345,2054.276,85.4481,878.274624,-476.3462759999999,None,BE,2026-04-23
2026-01-01 23:00:00+00:00,0.0,2928.03,2957.773,0.0,224.138764,0.0,100.56692,636.189,-2928.03,2957.773,224.138764,-535.62208,-281.740316,None,BE,2026-04-23
2026-01-02 00:00:00+00:00,0.0,3281.962,3413.108,0.0,185.108148,0.0,108.934192,441.48,-3281.962,3413.108,185.108148,-332.545808,-16.29165999999981,None,BE,2026-04-23
2026-01-02 01:00:00+00:00,0.0,3691.562,3289.9,0.0,152.956,0.0,91.424022,250.335,-3691.562,3289.9,152.956,-158.910978,-407.6169779999998,None,BE,2026-04-23
2026-01-02 02:00:00+00:00,0.0,3599.544,3099.0860000000002,0.0,129.175018,0.0,89.43634399999999,158.189,-3599.544,3099.0860000000002,129.175018,-68.752656,-440.0356379999996,None,BE,2026-04-23
2026-01-02 03:00:00+00:00,0.0,3707.503,2989.892,0.0,121.730114,0.0,80.965466,191.736,-3707.503,2989.892,121.730114,-110.77053399999998,-706.6514200000004,None,BE,2026-04-23
2026-01-02 04:00:00+00:00,0.0,3883.863,2748.424,0.0,0.0,12.26656625,188.79611525,0.566996,-3883.863,2748.424,-12.26656625,188.22911925000002,-959.4764469999999,None,BE,2026-04-23
2026-01-02 05:00:00+00:00,0.0,3668.402,3498.484,0.0,0.0,274.119672,31.79790125,436.692,-3668.402,3498.484,-274.119672,-404.89409875,-848.9317707500002,None,BE,2026-04-23
2026-01-02 06:00:00+00:00,0.0,3727.584,3492.965,0.0,0.0,487.709752,26.335863,250.712,-3727.584,3492.965,-487.709752,-224.376137,-946.7048889999996,None,BE,2026-04-23
2026-01-02 07:00:00+00:00,0.0,3671.016,3541.383,0.0,0.0,283.81639825,39.637206000000006,466.86400000000003,-3671.016,3541.383,-283.81639825,-427.22679400000004,-840.6761922500003,None,BE,2026-04-23
2026-01-02 08:00:00+00:00,0.0,3099.491,2769.114,0.0,312.764928,0.0,54.915584,872.027,-3099.491,2769.114,312.764928,-817.1114160000001,-834.7234880000001,None,BE,2026-04-23
2026-01-02 09:00:00+00:00,0.0,2608.891,2207.907,0.0,847.261296,0.0,131.433076,896.375,-2608.891,2207.907,847.261296,-764.941924,-318.6646279999999,None,BE,2026-04-23
2026-01-02 10:00:00+00:00,0.0,2491.12,2103.365,0.0,863.827184,0.0,131.72118600000002,895.235,-2491.12,2103.365,863.827184,-763.513814,-287.44163000000015,None,BE,2026-04-23
2026-01-02 11:00:00+00:00,0.0,2649.622,2373.2439999999997,0.0,999.9596,0.0,158.15498,871.481,-2649.622,2373.2439999999997,999.9596,-713.32602,10.255579999999895,None,BE,2026-04-23
2026-01-02 12:00:00+00:00,0.0,2526.033,2253.809,0.0,1023.0789599999999,0.0,159.03421600000001,995.0649999999999,-2526.033,2253.809,1023.0789599999999,-836.0307839999999,-85.1758239999997,None,BE,2026-04-23
2026-01-02 13:00:00+00:00,0.0,2380.794,1793.249,0.0,808.100672,0.0,156.175108,893.643,-2380.794,1793.249,808.100672,-737.467892,-516.9122199999998,None,BE,2026-04-23
2026-01-02 14:00:00+00:00,0.0,2896.782,1306.109,0.0,878.347872,0.0,148.408896,869.574,-2896.782,1306.109,878.347872,-721.1651039999999,-1433.490232,None,BE,2026-04-23
2026-01-02 15:00:00+00:00,0.0,2935.07,990.208,0.0,741.618848,0.0,130.13019,850.579,-2935.07,990.208,741.618848,-720.44881,-1923.6919619999999,None,BE,2026-04-23
2026-01-02 16:00:00+00:00,0.0,2807.596,1093.284,0.0,645.088128,0.0,127.329274,765.8299999999999,-2807.596,1093.284,645.088128,-638.500726,-1707.724598,None,BE,2026-04-23
2026-01-02 17:00:00+00:00,0.0,3532.107,1874.368,0.0,826.82088,0.0,85.43117799999999,989.288,-3532.107,1874.368,826.82088,-903.856822,-1734.774942,None,BE,2026-04-23
2026-01-02 18:00:00+00:00,0.0,3690.511,2507.895,0.0,716.2546239999999,0.0,65.27408299999999,915.7570000000001,-3690.511,2507.895,716.2546239999999,-850.482917,-1316.844293,None,BE,2026-04-23
2026-01-02 19:00:00+00:00,0.0,4059.718,2284.645,0.0,764.7916,0.0,3.920717,948.16994175,-4059.718,2284.645,764.7916,-944.24922475,-1954.5306247499998,None,BE,2026-04-23
2026-01-02 20:00:00+00:00,0.0,3972.284,2459.826,0.0,216.640468,0.0,0.0,1022.19113775,-3972.284,2459.826,216.640468,-1022.19113775,-2318.00866975,None,BE,2026-04-23
2026-01-02 21:00:00+00:00,0.0,3553.596,2247.3720000000003,0.0,0.0,100.32630275,4.5175175,1009.64883275,-3553.596,2247.3720000000003,-100.32630275,-1005.13131525,-2411.6816179999996,None,BE,2026-04-23
2026-01-02 22:00:00+00:00,0.0,3630.402,3003.439,0.0,0.0,393.700128,25.470112,1001.808,-3630.402,3003.439,-393.700128,-976.337888,-1997.0010160000002,None,BE,2026-04-23
2026-01-02 23:00:00+00:00,0.0,3808.337,3247.692,0.0,0.0,335.519832,68.539807,971.605,-3808.337,3247.692,-335.519832,-903.065193,-1799.2300249999998,None,BE,2026-04-23
2026-01-03 00:00:00+00:00,0.0,3387.823,2996.599,0.0,42.821551,0.0,169.31394,907.8689999999999,-3387.823,2996.599,42.821551,-738.5550599999999,-1086.9575089999996,None,BE,2026-04-23
2026-01-03 01:00:00+00:00,0.0,2895.693,2892.446,0.0,175.854832,0.0,182.390332,882.275,-2895.693,2892.446,175.854832,-699.8846679999999,-527.2768360000002,None,BE,2026-04-23
2026-01-03 02:00:00+00:00,0.0,2661.455,2169.8360000000002,0.0,199.49652,0.0,156.872668,875.95,-2661.455,2169.8360000000002,199.49652,-719.0773320000001,-1011.1998119999997,None,BE,2026-04-23
2026-01-03 03:00:00+00:00,0.0,2243.297,1858.742,0.0,207.40571599999998,0.0,210.42150800000002,987.6610000000001,-2243.297,1858.742,207.40571599999998,-777.239492,-954.3887760000001,None,BE,2026-04-23
2026-01-03 04:00:00+00:00,0.0,2326.316,1593.2,0.0,122.670304,0.0,270.500372,728.857,-2326.316,1593.2,122.670304,-458.35662799999994,-1068.8023239999998,None,BE,2026-04-23
