,LV_EE,EE_LV,LV_LT,LT_LV,LV_EE_net_export,LV_LT_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,155.25,0.0,0.0,676.25,155.25,-676.25,-521.0,None,LV,2026-04-23
2026-01-01 01:00:00+00:00,268.25,0.0,0.0,787.625,268.25,-787.625,-519.375,None,LV,2026-04-23
2026-01-01 02:00:00+00:00,329.25,0.0,0.0,842.0,329.25,-842.0,-512.75,None,LV,2026-04-23
2026-01-01 03:00:00+00:00,518.0,0.0,0.0,896.125,518.0,-896.125,-378.125,None,LV,2026-04-23
2026-01-01 04:00:00+00:00,516.75,0.0,0.0,780.0,516.75,-780.0,-263.25,None,LV,2026-04-23
2026-01-01 05:00:00+00:00,431.0,0.0,0.0,679.875,431.0,-679.875,-248.875,None,LV,2026-04-23
2026-01-01 06:00:00+00:00,378.5,0.0,0.0,648.625,378.5,-648.625,-270.125,None,LV,2026-04-23
2026-01-01 07:00:00+00:00,277.75,0.0,0.0,669.25,277.75,-669.25,-391.5,None,LV,2026-04-23
2026-01-01 08:00:00+00:00,402.5,0.0,0.0,856.125,402.5,-856.125,-453.625,None,LV,2026-04-23
2026-01-01 09:00:00+00:00,455.0,0.0,0.0,848.125,455.0,-848.125,-393.125,None,LV,2026-04-23
2026-01-01 10:00:00+00:00,478.0,0.0,0.0,898.0,478.0,-898.0,-420.0,None,LV,2026-04-23
2026-01-01 11:00:00+00:00,439.0,0.0,0.0,892.125,439.0,-892.125,-453.125,None,LV,2026-04-23
2026-01-01 12:00:00+00:00,338.25,0.0,0.0,768.0,338.25,-768.0,-429.75,None,LV,2026-04-23
2026-01-01 13:00:00+00:00,412.5,0.0,0.0,847.875,412.5,-847.875,-435.375,None,LV,2026-04-23
2026-01-01 14:00:00+00:00,398.0,0.0,0.0,862.875,398.0,-862.875,-464.875,None,LV,2026-04-23
2026-01-01 15:00:00+00:00,375.0,0.0,0.0,863.625,375.0,-863.625,-488.625,None,LV,2026-04-23
2026-01-01 16:00:00+00:00,382.25,0.0,0.0,875.5,382.25,-875.5,-493.25,None,LV,2026-04-23
2026-01-01 17:00:00+00:00,340.25,0.0,0.0,899.625,340.25,-899.625,-559.375,None,LV,2026-04-23
2026-01-01 18:00:00+00:00,162.5,0.0,0.0,835.375,162.5,-835.375,-672.875,None,LV,2026-04-23
2026-01-01 19:00:00+00:00,243.75,0.0,0.0,908.25,243.75,-908.25,-664.5,None,LV,2026-04-23
2026-01-01 20:00:00+00:00,204.75,0.0,0.0,826.25,204.75,-826.25,-621.5,None,LV,2026-04-23
2026-01-01 21:00:00+00:00,149.5,0.0,0.0,721.125,149.5,-721.125,-571.625,None,LV,2026-04-23
2026-01-01 22:00:00+00:00,219.0,0.0,0.0,774.125,219.0,-774.125,-555.125,None,LV,2026-04-23
2026-01-01 23:00:00+00:00,96.5,0.0,0.0,493.625,96.5,-493.625,-397.125,None,LV,2026-04-23
2026-01-02 00:00:00+00:00,325.5,0.0,0.0,604.625,325.5,-604.625,-279.125,None,LV,2026-04-23
2026-01-02 01:00:00+00:00,280.75,0.0,0.0,531.125,280.75,-531.125,-250.375,None,LV,2026-04-23
2026-01-02 02:00:00+00:00,305.25,0.0,0.0,564.625,305.25,-564.625,-259.375,None,LV,2026-04-23
2026-01-02 03:00:00+00:00,438.25,0.0,0.0,718.625,438.25,-718.625,-280.375,None,LV,2026-04-23
2026-01-02 04:00:00+00:00,172.75,15.0,0.0,480.75,157.75,-480.75,-323.0,None,LV,2026-04-23
2026-01-02 05:00:00+00:00,0.0,267.75,0.0,116.0,-267.75,-116.0,-383.75,None,LV,2026-04-23
2026-01-02 06:00:00+00:00,0.0,245.25,0.0,175.0,-245.25,-175.0,-420.25,None,LV,2026-04-23
2026-01-02 07:00:00+00:00,0.0,193.0,0.0,249.5,-193.0,-249.5,-442.5,None,LV,2026-04-23
2026-01-02 08:00:00+00:00,0.0,187.25,0.0,283.875,-187.25,-283.875,-471.125,None,LV,2026-04-23
