,IT_SARD_IT_CSUD,IT_CSUD_IT_SARD,IT_SARD_IT_CSUD_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,224.87,-224.87,-224.87,None,IT_SARD,2026-04-23
2026-01-01 01:00:00+00:00,0.0,326.21999999999997,-326.21999999999997,-326.21999999999997,None,IT_SARD,2026-04-23
2026-01-01 02:00:00+00:00,0.0,438.46000000000004,-438.46000000000004,-438.46000000000004,None,IT_SARD,2026-04-23
2026-01-01 03:00:00+00:00,0.0,365.845,-365.845,-365.845,None,IT_SARD,2026-04-23
2026-01-01 04:00:00+00:00,0.0,243.695,-243.695,-243.695,None,IT_SARD,2026-04-23
2026-01-01 05:00:00+00:00,0.0,183.36249999999998,-183.36249999999998,-183.36249999999998,None,IT_SARD,2026-04-23
2026-01-01 06:00:00+00:00,0.0,323.1875,-323.1875,-323.1875,None,IT_SARD,2026-04-23
2026-01-01 07:00:00+00:00,0.0,157.215,-157.215,-157.215,None,IT_SARD,2026-04-23
2026-01-01 08:00:00+00:00,0.0,60.85,-60.85,-60.85,None,IT_SARD,2026-04-23
2026-01-01 09:00:00+00:00,0.0,123.095,-123.095,-123.095,None,IT_SARD,2026-04-23
2026-01-01 10:00:00+00:00,0.0,280.7875,-280.7875,-280.7875,None,IT_SARD,2026-04-23
2026-01-01 11:00:00+00:00,0.0,332.3525,-332.3525,-332.3525,None,IT_SARD,2026-04-23
2026-01-01 12:00:00+00:00,0.0,123.6175,-123.6175,-123.6175,None,IT_SARD,2026-04-23
2026-01-01 13:00:00+00:00,0.0,136.0375,-136.0375,-136.0375,None,IT_SARD,2026-04-23
2026-01-01 14:00:00+00:00,0.0,180.675,-180.675,-180.675,None,IT_SARD,2026-04-23
2026-01-01 15:00:00+00:00,0.0,305.8425,-305.8425,-305.8425,None,IT_SARD,2026-04-23
2026-01-01 16:00:00+00:00,0.0,271.3125,-271.3125,-271.3125,None,IT_SARD,2026-04-23
2026-01-01 17:00:00+00:00,0.0,402.55,-402.55,-402.55,None,IT_SARD,2026-04-23
2026-01-01 18:00:00+00:00,0.0,418.7975,-418.7975,-418.7975,None,IT_SARD,2026-04-23
2026-01-01 19:00:00+00:00,0.0,417.46,-417.46,-417.46,None,IT_SARD,2026-04-23
2026-01-01 20:00:00+00:00,0.0,342.9975,-342.9975,-342.9975,None,IT_SARD,2026-04-23
2026-01-01 21:00:00+00:00,0.0,283.3675,-283.3675,-283.3675,None,IT_SARD,2026-04-23
2026-01-01 22:00:00+00:00,0.0,154.06,-154.06,-154.06,None,IT_SARD,2026-04-23
2026-01-01 23:00:00+00:00,109.5025,5.4075,104.095,104.095,None,IT_SARD,2026-04-23
2026-01-02 00:00:00+00:00,191.3275,0.0,191.3275,191.3275,None,IT_SARD,2026-04-23
2026-01-02 01:00:00+00:00,200.83,0.0,200.83,200.83,None,IT_SARD,2026-04-23
2026-01-02 02:00:00+00:00,10.4525,134.885,-124.43249999999999,-124.43249999999999,None,IT_SARD,2026-04-23
2026-01-02 03:00:00+00:00,0.0,407.515,-407.515,-407.515,None,IT_SARD,2026-04-23
2026-01-02 04:00:00+00:00,0.0,211.9125,-211.9125,-211.9125,None,IT_SARD,2026-04-23
2026-01-02 05:00:00+00:00,0.0,151.48499999999999,-151.48499999999999,-151.48499999999999,None,IT_SARD,2026-04-23
2026-01-02 06:00:00+00:00,221.365,44.6425,176.72250000000003,176.72250000000003,None,IT_SARD,2026-04-23
2026-01-02 07:00:00+00:00,456.56,0.0,456.56,456.56,None,IT_SARD,2026-04-23
2026-01-02 08:00:00+00:00,356.745,0.0,356.745,356.745,None,IT_SARD,2026-04-23
2026-01-02 09:00:00+00:00,289.4425,0.0,289.4425,289.4425,None,IT_SARD,2026-04-23
2026-01-02 10:00:00+00:00,225.8275,0.0,225.8275,225.8275,None,IT_SARD,2026-04-23
2026-01-02 11:00:00+00:00,0.0,208.0125,-208.0125,-208.0125,None,IT_SARD,2026-04-23
2026-01-02 12:00:00+00:00,0.0,148.4975,-148.4975,-148.4975,None,IT_SARD,2026-04-23
2026-01-02 13:00:00+00:00,0.0,155.41750000000002,-155.41750000000002,-155.41750000000002,None,IT_SARD,2026-04-23
2026-01-02 14:00:00+00:00,0.0,119.725,-119.725,-119.725,None,IT_SARD,2026-04-23
2026-01-02 15:00:00+00:00,0.0,150.17000000000002,-150.17000000000002,-150.17000000000002,None,IT_SARD,2026-04-23
2026-01-02 16:00:00+00:00,0.0,152.4875,-152.4875,-152.4875,None,IT_SARD,2026-04-23
2026-01-02 17:00:00+00:00,310.5375,0.0,310.5375,310.5375,None,IT_SARD,2026-04-23
2026-01-02 18:00:00+00:00,322.745,0.0,322.745,322.745,None,IT_SARD,2026-04-23
2026-01-02 19:00:00+00:00,374.05,0.0,374.05,374.05,None,IT_SARD,2026-04-23
2026-01-02 20:00:00+00:00,109.765,0.0,109.765,109.765,None,IT_SARD,2026-04-23
2026-01-02 21:00:00+00:00,0.0,69.535,-69.535,-69.535,None,IT_SARD,2026-04-23
2026-01-02 22:00:00+00:00,0.0,51.4525,-51.4525,-51.4525,None,IT_SARD,2026-04-23
2026-01-02 23:00:00+00:00,0.0,125.91,-125.91,-125.91,None,IT_SARD,2026-04-23
2026-01-03 00:00:00+00:00,0.0,191.31,-191.31,-191.31,None,IT_SARD,2026-04-23
2026-01-03 01:00:00+00:00,0.0,211.785,-211.785,-211.785,None,IT_SARD,2026-04-23
2026-01-03 02:00:00+00:00,0.0,103.745,-103.745,-103.745,None,IT_SARD,2026-04-23
2026-01-03 03:00:00+00:00,0.0,142.6675,-142.6675,-142.6675,None,IT_SARD,2026-04-23
2026-01-03 04:00:00+00:00,0.0,105.3925,-105.3925,-105.3925,None,IT_SARD,2026-04-23
2026-01-03 05:00:00+00:00,0.0,100.4,-100.4,-100.4,None,IT_SARD,2026-04-23
2026-01-03 06:00:00+00:00,70.265,83.1375,-12.872500000000002,-12.872500000000002,None,IT_SARD,2026-04-23
