,IT_CNOR_IT_NORD,IT_NORD_IT_CNOR,IT_CNOR_IT_CSUD,IT_CSUD_IT_CNOR,IT_CNOR_IT_NORD_net_export,IT_CNOR_IT_CSUD_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,2305.69,1771.475,0.0,-2305.69,1771.475,-534.2150000000001,None,IT_CNOR,2026-04-23
2026-01-01 01:00:00+00:00,0.0,2288.205,1733.2025,0.0,-2288.205,1733.2025,-555.0024999999998,None,IT_CNOR,2026-04-23
2026-01-01 02:00:00+00:00,0.0,2247.69,1777.205,0.0,-2247.69,1777.205,-470.4850000000001,None,IT_CNOR,2026-04-23
2026-01-01 03:00:00+00:00,0.0,1824.0025,1364.46,0.0,-1824.0025,1364.46,-459.5425,None,IT_CNOR,2026-04-23
2026-01-01 04:00:00+00:00,0.0,1456.5825,981.2950000000001,0.0,-1456.5825,981.2950000000001,-475.2874999999999,None,IT_CNOR,2026-04-23
2026-01-01 05:00:00+00:00,0.0,1654.2225,1222.0025,0.0,-1654.2225,1222.0025,-432.22,None,IT_CNOR,2026-04-23
2026-01-01 06:00:00+00:00,0.0,1774.5775,1240.755,0.0,-1774.5775,1240.755,-533.8225,None,IT_CNOR,2026-04-23
2026-01-01 07:00:00+00:00,22.0325,465.125,147.33249999999998,120.2875,-443.0925,27.044999999999987,-416.0475,None,IT_CNOR,2026-04-23
2026-01-01 08:00:00+00:00,43.6375,43.34,0.8,226.83,0.29749999999999943,-226.03,-225.73250000000002,None,IT_CNOR,2026-04-23
2026-01-01 09:00:00+00:00,258.87,0.0,0.0,455.06,258.87,-455.06,-196.19,None,IT_CNOR,2026-04-23
2026-01-01 10:00:00+00:00,159.65,0.0,0.0,373.5725,159.65,-373.5725,-213.92249999999999,None,IT_CNOR,2026-04-23
2026-01-01 11:00:00+00:00,0.025,32.3025,0.0,266.775,-32.2775,-266.775,-299.0525,None,IT_CNOR,2026-04-23
