,CH_AT,AT_CH,CH_DE_LU,DE_LU_CH,CH_FR,FR_CH,CH_IT_NORD,IT_NORD_CH,CH_AT_net_export,CH_DE_LU_net_export,CH_FR_net_export,CH_IT_NORD_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,681.41687,0.0,3749.56842,0.0,669.4,1351.5,0.0,-681.41687,-3749.56842,-669.4,1351.5,-3748.88529,None,CH,2026-04-23
2026-01-01 01:00:00+00:00,0.0,610.04309,0.0,3842.96405,0.0,677.39,1333.5,0.0,-610.04309,-3842.96405,-677.39,1333.5,-3796.89714,None,CH,2026-04-23
2026-01-01 02:00:00+00:00,0.0,658.560852,0.0,4004.688415,0.0,610.8025,1684.25,0.0,-658.560852,-4004.688415,-610.8025,1684.25,-3589.801767,None,CH,2026-04-23
2026-01-01 03:00:00+00:00,0.0,597.098754,0.0,4039.7085564999998,0.0,714.1175,1638.5,0.0,-597.098754,-4039.7085564999998,-714.1175,1638.5,-3712.4248104999997,None,CH,2026-04-23
2026-01-01 04:00:00+00:00,0.0,658.358947,0.0,3996.403564,0.0,393.725,1750.5,0.0,-658.358947,-3996.403564,-393.725,1750.5,-3297.9875110000003,None,CH,2026-04-23
2026-01-01 05:00:00+00:00,0.0,811.272338,0.0,4343.71313425,114.26,24.3525,1905.75,0.0,-811.272338,-4343.71313425,89.9075,1905.75,-3159.327972249999,None,CH,2026-04-23
2026-01-01 06:00:00+00:00,0.0,899.030395,0.0,4176.539062,360.9425,0.0,2139.75,0.0,-899.030395,-4176.539062,360.9425,2139.75,-2574.8769569999995,None,CH,2026-04-23
2026-01-01 07:00:00+00:00,0.0,836.017883,0.0,3801.85839775,376.0625,0.0,1589.25,0.0,-836.017883,-3801.85839775,376.0625,1589.25,-2672.5637807500007,None,CH,2026-04-23
2026-01-01 08:00:00+00:00,0.0,787.732971,0.0,3882.0852045,68.775,73.53,1863.75,0.0,-787.732971,-3882.0852045,-4.7549999999999955,1863.75,-2810.8231755000006,None,CH,2026-04-23
2026-01-01 09:00:00+00:00,0.0,793.885009,0.0,3627.420654,0.0,612.4225,1531.25,0.0,-793.885009,-3627.420654,-612.4225,1531.25,-3502.4781629999998,None,CH,2026-04-23
2026-01-01 10:00:00+00:00,0.0,777.646484,0.0,3387.7481685000002,0.0,621.2975,1500.25,0.0,-777.646484,-3387.7481685000002,-621.2975,1500.25,-3286.4421525,None,CH,2026-04-23
2026-01-01 11:00:00+00:00,0.0,958.039794,0.0,3396.17047075,0.0,710.7325,1533.75,0.0,-958.039794,-3396.17047075,-710.7325,1533.75,-3531.1927647499997,None,CH,2026-04-23
2026-01-01 12:00:00+00:00,0.0,812.06958,0.0,3176.645019,0.0,771.3275,1184.75,0.0,-812.06958,-3176.645019,-771.3275,1184.75,-3575.2920990000002,None,CH,2026-04-23
2026-01-01 13:00:00+00:00,0.0,694.103698,0.0,3286.7255855,0.0,787.1725,1289.5,0.0,-694.103698,-3286.7255855,-787.1725,1289.5,-3478.5017835,None,CH,2026-04-23
2026-01-01 14:00:00+00:00,0.0,416.413421,0.0,3366.5989375,0.0,906.2075,1203.0,0.0,-416.413421,-3366.5989375,-906.2075,1203.0,-3486.2198585000006,None,CH,2026-04-23
2026-01-01 15:00:00+00:00,0.0,362.62033,0.0,3397.0590205,0.0,795.6175,1257.0,0.0,-362.62033,-3397.0590205,-795.6175,1257.0,-3298.2968505,None,CH,2026-04-23
2026-01-01 16:00:00+00:00,0.0,503.321899,0.0,3665.14648375,0.0,418.39,1420.75,0.0,-503.321899,-3665.14648375,-418.39,1420.75,-3166.1083827499997,None,CH,2026-04-23
2026-01-01 17:00:00+00:00,0.0,558.852294,0.0,3766.95349075,0.0,231.3025,1422.75,0.0,-558.852294,-3766.95349075,-231.3025,1422.75,-3134.35828475,None,CH,2026-04-23
2026-01-01 18:00:00+00:00,0.0,711.606018,0.0,3960.925842,0.0,296.4975,1782.25,0.0,-711.606018,-3960.925842,-296.4975,1782.25,-3186.7793600000005,None,CH,2026-04-23
2026-01-01 19:00:00+00:00,0.0,714.057128,0.0,3822.1610712499996,0.0,517.4475,1906.25,0.0,-714.057128,-3822.1610712499996,-517.4475,1906.25,-3147.41569925,None,CH,2026-04-23
2026-01-01 20:00:00+00:00,0.0,833.422546,0.0,3809.7036737500002,0.0,599.9225,2022.0,0.0,-833.422546,-3809.7036737500002,-599.9225,2022.0,-3221.0487197499997,None,CH,2026-04-23
2026-01-01 21:00:00+00:00,0.0,894.711608,0.0,3972.16003375,0.0,509.6525,1937.5,0.0,-894.711608,-3972.16003375,-509.6525,1937.5,-3439.02414175,None,CH,2026-04-23
2026-01-01 22:00:00+00:00,0.0,892.97998,0.0,3974.9416499999998,0.0,666.9,1742.25,0.0,-892.97998,-3974.9416499999998,-666.9,1742.25,-3792.5716299999995,None,CH,2026-04-23
2026-01-01 23:00:00+00:00,0.0,1069.829711,0.0,4653.353881499999,2.1725,79.4325,1758.0,0.0,-1069.829711,-4653.353881499999,-77.26,1758.0,-4042.4435925,None,CH,2026-04-23
2026-01-02 00:00:00+00:00,0.0,1052.320434,0.0,5035.75769,0.0,96.7225,1472.5,0.0,-1052.320434,-5035.75769,-96.7225,1472.5,-4712.300624,None,CH,2026-04-23
2026-01-02 01:00:00+00:00,0.0,1014.126464,0.0,4959.731933,0.0,204.8225,1170.5,0.0,-1014.126464,-4959.731933,-204.8225,1170.5,-5008.180897,None,CH,2026-04-23
2026-01-02 02:00:00+00:00,0.0,1044.907592,0.0,5028.50561475,0.0,151.95,1179.25,0.0,-1044.907592,-5028.50561475,-151.95,1179.25,-5046.113206749999,None,CH,2026-04-23
2026-01-02 03:00:00+00:00,0.0,1100.441162,0.0,4841.6906735,0.0,252.3025,1167.0,0.0,-1100.441162,-4841.6906735,-252.3025,1167.0,-5027.4343355,None,CH,2026-04-23
2026-01-02 04:00:00+00:00,0.0,1139.340698,0.0,4829.13391075,0.0,122.4825,1427.0,0.0,-1139.340698,-4829.13391075,-122.4825,1427.0,-4663.95710875,None,CH,2026-04-23
2026-01-02 05:00:00+00:00,0.0,1220.403564,0.0,4924.485351,305.7225,0.0,2199.25,0.0,-1220.403564,-4924.485351,305.7225,2199.25,-3639.9164150000006,None,CH,2026-04-23
2026-01-02 06:00:00+00:00,0.0,1247.958496,0.0,5148.6040032500005,401.02,0.0,2741.25,0.0,-1247.958496,-5148.6040032500005,401.02,2741.25,-3254.292499250001,None,CH,2026-04-23
2026-01-02 07:00:00+00:00,0.0,1289.0531,0.0,4980.155761,352.88,0.0,2574.5,0.0,-1289.0531,-4980.155761,352.88,2574.5,-3341.828861,None,CH,2026-04-23
2026-01-02 08:00:00+00:00,0.0,1163.548706,0.0,4347.82934525,0.0,405.185,2585.25,0.0,-1163.548706,-4347.82934525,-405.185,2585.25,-3331.31305125,None,CH,2026-04-23
2026-01-02 09:00:00+00:00,0.0,691.070556,0.0,3441.69232125,0.0,964.5975,1267.25,0.0,-691.070556,-3441.69232125,-964.5975,1267.25,-3830.11037725,None,CH,2026-04-23
2026-01-02 10:00:00+00:00,0.0,421.616119,0.0,3045.39154,0.0,1352.4575,773.75,0.0,-421.616119,-3045.39154,-1352.4575,773.75,-4045.7151589999994,None,CH,2026-04-23
2026-01-02 11:00:00+00:00,0.0,640.479858,0.0,3123.6127315,0.0,1665.0425,1210.0,0.0,-640.479858,-3123.6127315,-1665.0425,1210.0,-4219.1350895,None,CH,2026-04-23
2026-01-02 12:00:00+00:00,0.0,689.782897,0.0,3369.3673092500003,0.0,1309.74,1004.75,0.0,-689.782897,-3369.3673092500003,-1309.74,1004.75,-4364.14020625,None,CH,2026-04-23
2026-01-02 13:00:00+00:00,0.0,668.982849,0.0,3333.750915,0.0,1207.9575,1312.0,0.0,-668.982849,-3333.750915,-1207.9575,1312.0,-3898.691264,None,CH,2026-04-23
2026-01-02 14:00:00+00:00,0.0,693.847473,0.0,3417.4221185,0.0,1095.945,1750.5,0.0,-693.847473,-3417.4221185,-1095.945,1750.5,-3456.7145915,None,CH,2026-04-23
