,IT_SICI_IT_CALA,IT_CALA_IT_SICI,IT_SICI_IT_CALA_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,1326.98,-1326.98,-1326.98,None,IT_SICI,2026-04-23
2026-01-01 01:00:00+00:00,0.0,1253.365,-1253.365,-1253.365,None,IT_SICI,2026-04-23
2026-01-01 02:00:00+00:00,0.0,1136.8725,-1136.8725,-1136.8725,None,IT_SICI,2026-04-23
2026-01-01 03:00:00+00:00,0.0,1046.4125000000001,-1046.4125000000001,-1046.4125000000001,None,IT_SICI,2026-04-23
2026-01-01 04:00:00+00:00,0.0,986.4575,-986.4575,-986.4575,None,IT_SICI,2026-04-23
2026-01-01 05:00:00+00:00,0.0,990.6075,-990.6075,-990.6075,None,IT_SICI,2026-04-23
2026-01-01 06:00:00+00:00,0.0,874.535,-874.535,-874.535,None,IT_SICI,2026-04-23
2026-01-01 07:00:00+00:00,0.0,688.1899999999999,-688.1899999999999,-688.1899999999999,None,IT_SICI,2026-04-23
2026-01-01 08:00:00+00:00,0.0,555.125,-555.125,-555.125,None,IT_SICI,2026-04-23
2026-01-01 09:00:00+00:00,0.0,484.59749999999997,-484.59749999999997,-484.59749999999997,None,IT_SICI,2026-04-23
2026-01-01 10:00:00+00:00,0.0,436.725,-436.725,-436.725,None,IT_SICI,2026-04-23
2026-01-01 11:00:00+00:00,0.0,420.42,-420.42,-420.42,None,IT_SICI,2026-04-23
2026-01-01 12:00:00+00:00,0.0,400.2825,-400.2825,-400.2825,None,IT_SICI,2026-04-23
2026-01-01 13:00:00+00:00,0.0,205.875,-205.875,-205.875,None,IT_SICI,2026-04-23
2026-01-01 14:00:00+00:00,0.0,319.15,-319.15,-319.15,None,IT_SICI,2026-04-23
2026-01-01 15:00:00+00:00,0.0,312.835,-312.835,-312.835,None,IT_SICI,2026-04-23
2026-01-01 16:00:00+00:00,0.0,264.64,-264.64,-264.64,None,IT_SICI,2026-04-23
2026-01-01 17:00:00+00:00,0.0,267.6725,-267.6725,-267.6725,None,IT_SICI,2026-04-23
2026-01-01 18:00:00+00:00,0.0,266.70000000000005,-266.70000000000005,-266.70000000000005,None,IT_SICI,2026-04-23
2026-01-01 19:00:00+00:00,0.0,349.755,-349.755,-349.755,None,IT_SICI,2026-04-23
2026-01-01 20:00:00+00:00,0.0,327.175,-327.175,-327.175,None,IT_SICI,2026-04-23
2026-01-01 21:00:00+00:00,0.0,553.12,-553.12,-553.12,None,IT_SICI,2026-04-23
2026-01-01 22:00:00+00:00,0.0,811.3075,-811.3075,-811.3075,None,IT_SICI,2026-04-23
2026-01-01 23:00:00+00:00,0.0,629.875,-629.875,-629.875,None,IT_SICI,2026-04-23
2026-01-02 00:00:00+00:00,0.0,476.2175,-476.2175,-476.2175,None,IT_SICI,2026-04-23
2026-01-02 01:00:00+00:00,0.0,401.845,-401.845,-401.845,None,IT_SICI,2026-04-23
2026-01-02 02:00:00+00:00,0.0,352.63,-352.63,-352.63,None,IT_SICI,2026-04-23
2026-01-02 03:00:00+00:00,0.0,253.255,-253.255,-253.255,None,IT_SICI,2026-04-23
2026-01-02 04:00:00+00:00,0.0,248.9375,-248.9375,-248.9375,None,IT_SICI,2026-04-23
2026-01-02 05:00:00+00:00,0.0,196.23250000000002,-196.23250000000002,-196.23250000000002,None,IT_SICI,2026-04-23
2026-01-02 06:00:00+00:00,54.4925,24.52,29.9725,29.9725,None,IT_SICI,2026-04-23
2026-01-02 07:00:00+00:00,260.8675,0.0,260.8675,260.8675,None,IT_SICI,2026-04-23
2026-01-02 08:00:00+00:00,588.13,0.0,588.13,588.13,None,IT_SICI,2026-04-23
2026-01-02 09:00:00+00:00,851.25,0.0,851.25,851.25,None,IT_SICI,2026-04-23
2026-01-02 10:00:00+00:00,985.9925,0.0,985.9925,985.9925,None,IT_SICI,2026-04-23
2026-01-02 11:00:00+00:00,1032.2175,0.0,1032.2175,1032.2175,None,IT_SICI,2026-04-23
2026-01-02 12:00:00+00:00,781.9175,0.0,781.9175,781.9175,None,IT_SICI,2026-04-23
2026-01-02 13:00:00+00:00,606.625,0.0,606.625,606.625,None,IT_SICI,2026-04-23
2026-01-02 14:00:00+00:00,387.9575,0.0,387.9575,387.9575,None,IT_SICI,2026-04-23
2026-01-02 15:00:00+00:00,61.755,0.0,61.755,61.755,None,IT_SICI,2026-04-23
2026-01-02 16:00:00+00:00,0.0,94.7375,-94.7375,-94.7375,None,IT_SICI,2026-04-23
2026-01-02 17:00:00+00:00,0.0,163.3375,-163.3375,-163.3375,None,IT_SICI,2026-04-23
2026-01-02 18:00:00+00:00,0.0,217.92749999999998,-217.92749999999998,-217.92749999999998,None,IT_SICI,2026-04-23
2026-01-02 19:00:00+00:00,0.0,251.26749999999998,-251.26749999999998,-251.26749999999998,None,IT_SICI,2026-04-23
2026-01-02 20:00:00+00:00,0.0,245.8725,-245.8725,-245.8725,None,IT_SICI,2026-04-23
2026-01-02 21:00:00+00:00,0.0,577.17,-577.17,-577.17,None,IT_SICI,2026-04-23
2026-01-02 22:00:00+00:00,0.0,335.6,-335.6,-335.6,None,IT_SICI,2026-04-23
2026-01-02 23:00:00+00:00,0.0,137.0825,-137.0825,-137.0825,None,IT_SICI,2026-04-23
2026-01-03 00:00:00+00:00,0.0,67.53,-67.53,-67.53,None,IT_SICI,2026-04-23
2026-01-03 01:00:00+00:00,0.0,92.5875,-92.5875,-92.5875,None,IT_SICI,2026-04-23
2026-01-03 02:00:00+00:00,0.0,30.1475,-30.1475,-30.1475,None,IT_SICI,2026-04-23
2026-01-03 03:00:00+00:00,0.0,70.485,-70.485,-70.485,None,IT_SICI,2026-04-23
2026-01-03 04:00:00+00:00,0.0,225.9325,-225.9325,-225.9325,None,IT_SICI,2026-04-23
2026-01-03 05:00:00+00:00,0.0,360.2525,-360.2525,-360.2525,None,IT_SICI,2026-04-23
2026-01-03 06:00:00+00:00,0.0,327.8075,-327.8075,-327.8075,None,IT_SICI,2026-04-23
2026-01-03 07:00:00+00:00,0.0,313.31,-313.31,-313.31,None,IT_SICI,2026-04-23
2026-01-03 08:00:00+00:00,0.0,172.5225,-172.5225,-172.5225,None,IT_SICI,2026-04-23
2026-01-03 09:00:00+00:00,66.0375,1.42,64.61749999999999,64.61749999999999,None,IT_SICI,2026-04-23
2026-01-03 10:00:00+00:00,349.2525,0.0,349.2525,349.2525,None,IT_SICI,2026-04-23
2026-01-03 11:00:00+00:00,459.9175,0.0,459.9175,459.9175,None,IT_SICI,2026-04-23
2026-01-03 12:00:00+00:00,253.87,0.0,253.87,253.87,None,IT_SICI,2026-04-23
2026-01-03 13:00:00+00:00,125.3825,0.0,125.3825,125.3825,None,IT_SICI,2026-04-23
2026-01-03 14:00:00+00:00,25.9825,18.47,7.512500000000003,7.512500000000003,None,IT_SICI,2026-04-23
2026-01-03 15:00:00+00:00,4.025,74.9625,-70.9375,-70.9375,None,IT_SICI,2026-04-23
2026-01-03 16:00:00+00:00,0.0,159.505,-159.505,-159.505,None,IT_SICI,2026-04-23
2026-01-03 17:00:00+00:00,0.0,172.91500000000002,-172.91500000000002,-172.91500000000002,None,IT_SICI,2026-04-23
2026-01-03 18:00:00+00:00,0.0,115.19,-115.19,-115.19,None,IT_SICI,2026-04-23
2026-01-03 19:00:00+00:00,7.637499999999999,28.4875,-20.85,-20.85,None,IT_SICI,2026-04-23
2026-01-03 20:00:00+00:00,81.6825,4.1850000000000005,77.4975,77.4975,None,IT_SICI,2026-04-23
2026-01-03 21:00:00+00:00,86.45,0.0,86.45,86.45,None,IT_SICI,2026-04-23
2026-01-03 22:00:00+00:00,0.0,87.77250000000001,-87.77250000000001,-87.77250000000001,None,IT_SICI,2026-04-23
2026-01-03 23:00:00+00:00,58.2975,0.0,58.2975,58.2975,None,IT_SICI,2026-04-23
2026-01-04 00:00:00+00:00,202.02,0.0,202.02,202.02,None,IT_SICI,2026-04-23
2026-01-04 01:00:00+00:00,274.9725,0.0,274.9725,274.9725,None,IT_SICI,2026-04-23
2026-01-04 02:00:00+00:00,293.945,0.0,293.945,293.945,None,IT_SICI,2026-04-23
2026-01-04 03:00:00+00:00,339.1,0.0,339.1,339.1,None,IT_SICI,2026-04-23
2026-01-04 04:00:00+00:00,319.36,0.0,319.36,319.36,None,IT_SICI,2026-04-23
2026-01-04 05:00:00+00:00,210.025,0.0,210.025,210.025,None,IT_SICI,2026-04-23
2026-01-04 06:00:00+00:00,30.5025,78.04249999999999,-47.53999999999999,-47.53999999999999,None,IT_SICI,2026-04-23
2026-01-04 07:00:00+00:00,0.0,167.815,-167.815,-167.815,None,IT_SICI,2026-04-23
2026-01-04 08:00:00+00:00,0.0,195.9725,-195.9725,-195.9725,None,IT_SICI,2026-04-23
2026-01-04 09:00:00+00:00,0.0,159.54250000000002,-159.54250000000002,-159.54250000000002,None,IT_SICI,2026-04-23
2026-01-04 10:00:00+00:00,0.0,94.3675,-94.3675,-94.3675,None,IT_SICI,2026-04-23
2026-01-04 11:00:00+00:00,88.1825,0.0,88.1825,88.1825,None,IT_SICI,2026-04-23
2026-01-04 12:00:00+00:00,60.082499999999996,0.0,60.082499999999996,60.082499999999996,None,IT_SICI,2026-04-23
2026-01-04 13:00:00+00:00,23.3275,1.7925,21.535,21.535,None,IT_SICI,2026-04-23
2026-01-04 14:00:00+00:00,100.88,0.0,100.88,100.88,None,IT_SICI,2026-04-23
2026-01-04 15:00:00+00:00,22.380000000000003,61.87,-39.489999999999995,-39.489999999999995,None,IT_SICI,2026-04-23
2026-01-04 16:00:00+00:00,0.735,79.89,-79.155,-79.155,None,IT_SICI,2026-04-23
2026-01-04 17:00:00+00:00,14.9225,19.2475,-4.324999999999999,-4.324999999999999,None,IT_SICI,2026-04-23
2026-01-04 18:00:00+00:00,0.0,119.30250000000001,-119.30250000000001,-119.30250000000001,None,IT_SICI,2026-04-23
2026-01-04 19:00:00+00:00,0.0,182.315,-182.315,-182.315,None,IT_SICI,2026-04-23
2026-01-04 20:00:00+00:00,46.3575,1.94,44.417500000000004,44.417500000000004,None,IT_SICI,2026-04-23
2026-01-04 21:00:00+00:00,23.5525,255.64000000000001,-232.0875,-232.0875,None,IT_SICI,2026-04-23
2026-01-04 22:00:00+00:00,0.0,444.8,-444.8,-444.8,None,IT_SICI,2026-04-23
2026-01-04 23:00:00+00:00,0.0,291.31,-291.31,-291.31,None,IT_SICI,2026-04-23
2026-01-05 00:00:00+00:00,0.0,273.855,-273.855,-273.855,None,IT_SICI,2026-04-23
2026-01-05 01:00:00+00:00,0.5475,87.0825,-86.535,-86.535,None,IT_SICI,2026-04-23
2026-01-05 02:00:00+00:00,89.88749999999999,0.0,89.88749999999999,89.88749999999999,None,IT_SICI,2026-04-23
2026-01-05 03:00:00+00:00,66.1075,0.0,66.1075,66.1075,None,IT_SICI,2026-04-23
2026-01-05 04:00:00+00:00,109.8975,0.0,109.8975,109.8975,None,IT_SICI,2026-04-23
2026-01-05 05:00:00+00:00,388.55,0.0,388.55,388.55,None,IT_SICI,2026-04-23
2026-01-05 06:00:00+00:00,624.52,0.0,624.52,624.52,None,IT_SICI,2026-04-23
2026-01-05 07:00:00+00:00,466.1325,0.0,466.1325,466.1325,None,IT_SICI,2026-04-23
2026-01-05 08:00:00+00:00,385.6675,0.0,385.6675,385.6675,None,IT_SICI,2026-04-23
2026-01-05 09:00:00+00:00,663.5775,0.0,663.5775,663.5775,None,IT_SICI,2026-04-23
2026-01-05 10:00:00+00:00,1015.6949999999999,0.0,1015.6949999999999,1015.6949999999999,None,IT_SICI,2026-04-23
2026-01-05 11:00:00+00:00,909.7900000000001,0.0,909.7900000000001,909.7900000000001,None,IT_SICI,2026-04-23
2026-01-05 12:00:00+00:00,658.4475,0.0,658.4475,658.4475,None,IT_SICI,2026-04-23
2026-01-05 13:00:00+00:00,518.94,0.0,518.94,518.94,None,IT_SICI,2026-04-23
2026-01-05 14:00:00+00:00,118.1,67.8425,50.25749999999999,50.25749999999999,None,IT_SICI,2026-04-23
2026-01-05 15:00:00+00:00,0.0,449.9625,-449.9625,-449.9625,None,IT_SICI,2026-04-23
2026-01-05 16:00:00+00:00,0.0,696.265,-696.265,-696.265,None,IT_SICI,2026-04-23
2026-01-05 17:00:00+00:00,0.0,770.63,-770.63,-770.63,None,IT_SICI,2026-04-23
2026-01-05 18:00:00+00:00,0.0,794.2125,-794.2125,-794.2125,None,IT_SICI,2026-04-23
2026-01-05 19:00:00+00:00,0.0,726.085,-726.085,-726.085,None,IT_SICI,2026-04-23
2026-01-05 20:00:00+00:00,0.0,468.3325,-468.3325,-468.3325,None,IT_SICI,2026-04-23
2026-01-05 21:00:00+00:00,0.0,199.5975,-199.5975,-199.5975,None,IT_SICI,2026-04-23
2026-01-05 22:00:00+00:00,0.0,230.35,-230.35,-230.35,None,IT_SICI,2026-04-23
2026-01-05 23:00:00+00:00,0.0,215.295,-215.295,-215.295,None,IT_SICI,2026-04-23
2026-01-06 00:00:00+00:00,0.0,243.185,-243.185,-243.185,None,IT_SICI,2026-04-23
2026-01-06 01:00:00+00:00,0.0,137.82999999999998,-137.82999999999998,-137.82999999999998,None,IT_SICI,2026-04-23
2026-01-06 02:00:00+00:00,45.582499999999996,0.6625,44.919999999999995,44.919999999999995,None,IT_SICI,2026-04-23
2026-01-06 03:00:00+00:00,105.94999999999999,0.0,105.94999999999999,105.94999999999999,None,IT_SICI,2026-04-23
2026-01-06 04:00:00+00:00,244.6125,0.0,244.6125,244.6125,None,IT_SICI,2026-04-23
