,ES_FR,FR_ES,ES_PT,PT_ES,ES_FR_net_export,ES_PT_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,1634.23,98.03,82.84,-1634.23,15.189999999999998,-1619.04,None,ES,2026-04-23
2026-01-01 01:00:00+00:00,0.0,1629.79,11.85,65.99000000000001,-1629.79,-54.14000000000001,-1683.93,None,ES,2026-04-23
2026-01-01 02:00:00+00:00,0.0,1762.77,285.1,3.33,-1762.77,281.77000000000004,-1481.0,None,ES,2026-04-23
2026-01-01 03:00:00+00:00,0.0,1091.23,851.8199999999999,0.0,-1091.23,851.8199999999999,-239.41000000000008,None,ES,2026-04-23
2026-01-01 04:00:00+00:00,0.0,792.53,1016.26,0.0,-792.53,1016.26,223.73000000000002,None,ES,2026-04-23
2026-01-01 05:00:00+00:00,0.0,1444.3899999999999,977.65,0.0,-1444.3899999999999,977.65,-466.7399999999999,None,ES,2026-04-23
2026-01-01 06:00:00+00:00,0.0,1764.8200000000002,416.73,0.0,-1764.8200000000002,416.73,-1348.0900000000001,None,ES,2026-04-23
2026-01-01 07:00:00+00:00,0.0,1720.1799999999998,555.71,0.0,-1720.1799999999998,555.71,-1164.4699999999998,None,ES,2026-04-23
2026-01-01 08:00:00+00:00,0.0,1638.73,987.47,0.0,-1638.73,987.47,-651.26,None,ES,2026-04-23
2026-01-01 09:00:00+00:00,0.0,1735.47,1365.78,0.0,-1735.47,1365.78,-369.69000000000005,None,ES,2026-04-23
2026-01-01 10:00:00+00:00,0.0,1948.43,1614.33,0.0,-1948.43,1614.33,-334.10000000000014,None,ES,2026-04-23
2026-01-01 11:00:00+00:00,0.0,1728.28,1982.19,0.0,-1728.28,1982.19,253.91000000000008,None,ES,2026-04-23
2026-01-01 12:00:00+00:00,0.0,1849.8,2054.13,0.0,-1849.8,2054.13,204.33000000000015,None,ES,2026-04-23
2026-01-01 13:00:00+00:00,0.0,1930.8400000000001,1749.23,0.0,-1930.8400000000001,1749.23,-181.61000000000013,None,ES,2026-04-23
2026-01-01 14:00:00+00:00,0.0,2007.44,1673.23,0.0,-2007.44,1673.23,-334.21000000000004,None,ES,2026-04-23
2026-01-01 15:00:00+00:00,0.0,1553.8899999999999,974.93,0.0,-1553.8899999999999,974.93,-578.9599999999999,None,ES,2026-04-23
2026-01-01 16:00:00+00:00,0.0,1809.79,0.0,698.09,-1809.79,-698.09,-2507.88,None,ES,2026-04-23
2026-01-01 17:00:00+00:00,0.0,1816.53,0.0,1785.15,-1816.53,-1785.15,-3601.6800000000003,None,ES,2026-04-23
2026-01-01 18:00:00+00:00,0.0,1417.45,0.0,2171.9700000000003,-1417.45,-2171.9700000000003,-3589.42,None,ES,2026-04-23
2026-01-01 19:00:00+00:00,0.0,1738.09,0.0,2307.36,-1738.09,-2307.36,-4045.45,None,ES,2026-04-23
