,FI_EE,EE_FI,FI_NO_4,NO_4_FI,FI_SE_1,SE_1_FI,FI_SE_3,SE_3_FI,FI_EE_net_export,FI_NO_4_net_export,FI_SE_1_net_export,FI_SE_3_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,662.0675,0.0,23.70072225,0.0,0.0,1778.375,0.0,1193.375,662.0675,23.70072225,-1778.375,-1193.375,-2285.98177775,None,FI,2026-04-23
2026-01-01 01:00:00+00:00,579.89,0.0,22.045104000000002,0.0,0.0,1785.525,0.0,1193.3500000000001,579.89,22.045104000000002,-1785.525,-1193.3500000000001,-2376.939896,None,FI,2026-04-23
2026-01-01 02:00:00+00:00,468.09749999999997,0.0,25.758841,0.0,0.0,1858.675,0.0,1183.375,468.09749999999997,25.758841,-1858.675,-1183.375,-2548.193659,None,FI,2026-04-23
2026-01-01 03:00:00+00:00,254.88,0.0,25.28701625,0.0,0.0,1810.425,0.0,1183.175,254.88,25.28701625,-1810.425,-1183.175,-2713.43298375,None,FI,2026-04-23
2026-01-01 04:00:00+00:00,188.0725,0.0,31.508955750000002,0.0,0.0,1791.825,0.0,1072.175,188.0725,31.508955750000002,-1791.825,-1072.175,-2644.41854425,None,FI,2026-04-23
2026-01-01 05:00:00+00:00,190.075,0.0,32.970211750000004,0.0,0.0,1790.45,0.0,989.24,190.075,32.970211750000004,-1790.45,-989.24,-2556.64478825,None,FI,2026-04-23
2026-01-01 06:00:00+00:00,222.7875,0.0,37.47104675,0.0,0.0,1933.175,0.0,1128.3,222.7875,37.47104675,-1933.175,-1128.3,-2801.21645325,None,FI,2026-04-23
2026-01-01 07:00:00+00:00,348.6825,0.0,36.841852,0.0,0.0,1854.275,0.0,1188.1499999999999,348.6825,36.841852,-1854.275,-1188.1499999999999,-2656.900648,None,FI,2026-04-23
2026-01-01 08:00:00+00:00,332.615,0.0,40.86838,0.0,0.0,1942.825,0.0,1151.95,332.615,40.86838,-1942.825,-1151.95,-2721.29162,None,FI,2026-04-23
2026-01-01 09:00:00+00:00,265.85249999999996,0.0,37.488324500000004,0.0,0.0,1732.6750000000002,0.0,1178.2,265.85249999999996,37.488324500000004,-1732.6750000000002,-1178.2,-2607.5341755,None,FI,2026-04-23
2026-01-01 10:00:00+00:00,280.5575,0.0,12.875821,0.0,0.0,2049.55,0.0,1178.175,280.5575,12.875821,-2049.55,-1178.175,-2934.291679,None,FI,2026-04-23
2026-01-01 11:00:00+00:00,335.2625,0.0,11.073407,0.0,0.0,1958.5,0.0,1192.0500000000002,335.2625,11.073407,-1958.5,-1192.0500000000002,-2804.2140930000005,None,FI,2026-04-23
2026-01-01 12:00:00+00:00,428.2675,0.0,11.7677125,0.0,0.0,1835.875,0.0,1193.2,428.2675,11.7677125,-1835.875,-1193.2,-2589.0397875,None,FI,2026-04-23
2026-01-01 13:00:00+00:00,382.7,0.0,4.36244275,2.808175,0.0,1842.025,0.0,1193.075,382.7,1.5542677499999997,-1842.025,-1193.075,-2650.84573225,None,FI,2026-04-23
2026-01-01 14:00:00+00:00,381.08,0.0,0.0,11.728,0.0,1806.225,0.0,1193.75,381.08,-11.728,-1806.225,-1193.75,-2630.623,None,FI,2026-04-23
2026-01-01 15:00:00+00:00,367.9175,0.0,0.0,12.39105,0.0,1828.575,0.0,1193.675,367.9175,-12.39105,-1828.575,-1193.675,-2666.7235499999997,None,FI,2026-04-23
2026-01-01 16:00:00+00:00,360.995,0.0,0.0,18.168,0.0,1899.9,0.0,1193.625,360.995,-18.168,-1899.9,-1193.625,-2750.6980000000003,None,FI,2026-04-23
2026-01-01 17:00:00+00:00,387.015,0.0,0.0,34.94225,0.0,1835.35,0.0,1193.675,387.015,-34.94225,-1835.35,-1193.675,-2676.95225,None,FI,2026-04-23
2026-01-01 18:00:00+00:00,506.245,0.0,0.0,39.8985,0.0,1688.125,0.0,1193.6750000000002,506.245,-39.8985,-1688.125,-1193.6750000000002,-2415.4535,None,FI,2026-04-23
2026-01-01 19:00:00+00:00,432.225,0.0,0.0,46.64925,0.0,1767.8,0.0,1177.375,432.225,-46.64925,-1767.8,-1177.375,-2559.59925,None,FI,2026-04-23
2026-01-01 20:00:00+00:00,351.51,0.0,0.0,41.66325,0.0,1891.075,0.0,1170.05,351.51,-41.66325,-1891.075,-1170.05,-2751.2782500000003,None,FI,2026-04-23
2026-01-01 21:00:00+00:00,312.475,0.0,0.0,30.425,0.0,1807.975,0.0,1175.3,312.475,-30.425,-1807.975,-1175.3,-2701.225,None,FI,2026-04-23
2026-01-01 22:00:00+00:00,290.7325,0.0,0.0,26.589,0.0,1818.275,0.0,1173.7,290.7325,-26.589,-1818.275,-1173.7,-2727.8315000000002,None,FI,2026-04-23
2026-01-01 23:00:00+00:00,446.725,0.0,0.0,29.03275,0.0,1883.65,0.0,1137.875,446.725,-29.03275,-1883.65,-1137.875,-2603.83275,None,FI,2026-04-23
2026-01-02 00:00:00+00:00,227.51500000000001,0.0,0.0,21.887999999999998,0.0,1745.05,0.0,690.3225,227.51500000000001,-21.887999999999998,-1745.05,-690.3225,-2229.7455,None,FI,2026-04-23
2026-01-02 01:00:00+00:00,314.74,0.0,0.0,17.332,0.0,1867.075,0.0,615.71,314.74,-17.332,-1867.075,-615.71,-2185.377,None,FI,2026-04-23
2026-01-02 02:00:00+00:00,323.9225,0.0,0.0,21.441000000000003,0.0,1892.175,0.0,341.4125,323.9225,-21.441000000000003,-1892.175,-341.4125,-1931.1059999999998,None,FI,2026-04-23
2026-01-02 03:00:00+00:00,267.0825,0.0,0.0,17.41325,0.0,1699.0,0.0,413.915,267.0825,-17.41325,-1699.0,-413.915,-1863.24575,None,FI,2026-04-23
2026-01-02 04:00:00+00:00,446.6575,0.0,0.0,22.26375,0.0,1709.425,0.0,977.3025,446.6575,-22.26375,-1709.425,-977.3025,-2262.33375,None,FI,2026-04-23
2026-01-02 05:00:00+00:00,929.1225,0.0,0.0,28.6985,0.0,1688.65,0.0,1172.575,929.1225,-28.6985,-1688.65,-1172.575,-1960.8010000000002,None,FI,2026-04-23
2026-01-02 06:00:00+00:00,1015.025,0.0,0.0,31.16,0.0,1858.85,0.0,906.605,1015.025,-31.16,-1858.85,-906.605,-1781.59,None,FI,2026-04-23
2026-01-02 07:00:00+00:00,983.695,0.0,0.0,36.638,0.0,1938.05,0.0,584.3199999999999,983.695,-36.638,-1938.05,-584.3199999999999,-1575.3129999999999,None,FI,2026-04-23
2026-01-02 08:00:00+00:00,1018.9250000000001,0.0,0.0,38.6265,0.0,1825.875,0.0,627.0175,1018.9250000000001,-38.6265,-1825.875,-627.0175,-1472.594,None,FI,2026-04-23
