,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,137.0,9.0,8983.75,21.0,3.0,0.0,947.5,59.0,1432.25,0.0,9.0,11601.5,0.0,286.25,11872.75,11601.5,12159.0,-557.5,None,IT_NORD,2026-04-23
2026-01-01 01:00:00+00:00,137.75,9.0,8893.5,21.0,3.0,0.0,938.25,58.0,1431.5,0.0,13.25,11505.25,0.0,503.75,11493.25,11505.25,11997.0,-491.75,None,IT_NORD,2026-04-23
2026-01-01 02:00:00+00:00,136.75,8.0,8298.0,21.0,3.0,0.0,916.0,58.0,1432.25,0.0,37.0,10910.0,0.0,664.5,11146.75,10910.0,11811.25,-901.25,None,IT_NORD,2026-04-23
2026-01-01 03:00:00+00:00,136.5,8.0,7475.5,24.5,2.5,0.0,892.0,57.5,1439.0,0.0,44.0,10079.5,0.0,84.0,10981.25,10079.5,11065.25,-985.75,None,IT_NORD,2026-04-23
2026-01-01 04:00:00+00:00,134.5,8.0,7193.0,33.0,2.0,0.0,870.75,58.75,1438.0,0.0,61.0,9799.0,0.5,0.0,11209.0,9799.5,11209.0,-1409.5,None,IT_NORD,2026-04-23
2026-01-01 05:00:00+00:00,136.0,9.25,7803.75,40.5,2.0,0.0,944.0,81.5,1425.75,0.0,70.0,10512.75,384.75,0.0,11866.75,10897.5,11866.75,-969.25,None,IT_NORD,2026-04-23
2026-01-01 06:00:00+00:00,136.0,9.75,8181.75,41.0,2.0,0.0,1103.5,90.25,1436.5,0.5,89.5,11090.75,1.5,0.0,12374.75,11092.25,12374.75,-1282.5,None,IT_NORD,2026-04-23
2026-01-01 07:00:00+00:00,136.0,9.75,6810.25,41.0,2.0,0.0,1066.75,105.5,1441.75,287.0,86.0,9986.0,271.75,0.0,12419.75,10257.75,12419.75,-2162.0,None,IT_NORD,2026-04-23
2026-01-01 08:00:00+00:00,137.75,9.75,5524.5,37.0,2.5,0.0,997.25,78.75,1445.25,1114.0,84.0,9430.75,364.5,0.0,12702.25,9795.25,12702.25,-2907.0,None,IT_NORD,2026-04-23
2026-01-01 09:00:00+00:00,137.0,10.0,5067.25,31.0,3.0,0.0,899.25,69.25,1449.25,1843.0,71.25,9580.25,0.0,6.75,12825.0,9580.25,12831.75,-3251.5,None,IT_NORD,2026-04-23
2026-01-01 10:00:00+00:00,137.5,9.5,5508.5,31.0,2.25,0.0,863.75,70.0,1443.0,2460.25,59.75,10585.5,0.0,492.0,13451.75,10585.5,13943.75,-3358.25,None,IT_NORD,2026-04-23
2026-01-01 11:00:00+00:00,137.5,9.0,5874.25,31.0,2.0,0.0,841.25,62.25,1438.75,2416.25,32.0,10844.25,0.0,474.0,13844.0,10844.25,14318.0,-3473.75,None,IT_NORD,2026-04-23
2026-01-01 12:00:00+00:00,137.5,9.0,6484.5,30.25,3.0,0.0,838.25,66.75,1445.0,1705.5,34.5,10754.25,0.0,365.0,13485.0,10754.25,13850.0,-3095.75,None,IT_NORD,2026-04-23
2026-01-01 13:00:00+00:00,138.0,9.0,6740.0,26.0,2.5,0.0,856.5,66.75,1439.75,1103.5,29.75,10411.75,0.0,143.75,13264.0,10411.75,13407.75,-2996.0,None,IT_NORD,2026-04-23
2026-01-01 14:00:00+00:00,136.25,9.0,7852.25,26.0,2.25,0.0,932.0,69.25,1438.75,428.5,34.25,10928.5,0.0,2.5,13408.25,10928.5,13410.75,-2482.25,None,IT_NORD,2026-04-23
2026-01-01 15:00:00+00:00,135.75,9.0,8358.25,26.0,2.0,0.0,1189.0,86.0,1438.75,47.75,42.5,11335.0,89.25,0.0,14077.0,11424.25,14077.0,-2652.75,None,IT_NORD,2026-04-23
2026-01-01 16:00:00+00:00,138.25,9.25,8346.5,26.0,2.75,0.0,1607.5,183.5,1439.75,0.0,47.0,11800.5,834.75,0.0,15239.0,12635.25,15239.0,-2603.75,None,IT_NORD,2026-04-23
2026-01-01 17:00:00+00:00,137.75,9.5,8424.75,29.0,2.5,0.0,1612.5,286.5,1449.0,0.0,55.0,12006.5,608.75,0.0,15677.25,12615.25,15677.25,-3062.0,None,IT_NORD,2026-04-23
2026-01-01 18:00:00+00:00,137.25,9.75,8463.0,31.0,2.75,0.0,1631.25,301.0,1449.5,0.0,48.5,12074.0,635.25,0.0,15847.0,12709.25,15847.0,-3137.75,None,IT_NORD,2026-04-23
2026-01-01 19:00:00+00:00,138.5,10.0,8629.75,31.0,3.0,0.0,1570.5,177.75,1449.5,0.0,45.25,12055.25,290.75,0.0,15304.25,12346.0,15304.25,-2958.25,None,IT_NORD,2026-04-23
2026-01-01 20:00:00+00:00,139.0,10.0,8806.75,27.0,3.0,0.0,1380.5,80.5,1456.75,0.0,40.5,11944.0,93.25,0.0,14479.0,12037.25,14479.0,-2441.75,None,IT_NORD,2026-04-23
