,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,1723.5,6698.0,0.0,0.0,375.0,4097.5,429.0,0.0,11026.2215,6198.6900000000005,30547.911500000002,2.0,0.0,29668.5,30549.911500000002,29668.5,881.411500000002,None,GB,2026-04-23
2026-01-01 01:00:00+00:00,1826.0,6869.0,0.0,0.0,359.5,4134.0,744.5,0.0,11274.83,6356.637500000001,31564.467500000002,2.0,0.0,28650.0,31566.467500000002,28650.0,2916.4675000000025,None,GB,2026-04-23
2026-01-01 02:00:00+00:00,1721.5,6046.0,0.0,0.0,290.5,4198.5,357.5,0.0,11577.260999999999,6447.6335,30638.8945,2.0,0.0,27963.5,30640.8945,27963.5,2677.3944999999985,None,GB,2026-04-23
2026-01-01 03:00:00+00:00,1413.0,5422.5,0.0,0.0,244.0,4210.0,290.0,0.0,11993.996500000001,6672.6085,30246.105000000003,2.0,0.0,25965.0,30248.105000000003,25965.0,4283.105000000003,None,GB,2026-04-23
2026-01-01 04:00:00+00:00,1427.5,4836.0,0.0,0.0,225.0,4207.5,163.5,0.0,12398.151,6522.885,29780.536,2.0,0.0,24366.0,29782.536,24366.0,5416.536,None,GB,2026-04-23
2026-01-01 05:00:00+00:00,1276.0,4412.5,0.0,0.0,224.0,4207.5,464.5,0.0,12420.1195,6524.898999999999,29529.5185,2.0,0.0,23560.0,29531.5185,23560.0,5971.518499999998,None,GB,2026-04-23
2026-01-01 06:00:00+00:00,1141.5,4060.5,0.0,0.0,231.0,4207.5,699.0,0.0,12472.344000000001,6521.998,29333.842,2.0,0.0,24673.0,29335.842,24673.0,4662.842000000001,None,GB,2026-04-23
2026-01-01 07:00:00+00:00,1125.5,4013.5,0.0,0.0,261.5,4210.5,424.0,0.0,12168.8065,6728.304,28932.1105,2.0,0.0,26998.5,28934.1105,26998.5,1935.6104999999989,None,GB,2026-04-23
2026-01-01 08:00:00+00:00,1134.5,4388.5,0.0,0.0,288.0,4209.0,292.5,118.0,12139.3555,6899.9115,29469.767,2.0,0.0,30202.0,29471.767,30202.0,-730.2330000000002,None,GB,2026-04-23
2026-01-01 09:00:00+00:00,1144.5,4621.5,0.0,0.0,335.5,4213.0,299.0,1192.0,12136.325499999999,6705.446,30647.2715,2.0,0.0,33581.5,30649.2715,33581.5,-2932.228500000001,None,GB,2026-04-23
2026-01-01 10:00:00+00:00,1142.5,4578.5,0.0,0.0,306.5,4215.5,489.0,2440.0,12271.037499999999,6917.589,32360.6265,2.0,0.0,36824.5,32362.6265,36824.5,-4461.8735000000015,None,GB,2026-04-23
2026-01-01 11:00:00+00:00,1140.5,4240.0,0.0,0.0,306.0,4225.0,426.5,3059.5,12351.99,7327.361,33076.850999999995,2.0,0.0,38036.5,33078.850999999995,38036.5,-4957.649000000005,None,GB,2026-04-23
2026-01-01 12:00:00+00:00,1142.0,4085.0,0.0,0.0,298.5,4275.0,524.0,2840.0,12290.003499999999,7475.765,32930.2685,2.0,0.0,40999.0,32932.2685,40999.0,-8066.731500000002,None,GB,2026-04-23
2026-01-01 13:00:00+00:00,1137.0,4440.5,0.0,0.0,305.5,4308.0,503.5,2108.5,12231.014,7515.036,32549.05,2.0,0.0,41415.5,32551.05,41415.5,-8864.45,None,GB,2026-04-23
2026-01-01 14:00:00+00:00,1139.5,4803.0,0.0,0.0,309.5,4307.0,543.0,1237.0,11988.6555,7588.728999999999,31916.3845,2.0,0.0,40671.5,31918.3845,40671.5,-8753.1155,None,GB,2026-04-23
2026-01-01 15:00:00+00:00,1143.0,4843.0,0.0,0.0,345.5,4304.0,538.0,318.5,11495.468,7399.477,30386.945,540.5,0.0,42134.5,30927.445,42134.5,-11207.055,None,GB,2026-04-23
2026-01-01 16:00:00+00:00,1134.0,5223.0,0.0,0.0,372.5,4314.0,907.0,0.0,11391.6525,7558.693499999999,30900.845999999998,1031.0,0.0,44181.0,31931.845999999998,44181.0,-12249.154000000002,None,GB,2026-04-23
2026-01-01 17:00:00+00:00,1136.5,5325.5,0.0,0.0,390.5,4274.5,1885.5,0.0,11320.3575,7464.143,31797.0005,1230.5,0.0,45646.0,33027.500499999995,45646.0,-12618.499500000005,None,GB,2026-04-23
2026-01-01 18:00:00+00:00,1127.5,5390.0,0.0,0.0,385.0,4242.5,1168.5,0.0,11316.165,7629.123,31258.788,1050.0,0.0,44779.5,32308.788,44779.5,-12470.712,None,GB,2026-04-23
2026-01-01 19:00:00+00:00,1133.5,4873.5,0.0,0.0,392.5,4241.0,598.5,0.0,11339.4705,7719.5595,30298.03,893.0,0.0,43071.0,31191.03,43071.0,-11879.970000000001,None,GB,2026-04-23
2026-01-01 20:00:00+00:00,1138.5,4256.5,0.0,0.0,361.0,4234.0,545.0,0.0,11494.366,7195.7335,29225.099500000004,226.0,0.0,40412.5,29451.099500000004,40412.5,-10961.400499999996,None,GB,2026-04-23
2026-01-01 21:00:00+00:00,1124.5,3883.5,0.0,0.0,344.0,4235.0,548.0,0.0,12174.0175,6813.6345,29122.652000000002,152.0,0.0,36498.5,29274.652000000002,36498.5,-7223.847999999998,None,GB,2026-04-23
2026-01-01 22:00:00+00:00,1124.5,3384.0,0.0,0.0,353.5,4241.5,390.5,0.0,12160.074,6673.701,28327.775,189.5,0.0,32379.0,28517.275,32379.0,-3861.7249999999985,None,GB,2026-04-23
2026-01-01 23:00:00+00:00,1127.0,2386.0,0.0,0.0,297.0,4232.0,445.0,0.0,12022.654,6646.8205,27156.474500000004,2.0,0.0,31166.0,27158.474500000004,31166.0,-4007.525499999996,None,GB,2026-04-23
2026-01-02 00:00:00+00:00,1139.5,2573.0,0.0,0.0,288.5,4244.0,421.0,0.0,11934.9535,6650.884,27251.8375,2.0,0.0,32870.5,27253.8375,32870.5,-5616.6624999999985,None,GB,2026-04-23
2026-01-02 01:00:00+00:00,1156.5,3086.5,0.0,0.0,275.0,4244.0,273.0,0.0,11982.77,6905.849,27923.619,2.0,0.0,31542.0,27925.619,31542.0,-3616.381000000001,None,GB,2026-04-23
2026-01-02 02:00:00+00:00,1155.0,2352.0,0.0,0.0,270.0,4245.0,251.0,0.0,12156.051,6963.958500000001,27393.0095,2.0,0.0,30245.5,27395.0095,30245.5,-2850.4905,None,GB,2026-04-23
2026-01-02 03:00:00+00:00,1151.5,2263.0,0.0,0.0,270.0,4254.5,279.5,0.0,12275.541000000001,7011.2545,27505.2955,2.0,0.0,28278.0,27507.2955,28278.0,-770.7044999999998,None,GB,2026-04-23
2026-01-02 04:00:00+00:00,1146.0,2522.0,0.0,0.0,271.5,4249.0,344.5,0.0,12235.712,6959.5085,27728.2205,2.0,0.0,26689.5,27730.2205,26689.5,1040.7204999999994,None,GB,2026-04-23
2026-01-02 05:00:00+00:00,1139.0,3161.5,0.0,0.0,288.0,4250.0,229.5,0.0,12073.7075,6891.6835,28033.391,2.0,0.0,26335.0,28035.391,26335.0,1700.3909999999996,None,GB,2026-04-23
2026-01-02 06:00:00+00:00,1141.0,3776.0,0.0,0.0,318.0,4248.0,303.5,0.0,11524.817500000001,6584.7845,27896.102,2.0,0.0,28529.0,27898.102,28529.0,-630.898000000001,None,GB,2026-04-23
2026-01-02 07:00:00+00:00,1156.5,4312.5,0.0,0.0,389.0,4239.0,492.0,0.0,11458.098,6452.9935000000005,28500.0915,2.0,0.0,33758.0,28502.0915,33758.0,-5255.908500000001,None,GB,2026-04-23
2026-01-02 08:00:00+00:00,1389.5,4039.5,0.0,0.0,382.0,4244.0,515.5,119.5,11787.722,6499.3575,28977.0795,152.0,0.0,39565.5,29129.0795,39565.5,-10436.4205,None,GB,2026-04-23
2026-01-02 09:00:00+00:00,2130.5,4219.0,0.0,0.0,382.0,4243.0,487.0,1875.5,11661.596,6400.0395,31398.635499999997,183.5,0.0,43930.0,31582.135499999997,43930.0,-12347.864500000003,None,GB,2026-04-23
