,Fossil Gas,Hydro Water Reservoir,Other,Solar,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.2,80.4695,126.69,0.04,1068.8042500000001,1276.2037500000001,0.0,0.0,2487.25,1276.2037500000001,2487.25,-1211.0462499999999,None,SE_4,2026-04-23
2026-01-01 01:00:00+00:00,0.0,85.444,115.09100000000001,0.03175,1279.4137500000002,1479.9805000000001,0.0,0.0,2368.5,1479.9805000000001,2368.5,-888.5194999999999,None,SE_4,2026-04-23
2026-01-01 02:00:00+00:00,0.4,78.5575,116.79575,0.02875,1417.39625,1613.17825,0.0,0.0,2274.25,1613.17825,2274.25,-661.0717500000001,None,SE_4,2026-04-23
2026-01-01 03:00:00+00:00,0.0,71.631,104.996,0.0335,1454.2420000000002,1630.9025000000001,0.0,0.0,2195.5,1630.9025000000001,2195.5,-564.5974999999999,None,SE_4,2026-04-23
2026-01-01 04:00:00+00:00,0.2,72.66900000000001,91.4615,0.042,1372.8635,1537.2359999999999,0.0,0.0,2268.25,1537.2359999999999,2268.25,-731.0140000000001,None,SE_4,2026-04-23
2026-01-01 05:00:00+00:00,0.0,75.42025,91.47274999999999,0.044,1408.39425,1575.33125,0.0,0.0,2304.0,1575.33125,2304.0,-728.66875,None,SE_4,2026-04-23
2026-01-01 06:00:00+00:00,0.5,75.64325,91.525,0.37575000000000003,1442.683,1610.727,0.0,0.0,2312.0,1610.727,2312.0,-701.2729999999999,None,SE_4,2026-04-23
2026-01-01 07:00:00+00:00,0.4,76.76925,104.8565,0.8305,1505.7359999999999,1688.59225,0.0,0.0,2340.75,1688.59225,2340.75,-652.1577500000001,None,SE_4,2026-04-23
2026-01-01 08:00:00+00:00,0.4,76.8155,117.875,3.87875,1569.4115000000002,1768.3807500000003,0.0,0.0,2373.75,1768.3807500000003,2373.75,-605.3692499999997,None,SE_4,2026-04-23
2026-01-01 09:00:00+00:00,0.4,76.8785,117.83975,8.68275,1564.9859999999999,1768.7869999999998,0.0,0.0,2428.5,1768.7869999999998,2428.5,-659.7130000000002,None,SE_4,2026-04-23
2026-01-01 10:00:00+00:00,0.4,77.1875,118.27825,15.64075,1504.17675,1715.68325,0.0,0.0,2545.0,1715.68325,2545.0,-829.31675,None,SE_4,2026-04-23
2026-01-01 11:00:00+00:00,0.3,78.53,118.349,18.012999999999998,1459.44625,1674.63825,0.0,0.0,2609.75,1674.63825,2609.75,-935.11175,None,SE_4,2026-04-23
2026-01-01 12:00:00+00:00,0.2,78.6095,118.3125,13.33525,1438.28075,1648.7379999999998,0.0,0.0,2731.75,1648.7379999999998,2731.75,-1083.0120000000002,None,SE_4,2026-04-23
2026-01-01 13:00:00+00:00,0.1,78.47525,117.88525,6.232,1380.1145000000001,1582.8070000000002,0.0,0.0,2765.25,1582.8070000000002,2765.25,-1182.4429999999998,None,SE_4,2026-04-23
2026-01-01 14:00:00+00:00,0.2,80.7315,117.32775,1.79925,1306.68225,1506.7407500000002,0.0,0.0,2837.75,1506.7407500000002,2837.75,-1331.0092499999998,None,SE_4,2026-04-23
2026-01-01 15:00:00+00:00,0.1,83.87125,118.13374999999999,0.30325,1233.748,1436.15625,0.0,0.0,2901.5,1436.15625,2901.5,-1465.34375,None,SE_4,2026-04-23
2026-01-01 16:00:00+00:00,0.3,92.17825,117.61,0.3055,1167.902,1378.29575,0.0,0.0,2882.5,1378.29575,2882.5,-1504.20425,None,SE_4,2026-04-23
