,Fossil Gas,Hydro Water Reservoir,Nuclear,Other,Solar,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.6,1028.79825,6780.0,486.0525,0.11925,2313.71625,10609.28625,0.0,0.0,10641.0,10609.28625,10641.0,-31.7137500000008,None,SE_3,2026-04-23
2026-01-01 01:00:00+00:00,0.7,885.5635,6781.0,509.82775,0.11675,2464.79375,10642.00175,0.0,0.0,10561.0,10642.00175,10561.0,81.00174999999945,None,SE_3,2026-04-23
2026-01-01 02:00:00+00:00,0.8,846.153,6783.0,456.0985,0.08925000000000001,2498.727,10584.86775,0.0,0.0,10332.25,10584.86775,10332.25,252.61774999999943,None,SE_3,2026-04-23
2026-01-01 03:00:00+00:00,0.8,824.2705,6705.0,461.36825,0.113,2467.64225,10459.194,0.0,0.0,10186.5,10459.194,10186.5,272.6939999999995,None,SE_3,2026-04-23
2026-01-01 04:00:00+00:00,0.8,809.91275,6687.0,457.7115,0.017750000000000002,2456.922,10412.364,0.0,0.0,10326.75,10412.364,10326.75,85.61399999999958,None,SE_3,2026-04-23
2026-01-01 05:00:00+00:00,0.4,820.1179999999999,6685.0,487.98125,0.1235,2417.1549999999997,10410.77775,0.0,0.0,10391.5,10410.77775,10391.5,19.277749999999287,None,SE_3,2026-04-23
2026-01-01 06:00:00+00:00,0.8,824.58325,6680.0,475.105,0.032,2310.0945,10290.61475,0.0,0.0,10318.25,10290.61475,10318.25,-27.63524999999936,None,SE_3,2026-04-23
2026-01-01 07:00:00+00:00,0.9,825.3172500000001,6637.0,471.15725,0.366,2204.63175,10139.37225,0.0,0.0,10400.0,10139.37225,10400.0,-260.62774999999965,None,SE_3,2026-04-23
2026-01-01 08:00:00+00:00,0.9,829.9712499999999,6467.0,469.7855,1.522,2064.8385,9834.01725,0.0,0.0,10601.25,9834.01725,10601.25,-767.2327499999992,None,SE_3,2026-04-23
2026-01-01 09:00:00+00:00,1.3,893.86975,6421.0,472.91425,4.864,1896.7327500000001,9690.68075,0.0,0.0,10966.5,9690.68075,10966.5,-1275.8192500000005,None,SE_3,2026-04-23
2026-01-01 10:00:00+00:00,1.6,939.184,6287.0,417.1365,21.56525,1826.288,9492.773749999998,0.0,0.0,11238.75,9492.773749999998,11238.75,-1745.9762500000015,None,SE_3,2026-04-23
2026-01-01 11:00:00+00:00,1.8,964.579,6307.0,431.878,27.125500000000002,1701.028,9433.4105,0.0,0.0,11343.0,9433.4105,11343.0,-1909.5895,None,SE_3,2026-04-23
2026-01-01 12:00:00+00:00,1.3,970.2094999999999,6391.0,428.873,17.5565,1605.4947499999998,9414.43375,0.0,0.0,11330.0,9414.43375,11330.0,-1915.5662499999999,None,SE_3,2026-04-23
2026-01-01 13:00:00+00:00,1.0,975.4815,6409.0,431.0755,9.817499999999999,1544.75175,9371.12625,0.0,0.0,11478.75,9371.12625,11478.75,-2107.6237500000007,None,SE_3,2026-04-23
2026-01-01 14:00:00+00:00,0.8,987.11575,6407.0,439.06725,1.7262499999999998,1455.155,9290.86425,0.0,0.0,11816.0,9290.86425,11816.0,-2525.1357499999995,None,SE_3,2026-04-23
2026-01-01 15:00:00+00:00,1.1,1035.2782499999998,6409.0,478.42449999999997,0.13724999999999998,1367.092,9291.032,0.0,0.0,11893.25,9291.032,11893.25,-2602.2180000000008,None,SE_3,2026-04-23
2026-01-01 16:00:00+00:00,1.6,1070.1695,6412.0,512.385,0.11975,1304.47475,9300.749,0.0,0.0,11956.0,9300.749,11956.0,-2655.251,None,SE_3,2026-04-23
2026-01-01 17:00:00+00:00,1.0,1075.38525,6414.0,517.29,0.11775,1275.13025,9282.92325,0.0,0.0,11871.0,9282.92325,11871.0,-2588.07675,None,SE_3,2026-04-23
2026-01-01 18:00:00+00:00,1.3,1094.02275,6412.0,514.99025,0.1155,1248.38375,9270.812249999999,0.0,0.0,11740.5,9270.812249999999,11740.5,-2469.687750000001,None,SE_3,2026-04-23
2026-01-01 19:00:00+00:00,0.9,1123.15175,6412.0,505.02375,0.11575,1242.51125,9283.702500000001,0.0,0.0,11465.5,9283.702500000001,11465.5,-2181.7974999999988,None,SE_3,2026-04-23
2026-01-01 20:00:00+00:00,0.9,1192.694,6411.0,504.52225,0.116,1225.06075,9334.293,0.0,0.0,11120.0,9334.293,11120.0,-1785.7070000000003,None,SE_3,2026-04-23
2026-01-01 21:00:00+00:00,1.0,1107.4625,6412.0,501.512,0.119,1183.1077500000001,9205.201249999998,0.0,0.0,10818.0,9205.201249999998,10818.0,-1612.7987500000017,None,SE_3,2026-04-23
2026-01-01 22:00:00+00:00,1.0,1021.97475,6412.0,502.877,0.1245,1182.9782500000001,9120.9545,0.0,0.0,10525.25,9120.9545,10525.25,-1404.2955000000002,None,SE_3,2026-04-23
2026-01-01 23:00:00+00:00,0.7,1081.0725,6413.0,477.24875,0.1235,1223.9935,9196.13825,0.0,0.0,10126.75,9196.13825,10126.75,-930.61175,None,SE_3,2026-04-23
2026-01-02 00:00:00+00:00,0.8,1145.261,6415.0,479.4505,0.12275,1295.1805,9335.81475,0.0,0.0,9941.5,9335.81475,9941.5,-605.6852500000005,None,SE_3,2026-04-23
2026-01-02 01:00:00+00:00,0.8,1162.25475,6414.0,496.2765,0.11875,1410.7665000000002,9484.2165,0.0,0.0,9890.0,9484.2165,9890.0,-405.78349999999955,None,SE_3,2026-04-23
