,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,222.63425,4.34225,108.89775,3.02626,1.09,1.165,11.406375,69.05612500000001,1922.555,2905.2425,5249.41551,0.0,0.0,2588.725,5249.41551,2588.725,2660.69051,None,DK_1,2026-04-23
2026-01-01 01:00:00+00:00,175.85835,9.0838325,103.54925,2.2942115,1.09,1.1325,11.478525,57.331475,1908.395,3032.705,5302.918143999999,0.0,0.0,2674.8475,5302.918143999999,2674.8475,2628.0706439999994,None,DK_1,2026-04-23
2026-01-01 02:00:00+00:00,66.4471,9.3204525,102.37950000000001,0.693419,1.09,0.9625,11.4663,53.561625,1829.3125,2837.9525,4913.185896499999,0.0,0.0,2707.5875,4913.185896499999,2707.5875,2205.598396499999,None,DK_1,2026-04-23
2026-01-01 03:00:00+00:00,50.34145,3.7242775000000004,102.5685,0.71698275,1.09,1.1175,11.335,60.884025,1746.93,2602.5625,4581.27023525,0.0,0.0,2679.355,4581.27023525,2679.355,1901.91523525,None,DK_1,2026-04-23
2026-01-01 04:00:00+00:00,45.661325,3.0016975,102.85975,0.7025480000000001,1.09,1.07,11.413075,56.345349999999996,1704.19,2382.765,4309.0987454999995,0.0,0.0,2630.3525,4309.0987454999995,2630.3525,1678.7462454999995,None,DK_1,2026-04-23
2026-01-01 05:00:00+00:00,45.531175,3.0795825,102.65875,0.69438925,1.09,1.05,11.601975,54.3448,1655.695,2251.7875,4127.533171749999,0.0,0.0,2615.2325,4127.533171749999,2615.2325,1512.3006717499993,None,DK_1,2026-04-23
2026-01-01 06:00:00+00:00,46.932900000000004,3.644755,102.87174999999999,0.6937575,1.09,1.06,11.405100000000001,54.69735,1730.6100000000001,1985.4475,3938.4531125000003,0.0,0.0,2560.2975,3938.4531125000003,2560.2975,1378.1556125000002,None,DK_1,2026-04-23
2026-01-01 07:00:00+00:00,36.820475,3.24701,102.715,0.6905,1.09,0.96,11.706125,54.45385,1761.4,1984.595,3957.67796,0.0,0.0,2668.8525,3957.67796,2668.8525,1288.82546,None,DK_1,2026-04-23
2026-01-01 08:00:00+00:00,35.50395,2.5217525,102.841,0.68773625,1.09,0.94,37.8949,54.251875,1759.8249999999998,2140.715,4136.27121375,0.0,0.0,2801.455,4136.27121375,2801.455,1334.8162137500003,None,DK_1,2026-04-23
2026-01-01 09:00:00+00:00,31.871074999999998,2.0038225,102.65575,0.68479975,1.09,0.8925000000000001,137.41595,54.247425,1763.685,2225.4025,4319.94882225,0.0,0.0,2910.165,4319.94882225,2910.165,1409.7838222500004,None,DK_1,2026-04-23
