,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,4134.677559,3081.938225,576.6825,5592.97174725,4449.57967475,395.385,34.85774,1010.9521425,102.381475,219.09746,84.590849,14.615829999999999,654.0074997500001,4043.733,34757.015379000004,59152.48608125,0.0,125.37935,46065.43034,59152.48608125,46190.80969,12961.676391249996,None,DE_LU,2026-04-23
2026-01-01 01:00:00+00:00,4063.718793,2815.7542574999998,575.8541675,4855.6674175,4517.20427925,395.35333249999996,35.125879999999995,983.069535,60.14405,219.11471,84.972712,14.699636,622.3955000000001,4889.68925,35528.139187,59660.902707249996,0.0,679.155225,45125.775245,59660.902707249996,45804.93047,13855.972237249996,None,DE_LU,2026-04-23
2026-01-01 02:00:00+00:00,4026.4608900000003,2344.6465375,606.0108325,4499.541749999999,4429.10574425,395.32,35.33049,968.31012,18.008,219.18796,85.176893,15.808198,622.38274975,5394.4087500000005,36689.717445,60349.416359999996,0.0,743.755225,44237.08833,60349.416359999996,44980.843555,15368.572804999996,None,DE_LU,2026-04-23
2026-01-01 03:00:00+00:00,3952.944764,2329.3797325,615.487955,4453.836992250001,4401.857806,395.32,35.39454,964.7876425,13.7425,219.15146,84.97326699999999,12.343347999999999,622.231,5326.078750000001,37209.971647,60637.50140425,0.0,1633.387775,43791.723945000005,60637.50140425,45425.11172000001,15212.389684249989,None,DE_LU,2026-04-23
2026-01-01 04:00:00+00:00,3959.531891,2331.3170250000003,580.1850025,4484.23683475,4316.273161,395.32,35.47546,978.2736600000001,13.781500000000001,218.94746,83.085895,12.094904,625.1239997499999,4446.957,37774.658418,60255.262211,0.0,1828.057,43508.823462500004,60255.262211,45336.880462500005,14918.381748499996,None,DE_LU,2026-04-23
2026-01-01 05:00:00+00:00,3967.644117,2514.60746,605.799165,4545.2228350000005,4322.66403175,468.95731775,35.47302,956.02702,15.42175,218.82196,82.06345400000001,11.975,618.0815,3176.5595,40547.330539,62086.648669500006,0.0,2907.422625,42989.0464125,62086.648669500006,45896.4690375,16190.179632000007,None,DE_LU,2026-04-23
2026-01-01 06:00:00+00:00,4007.967649,2433.849,620.6524999999999,4600.50024975,4280.23441925,395.32,35.61969,950.56966,88.096025,202.46521,81.949774,15.326803000000002,616.745,2508.47975,41591.89246,62429.66819,0.0,2914.6523,43612.2364,62429.66819,46526.8887,15902.779489999994,None,DE_LU,2026-04-23
2026-01-01 07:00:00+00:00,4046.572637,2378.15059,619.7550075,4448.19525,4260.61124375,395.355,35.368880000000004,933.49648,58.207425,193.83496,82.300007,442.677703,623.4219997499999,3416.21325,41812.601235,63746.76166800001,0.0,2512.5779,44514.6429075,63746.76166800001,47027.220807499994,16719.540860500012,None,DE_LU,2026-04-23
2026-01-01 08:00:00+00:00,4036.352239,2567.4133874999998,580.68417,4406.644667500001,4433.9854425,395.32,31.64775,944.191865,16.51125,193.77746000000002,82.224473,2994.251624,629.7435,4447.6942500000005,41422.14175,67182.5838285,0.0,3344.42385,46498.40195,67182.5838285,49842.8258,17339.758028500008,None,DE_LU,2026-04-23
2026-01-01 09:00:00+00:00,3988.666547,2628.6306025,568.9908375,4493.7815825,4390.2878,395.4516675,31.0255,975.2503975,40.804725,193.74596,82.251514,5820.991514,630.6052500000001,5024.35475,41389.825043000004,70654.6636905,0.0,4668.223675,48618.797655,70654.6636905,53287.02133,17367.6423605,None,DE_LU,2026-04-23
