,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-03 19:00:00+00:00,20.7873035,30.416847750000002,25.7611195,38.458368,0.0,109.33149575,1389.673955,1614.4290895,190.28366375000002,0.0,1509.1187949999999,1804.7127532499999,1509.1187949999999,295.59395825,None,LT,2026-04-23
2026-01-03 20:00:00+00:00,21.1336315,30.427721249999998,25.75637425,39.174321750000004,0.0,108.56317825,1343.6866625,1568.7418895,0.465961,0.0,1425.8880125,1569.2078505000002,1425.8880125,143.31983800000012,None,LT,2026-04-23
2026-01-03 21:00:00+00:00,20.869276,30.47571275,25.75460175,44.30208275,0.0,108.286437,1304.5374775,1534.2255877500002,4.1670795,0.0,1345.3518775,1538.3926672500002,1345.3518775,193.04078975000016,None,LT,2026-04-23
2026-01-03 22:00:00+00:00,20.12604325,30.45704725,25.744221,42.6240235,0.0,108.988572,1329.74271,1557.682617,2.47666825,0.0,1276.1417000000001,1560.15928525,1276.1417000000001,284.0175852499999,None,LT,2026-04-23
2026-01-03 23:00:00+00:00,19.909999,30.476561999999998,25.252291,39.4447965,0.0,108.61739349999999,1387.1471675,1610.8482095,0.0,0.0,1230.88698,1610.8482095,1230.88698,379.96122949999994,None,LT,2026-04-23
2026-01-04 00:00:00+00:00,20.27405775,30.47220175,25.238238,39.28264075,0.0,108.68709525,1348.179945,1572.1341785,0.0,0.0,1207.2894825,1572.1341785,1207.2894825,364.8446959999999,None,LT,2026-04-23
2026-01-04 01:00:00+00:00,20.59263225,30.4277455,25.7448005,39.29542,0.0,108.7245075,1354.42633,1579.21143575,0.0,0.0,1189.0397275,1579.21143575,1189.0397275,390.17170824999994,None,LT,2026-04-23
2026-01-04 02:00:00+00:00,20.613220000000002,30.4672645,25.74518725,39.61107175,0.0,108.746426,1356.588655,1581.7718245,0.0,0.0,1185.689895,1581.7718245,1185.689895,396.0819295000001,None,LT,2026-04-23
2026-01-04 03:00:00+00:00,21.061794,30.450584,24.99172875,39.41652325,0.0,107.22075175,1314.2834625,1537.42484425,0.0,171.46535,1198.0435825,1537.42484425,1369.5089325,167.91591175000008,None,LT,2026-04-23
2026-01-04 04:00:00+00:00,21.309999,30.422382250000002,25.001053,39.81279775,0.0,106.0209545,1348.9090025,1571.476189,0.0,225.29764624999999,1263.20288,1571.476189,1488.5005262500001,82.97566274999986,None,LT,2026-04-23
2026-01-04 05:00:00+00:00,21.344343000000002,30.41407325,24.74475925,39.217423499999995,0.0,106.83998775,1220.6833375,1443.2439242500002,0.0,224.96670775,1330.7683175,1443.2439242500002,1555.73502525,-112.49110099999984,None,LT,2026-04-23
2026-01-04 06:00:00+00:00,21.40045225,30.4402405,25.263642,49.25351,2.32447325,108.33658725000001,1066.9661075,1303.98501275,0.0,50.347237,1403.4010975,1303.98501275,1453.7483345,-149.76332175000016,None,LT,2026-04-23
2026-01-04 07:00:00+00:00,20.70468775,30.505131000000002,44.79516925,66.9212075,20.3540585,109.56537,874.0270575,1166.8726815,15.41454275,0.0,1508.752865,1182.28722425,1508.752865,-326.4656407499999,None,LT,2026-04-23
2026-01-04 08:00:00+00:00,20.393136249999998,30.4571275,25.842515249999998,59.48309125,48.1314765,109.62610600000001,717.1565315,1011.08998425,92.7015725,0.0,1621.85872,1103.79155675,1621.85872,-518.06716325,None,LT,2026-04-23
2026-01-04 09:00:00+00:00,19.95553375,52.19576675,25.8615615,53.351441,65.3780835,110.26668624999999,608.4268485,935.43592125,8.83314575,0.0,1650.361735,944.269067,1650.361735,-706.092668,None,LT,2026-04-23
2026-01-04 10:00:00+00:00,19.92,56.03495475,38.633416999999994,77.4539065,67.82376375,110.6460415,451.03807900000004,821.5501625,15.9586355,0.0,1671.2619175,837.5087980000001,1671.2619175,-833.7531194999999,None,LT,2026-04-23
2026-01-04 11:00:00+00:00,19.92,56.14665625,50.36983825,73.3705705,57.307300749999996,110.35204875,380.430323,747.8967375,15.85306375,0.0,1695.14263,763.74980125,1695.14263,-931.39282875,None,LT,2026-04-23
2026-01-04 12:00:00+00:00,19.92,56.16809375,50.9445015,54.401480750000005,25.326445749999998,110.179393,347.11182775,664.0517425,0.805604,0.0,1700.3211625,664.8573465000001,1700.3211625,-1035.463816,None,LT,2026-04-23
2026-01-04 13:00:00+00:00,19.92,56.16094725,32.07772525,64.781456,6.0269829999999995,110.19358025,340.39475425,629.5554460000001,9.661029500000001,0.0,1699.8864899999999,639.2164755000001,1699.8864899999999,-1060.6700144999998,None,LT,2026-04-23
2026-01-04 14:00:00+00:00,20.222367,56.175308,44.06053075,73.92283775,0.338194,110.085495,484.940856,789.7455884999999,1.92547875,0.0,1753.7200575,791.67106725,1753.7200575,-962.04899025,None,LT,2026-04-23
2026-01-04 15:00:00+00:00,21.27354575,56.121543,26.1532185,69.589858,2.825e-05,110.08266549999999,660.05650625,943.27736525,7.27349625,0.0,1786.1955025,950.5508615,1786.1955025,-835.644641,None,LT,2026-04-23
