,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,0.439999,1266.1012234999998,734.1489877500001,0.0,18.207329,248.7108565,2267.60839575,0.0,0.0,4763.3275,2267.60839575,4763.3275,-2495.7191042500003,None,NO_1,2026-04-23
2026-01-01 01:00:00+00:00,0.0,0.439999,1262.8746740000001,669.2166997500001,0.0,17.84523,221.0132435,2171.38984625,0.0,0.0,4710.575,2171.38984625,4710.575,-2539.1851537499997,None,NO_1,2026-04-23
2026-01-01 02:00:00+00:00,0.0,0.439999,1263.76594675,578.6271937500001,0.0,18.87654725,130.8441705,1992.55385725,0.0,0.0,4649.9625,1992.55385725,4649.9625,-2657.4086427499997,None,NO_1,2026-04-23
2026-01-01 03:00:00+00:00,0.0,0.439999,1264.08032575,564.21057025,0.0,17.5627505,71.8556085,1918.149254,0.0,0.0,4605.3375,1918.149254,4605.3375,-2687.1882459999997,None,NO_1,2026-04-23
2026-01-01 04:00:00+00:00,0.0,0.439999,1258.64784225,552.2224515,0.0,17.38477225,31.481107,1860.176172,0.0,0.0,4620.335,1860.176172,4620.335,-2760.158828,None,NO_1,2026-04-23
2026-01-01 05:00:00+00:00,0.0,0.439999,1266.172293,561.29262375,0.0,19.19994775,18.0033645,1865.108228,0.0,0.0,4777.7225,1865.108228,4777.7225,-2912.614272,None,NO_1,2026-04-23
2026-01-01 06:00:00+00:00,0.0,0.439999,1278.91918975,479.15368424999997,0.0,21.048185,8.951601,1788.512659,0.0,0.0,4896.8275,1788.512659,4896.8275,-3108.3148410000003,None,NO_1,2026-04-23
2026-01-01 07:00:00+00:00,0.0,0.439999,1283.0631735,470.796918,0.0,21.061311,0.74963875,1776.1110402499999,0.0,0.0,4989.17,1776.1110402499999,4989.17,-3213.05895975,None,NO_1,2026-04-23
2026-01-01 08:00:00+00:00,0.0,0.439999,1279.75464775,497.67800975,0.0,21.868508249999998,0.2631185,1800.00428325,0.0,0.0,5091.6775,1800.00428325,5091.6775,-3291.6732167499995,None,NO_1,2026-04-23
2026-01-01 09:00:00+00:00,0.0,0.439999,1278.25828675,413.38196675,0.5409995,20.99335825,8.05072375,1721.665334,0.0,0.0,5190.4175,1721.665334,5190.4175,-3468.7521659999993,None,NO_1,2026-04-23
2026-01-01 10:00:00+00:00,0.0,0.439999,1283.9703077499998,479.0014275,0.64137025,20.79545975,12.5523955,1797.4009597499999,0.0,0.0,5295.4974999999995,1797.4009597499999,5295.4974999999995,-3498.0965402499996,None,NO_1,2026-04-23
2026-01-01 11:00:00+00:00,0.0,0.439999,1278.51985375,526.35734925,0.70958575,20.216224,18.7538015,1844.99681325,0.0,0.0,5387.825,1844.99681325,5387.825,-3542.82818675,None,NO_1,2026-04-23
2026-01-01 12:00:00+00:00,0.0,0.439999,1275.238475,522.7962305,0.461991,19.371904,38.3225505,1856.63115,0.0,0.0,5480.335,1856.63115,5480.335,-3623.70385,None,NO_1,2026-04-23
2026-01-01 13:00:00+00:00,0.0,0.439999,1275.2860375,625.681324,0.259909,18.36934475,58.84042075,1978.877035,0.0,0.0,5560.75,1978.877035,5560.75,-3581.872965,None,NO_1,2026-04-23
2026-01-01 14:00:00+00:00,0.0,0.439999,1267.41010275,756.87077775,0.00043525,17.3333685,52.60556525,2094.6602485000003,0.0,0.0,5658.89,2094.6602485000003,5658.89,-3564.2297515,None,NO_1,2026-04-23
2026-01-01 15:00:00+00:00,0.0,0.439999,1270.0164685,769.72119425,0.0,16.734132250000002,63.01534325,2119.92713725,0.0,0.0,5763.4675,2119.92713725,5763.4675,-3643.5403627499995,None,NO_1,2026-04-23
2026-01-01 16:00:00+00:00,0.0,0.439999,1271.9979435,793.81940175,0.0,15.211348749999999,75.9676305,2157.4363234999996,0.0,0.0,5754.96,2157.4363234999996,5754.96,-3597.5236765000004,None,NO_1,2026-04-23
2026-01-01 17:00:00+00:00,0.0,0.439999,1265.3433525,814.6212644999999,0.0,17.201386749999998,85.53861275,2183.1446155,0.0,0.0,5670.585,2183.1446155,5670.585,-3487.4403845,None,NO_1,2026-04-23
2026-01-01 18:00:00+00:00,0.0,0.439999,1256.526147,745.57340275,0.0,16.3623725,118.06174975,2136.963671,0.0,0.0,5589.33,2136.963671,5589.33,-3452.366329,None,NO_1,2026-04-23
2026-01-01 19:00:00+00:00,0.0,0.439999,1253.9377005000001,766.39425875,0.0,17.655604,162.4121485,2200.83971075,0.0,0.0,5476.0425,2200.83971075,5476.0425,-3275.2027892499996,None,NO_1,2026-04-23
2026-01-01 20:00:00+00:00,0.0,0.439999,1249.5934997499999,727.68681925,0.0,17.81805225,181.063086,2176.6014562499995,0.0,0.0,5407.705,2176.6014562499995,5407.705,-3231.1035437500004,None,NO_1,2026-04-23
2026-01-01 21:00:00+00:00,0.0,0.439999,1248.7039845,724.2520965,0.0,17.94878025,181.368978,2172.71383825,0.0,0.0,5303.0575,2172.71383825,5303.0575,-3130.3436617499997,None,NO_1,2026-04-23
2026-01-01 22:00:00+00:00,0.0,0.439999,1245.3052565,665.83135975,0.0,17.22433425,190.5426915,2119.343641,0.0,0.0,5237.46,2119.343641,5237.46,-3118.116359,None,NO_1,2026-04-23
2026-01-01 23:00:00+00:00,0.0,0.439999,1251.69514025,528.61021425,0.0,17.26822975,193.30720875,1991.320792,0.0,0.0,5135.952499999999,1991.320792,5135.952499999999,-3144.6317079999994,None,NO_1,2026-04-23
2026-01-02 00:00:00+00:00,0.0,0.439999,1259.483191,531.85863475,0.0,16.74014125,199.31485575,2007.8368217500001,0.0,0.0,5047.415,2007.8368217500001,5047.415,-3039.57817825,None,NO_1,2026-04-23
2026-01-02 01:00:00+00:00,0.0,0.439999,1265.2336345,467.7914055,0.0,16.73358725,221.61081675,1971.809443,0.0,0.0,5034.7675,1971.809443,5034.7675,-3062.958057,None,NO_1,2026-04-23
2026-01-02 02:00:00+00:00,0.0,0.439999,1271.664404,547.1686677499999,0.0,17.941317,231.11818475,2068.3325725,0.0,0.0,5044.0025000000005,2068.3325725,5044.0025000000005,-2975.6699275000005,None,NO_1,2026-04-23
2026-01-02 03:00:00+00:00,0.0,0.439999,1274.6093087499999,504.482474,0.0,16.53065175,230.29709175,2026.35952525,0.0,0.0,5093.1525,2026.35952525,5093.1525,-3066.79297475,None,NO_1,2026-04-23
2026-01-02 04:00:00+00:00,0.0,0.439999,1273.83479825,496.008608,0.0,17.473286,223.818408,2011.5750992499998,0.0,0.0,5247.57,2011.5750992499998,5247.57,-3235.99490075,None,NO_1,2026-04-23
2026-01-02 05:00:00+00:00,0.0,0.439999,1276.7291195,526.17267925,0.0,19.416402,221.838044,2044.59624375,0.0,0.0,5579.985,2044.59624375,5579.985,-3535.3887562499995,None,NO_1,2026-04-23
2026-01-02 06:00:00+00:00,0.0,0.439999,1272.531063,603.74063675,0.0,19.118737499999998,227.33660650000002,2123.16704275,0.0,0.0,5892.1075,2123.16704275,5892.1075,-3768.9404572500002,None,NO_1,2026-04-23
2026-01-02 07:00:00+00:00,0.0,0.439999,1269.249344,664.45240625,0.0,17.71052725,219.49897725,2171.35125375,0.0,0.0,6090.8325,2171.35125375,6090.8325,-3919.4812462500004,None,NO_1,2026-04-23
2026-01-02 08:00:00+00:00,0.0,0.439999,1266.27079775,747.7721887499999,0.0,15.39631025,214.016739,2243.8960347499997,0.0,0.0,6236.07,2243.8960347499997,6236.07,-3992.17396525,None,NO_1,2026-04-23
2026-01-02 09:00:00+00:00,0.0,0.439999,1266.7672969999999,841.75015075,0.3704555,15.48593475,223.42939575,2348.2432327499996,0.0,0.0,6409.745,2348.2432327499996,6409.745,-4061.5017672500003,None,NO_1,2026-04-23
2026-01-02 10:00:00+00:00,0.0,0.439999,1260.3887622500001,802.5700185000001,0.47644525,14.177535500000001,217.939377,2295.9921375000004,0.0,0.0,6534.27,2295.9921375000004,6534.27,-4238.2778625,None,NO_1,2026-04-23
2026-01-02 11:00:00+00:00,0.0,0.439999,1270.822032,867.452359,0.5499015,15.2162465,218.12270625,2372.6032442500004,0.0,0.0,6630.405,2372.6032442500004,6630.405,-4257.801755749999,None,NO_1,2026-04-23
2026-01-02 12:00:00+00:00,0.0,0.439999,1286.7514085,761.8665834999999,0.45193500000000003,12.7528545,225.8656565,2288.128437,0.0,0.0,6653.6025,2288.128437,6653.6025,-4365.474063,None,NO_1,2026-04-23
2026-01-02 13:00:00+00:00,0.0,0.439999,1283.50763275,968.070483,0.32734199999999997,13.37468975,233.7148475,2499.4349939999997,0.0,0.0,6689.9375,2499.4349939999997,6689.9375,-4190.502506000001,None,NO_1,2026-04-23
2026-01-02 14:00:00+00:00,0.0,0.439999,1292.45182725,1049.33259575,0.0003225,13.05396275,231.64403275,2586.9227400000004,0.0,0.0,6744.45,2586.9227400000004,6744.45,-4157.527259999999,None,NO_1,2026-04-23
2026-01-02 15:00:00+00:00,0.0,0.439999,1286.3409025,1117.4558735,0.0,12.0151175,226.81414825000002,2643.0660407500004,0.0,0.0,6795.3125,2643.0660407500004,6795.3125,-4152.24645925,None,NO_1,2026-04-23
2026-01-02 16:00:00+00:00,0.0,0.439999,1284.62787975,1104.798868,0.0,13.51226475,226.861021,2630.2400325000003,0.0,0.0,6741.5875,2630.2400325000003,6741.5875,-4111.3474675,None,NO_1,2026-04-23
2026-01-02 17:00:00+00:00,0.0,0.439999,1283.2490435,1129.02261075,0.0,12.97082,224.61199675,2650.29447,0.0,0.0,6626.9025,2650.29447,6626.9025,-3976.6080300000003,None,NO_1,2026-04-23
2026-01-02 18:00:00+00:00,0.0,0.439999,1272.25075925,1051.8919875,0.0,12.68522325,229.76677974999998,2567.03474875,0.0,0.0,6547.055,2567.03474875,6547.055,-3980.0202512500005,None,NO_1,2026-04-23
2026-01-02 19:00:00+00:00,0.0,0.439999,1277.304855,1005.37799575,0.0,14.292549,231.39133175,2528.8067305,0.0,0.0,6408.9725,2528.8067305,6408.9725,-3880.1657695,None,NO_1,2026-04-23
2026-01-02 20:00:00+00:00,0.0,0.439999,1278.017687,1068.5348085,0.0,14.2951825,231.71148975,2592.9991667500003,0.0,0.0,6253.76,2592.9991667500003,6253.76,-3660.76083325,None,NO_1,2026-04-23
2026-01-02 21:00:00+00:00,0.0,0.439999,1269.0188134999999,1049.8852685,0.0,15.50046875,230.614917,2565.4594667499996,0.0,0.0,6087.7625,2565.4594667499996,6087.7625,-3522.30303325,None,NO_1,2026-04-23
2026-01-02 22:00:00+00:00,0.0,0.439999,1262.5548254999999,1039.23878025,0.0,16.288609,231.34116225,2549.863376,0.0,0.0,5920.185,2549.863376,5920.185,-3370.3216240000006,None,NO_1,2026-04-23
2026-01-02 23:00:00+00:00,0.0,0.439999,1265.9585849999999,1037.01688425,0.0,16.280552999999998,231.33694350000002,2551.03296475,0.0,0.0,5733.8775000000005,2551.03296475,5733.8775000000005,-3182.8445352500007,None,NO_1,2026-04-23
2026-01-03 00:00:00+00:00,0.0,0.439999,1246.87718175,948.97249475,0.0,16.07786575,227.41703,2439.78457125,0.0,0.0,5630.9725,2439.78457125,5630.9725,-3191.1879287499996,None,NO_1,2026-04-23
2026-01-03 01:00:00+00:00,0.0,0.439999,1226.39161075,892.715924,0.0,15.75323025,218.52628825,2353.8270522499997,0.0,0.0,5554.2625,2353.8270522499997,5554.2625,-3200.43544775,None,NO_1,2026-04-23
2026-01-03 02:00:00+00:00,0.0,0.439999,1220.402308,920.22757675,0.0,16.296288750000002,223.96551300000002,2381.3316855,0.0,0.0,5508.094999999999,2381.3316855,5508.094999999999,-3126.7633144999995,None,NO_1,2026-04-23
2026-01-03 03:00:00+00:00,0.0,0.439999,1218.00874075,923.56978875,0.0,15.617104000000001,223.49283325,2381.1284657499996,0.0,0.0,5478.02,2381.1284657499996,5478.02,-3096.891534250001,None,NO_1,2026-04-23
2026-01-03 04:00:00+00:00,0.0,0.439999,1236.202755,923.8317225000001,0.0,15.7018735,226.0309255,2402.2072755000004,0.0,0.0,5502.27,2402.2072755000004,5502.27,-3100.0627245,None,NO_1,2026-04-23
2026-01-03 05:00:00+00:00,0.0,0.439999,1244.85972075,863.6496285000001,0.0,17.2318075,228.614181,2354.79533675,0.0,0.0,5626.7575,2354.79533675,5626.7575,-3271.96216325,None,NO_1,2026-04-23
