,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other renewable,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,137.957508,222.68158525,1946.5642425,50.60634,561.687216,2919.49689175,0.0,0.0,2848.26,2919.49689175,2848.26,71.23689174999981,None,NO_4,2026-04-23
2026-01-01 01:00:00+00:00,137.99520074999998,215.82330275,1774.83890075,50.598852,553.55712525,2732.8133815,0.0,0.0,2829.245,2732.8133815,2829.245,-96.43161849999979,None,NO_4,2026-04-23
2026-01-01 02:00:00+00:00,138.0,210.63773750000001,1686.07098875,50.8480245,531.7823530000001,2617.33910375,0.0,0.0,2814.9075000000003,2617.33910375,2814.9075000000003,-197.5683962500002,None,NO_4,2026-04-23
2026-01-01 03:00:00+00:00,138.0,206.34644875,1660.67120375,49.06195425,560.175023,2614.2546297500003,0.0,0.0,2816.3275000000003,2614.2546297500003,2816.3275000000003,-202.07287025000005,None,NO_4,2026-04-23
2026-01-01 04:00:00+00:00,137.99151675000002,199.5754815,1716.30087825,43.851594,581.413914,2679.1333845,0.0,0.0,2815.2225,2679.1333845,2815.2225,-136.08911549999993,None,NO_4,2026-04-23
2026-01-01 05:00:00+00:00,137.93852425,196.283521,1733.022853,48.3172475,599.48068275,2715.0428285000003,0.0,0.0,2859.9325,2715.0428285000003,2859.9325,-144.88967149999962,None,NO_4,2026-04-23
2026-01-01 06:00:00+00:00,137.958822,199.11359375,1731.851648,48.3848,638.6081877500001,2755.9170515,0.0,0.0,2903.8275,2755.9170515,2903.8275,-147.9104484999998,None,NO_4,2026-04-23
2026-01-01 07:00:00+00:00,138.0,198.38582775,1895.6154375,45.306107499999996,639.407402,2916.7147747500003,0.0,0.0,2941.5575,2916.7147747500003,2941.5575,-24.842725249999603,None,NO_4,2026-04-23
2026-01-01 08:00:00+00:00,138.0,204.84617874999998,2108.6248072500002,49.09751675,609.8056815,3110.3741842500003,0.0,0.0,2983.3775,3110.3741842500003,2983.3775,126.99668425000027,None,NO_4,2026-04-23
2026-01-01 09:00:00+00:00,137.9851665,201.58062475,2444.018577,47.8165835,597.4723205,3428.87327225,0.0,0.0,3017.4025,3428.87327225,3017.4025,411.47077224999975,None,NO_4,2026-04-23
2026-01-01 10:00:00+00:00,138.666025,201.23067575,2706.16290475,45.9340035,603.68446225,3695.6780712500004,0.0,0.0,3031.3625,3695.6780712500004,3031.3625,664.3155712500002,None,NO_4,2026-04-23
2026-01-01 11:00:00+00:00,137.99908175000002,202.12519625,2729.10279575,45.047976000000006,575.998182,3690.2732317500004,0.0,0.0,3058.4575,3690.2732317500004,3058.4575,631.8157317500004,None,NO_4,2026-04-23
2026-01-01 12:00:00+00:00,138.0,197.5104285,2734.8416475,47.497436,569.195983,3687.0454950000003,0.0,0.0,3087.6724999999997,3687.0454950000003,3087.6724999999997,599.3729950000006,None,NO_4,2026-04-23
2026-01-01 13:00:00+00:00,138.0,204.05130075,2568.74250025,47.59312075,562.178806,3520.5657277499995,0.0,0.0,3116.445,3520.5657277499995,3116.445,404.12072774999933,None,NO_4,2026-04-23
2026-01-01 14:00:00+00:00,138.0,209.2583605,2527.2483795,45.87168125,572.68310825,3493.0615295,0.0,0.0,3133.7875000000004,3493.0615295,3133.7875000000004,359.2740294999994,None,NO_4,2026-04-23
2026-01-01 15:00:00+00:00,138.0,209.395879,2345.9527580000004,48.07644425,565.83970875,3307.26479,0.0,0.0,3094.91,3307.26479,3094.91,212.35479000000032,None,NO_4,2026-04-23
2026-01-01 16:00:00+00:00,138.0,210.0920945,2052.07633175,45.86954,567.2907415,3013.3287077500004,0.0,0.0,3056.8275,3013.3287077500004,3056.8275,-43.4987922499995,None,NO_4,2026-04-23
2026-01-01 17:00:00+00:00,138.0,211.694461,2537.5697575,48.03873925,503.39513975,3438.6980975,0.0,0.0,3057.0275,3438.6980975,3057.0275,381.6705975,None,NO_4,2026-04-23
2026-01-01 18:00:00+00:00,138.0,212.09905225,2672.68885375,47.91621725,482.23802475,3552.942148,0.0,0.0,3043.85,3552.942148,3043.85,509.0921480000002,None,NO_4,2026-04-23
2026-01-01 19:00:00+00:00,138.0,213.628603,2701.29010675,46.189040500000004,470.2201645,3569.32791475,0.0,0.0,3035.6925,3569.32791475,3035.6925,533.6354147500001,None,NO_4,2026-04-23
2026-01-01 20:00:00+00:00,138.0,211.36662225,2704.3126174999998,45.23149775,463.32742425000004,3562.23816175,0.0,0.0,3015.5924999999997,3562.23816175,3015.5924999999997,546.6456617500003,None,NO_4,2026-04-23
2026-01-01 21:00:00+00:00,138.0,210.98041175,2482.6082097500002,47.26812525,455.96429975,3334.8210465,0.0,0.0,2983.37,3334.8210465,2983.37,351.4510465000003,None,NO_4,2026-04-23
2026-01-01 22:00:00+00:00,138.0,209.0024085,2214.6757345,50.92015,465.07416075000003,3077.67245375,0.0,0.0,2953.085,3077.67245375,2953.085,124.5874537499999,None,NO_4,2026-04-23
2026-01-01 23:00:00+00:00,138.0,192.98152325,1966.86225575,55.09340975,431.74543225,2784.682621,0.0,0.0,2924.1,2784.682621,2924.1,-139.41737899999998,None,NO_4,2026-04-23
2026-01-02 00:00:00+00:00,138.0,189.84251849999998,1898.21154,52.792634,436.04405375,2714.8907462499997,0.0,0.0,2892.175,2714.8907462499997,2892.175,-177.28425375000052,None,NO_4,2026-04-23
