,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Waste,Wind Offshore,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,645.16538525,2519.85561775,14.6988285,2.9006665,898.6431602499999,4081.26365825,0.0,363.7056575,5279.74,4081.26365825,5643.4456574999995,-1562.1819992499995,None,NO_2,2026-04-23
2026-01-01 01:00:00+00:00,0.0,623.5488365,2440.82176575,14.74132425,2.8001102500000004,890.25058825,3972.1626250000004,0.0,401.0769715,5348.725,3972.1626250000004,5749.8019715,-1777.6393464999996,None,NO_2,2026-04-23
2026-01-01 02:00:00+00:00,0.0,623.1757305,2144.544661,14.716189,2.8998887499999997,742.96407475,3528.3005440000006,0.0,401.333475,5321.4,3528.3005440000006,5722.733475,-2194.4329309999994,None,NO_2,2026-04-23
2026-01-01 03:00:00+00:00,0.0,615.6572592499999,1764.87838825,14.71250575,2.9998055,626.453122,3024.70108075,0.0,401.065873,5327.297500000001,3024.70108075,5728.363373,-2703.66229225,None,NO_2,2026-04-23
2026-01-01 04:00:00+00:00,0.0,627.1291225,1964.9553615,14.714672,3.099888,299.89512025,2909.79416425,0.0,398.4488455,5425.2825,2909.79416425,5823.7313455,-2913.9371812500003,None,NO_2,2026-04-23
2026-01-01 05:00:00+00:00,0.0,619.05862125,2269.63702075,14.690769249999999,3.099999,274.18026025,3180.6666705,0.0,399.468977,5497.045,3180.6666705,5896.5139770000005,-2715.8473065000007,None,NO_2,2026-04-23
2026-01-01 06:00:00+00:00,0.0,628.57372975,2158.35685125,14.732458000000001,3.1998887500000004,399.3769805,3204.23990825,0.0,399.7798375,5553.9875,3204.23990825,5953.7673375,-2749.5274292500003,None,NO_2,2026-04-23
2026-01-01 07:00:00+00:00,0.0,623.993678,2021.52557525,14.705171,3.1001935,521.8704299999999,3185.19504775,0.0,399.6292575,5594.6075,3185.19504775,5994.2367575,-2809.04170975,None,NO_2,2026-04-23
2026-01-01 08:00:00+00:00,0.0,624.5822475,2128.41737125,14.704488,3.00019425,572.56942725,3343.2737282499997,0.0,398.9004785,5608.305,3343.2737282499997,6007.2054785,-2663.9317502500003,None,NO_2,2026-04-23
2026-01-01 09:00:00+00:00,0.0,615.9505515000001,1879.8962455,14.763682,2.6004435,712.108755,3225.3196774999997,0.0,399.86446725,5704.6975,3225.3196774999997,6104.561967250001,-2879.242289750001,None,NO_2,2026-04-23
2026-01-01 10:00:00+00:00,0.0,610.9173382500001,1834.98523625,14.690413249999999,3.29922125,737.152313,3201.0445219999997,0.0,398.82329825,5727.3949999999995,3201.0445219999997,6126.21829825,-2925.17377625,None,NO_2,2026-04-23
2026-01-01 11:00:00+00:00,0.0,606.954594,2524.1056335000003,14.680515,3.299999,856.367827,4005.4085685,0.0,399.05200625,5761.93,4005.4085685,6160.98200625,-2155.5734377500003,None,NO_2,2026-04-23
