,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,106.3,19.2,235.5,0.0,69.5,236.6,4.8,2467.2,121.0,55.1,0.0,1.1,3316.2999999999997,205.3,0.0,2614.0,3521.6,2614.0,907.5999999999999,None,SK,2026-04-23
2026-01-01 01:00:00+00:00,102.8,19.1,224.7,0.0,69.3,203.7,2.3,2466.3,122.4,55.8,0.0,0.9,3267.3000000000006,7.2,0.0,2607.0,3274.5000000000005,2607.0,667.5000000000005,None,SK,2026-04-23
2026-01-01 02:00:00+00:00,102.5,17.7,220.5,0.0,69.4,206.2,2.1,2465.9,123.7,55.5,0.0,1.1,3264.6,2.1,0.0,2533.0,3266.7,2533.0,733.6999999999998,None,SK,2026-04-23
2026-01-01 03:00:00+00:00,103.9,18.1,211.9,0.0,69.5,203.8,2.1,2466.3,126.6,54.5,0.1,1.1,3257.9,0.0,100.4,2504.0,3257.9,2604.4,653.5,None,SK,2026-04-23
2026-01-01 04:00:00+00:00,104.4,19.2,213.7,0.0,70.7,201.3,2.3,2467.3,126.9,52.2,0.1,0.8,3258.9,0.0,145.0,2516.0,3258.9,2661.0,597.9000000000001,None,SK,2026-04-23
2026-01-01 05:00:00+00:00,104.7,19.2,209.3,0.0,70.7,199.5,2.2,2468.0,127.8,54.7,0.1,0.9,3257.1000000000004,0.0,204.3,2582.0,3257.1000000000004,2786.3,470.8000000000002,None,SK,2026-04-23
2026-01-01 06:00:00+00:00,104.0,19.2,208.6,0.0,70.4,233.6,20.3,2468.0,126.7,54.5,0.2,0.9,3306.3999999999996,0.0,3.9,2620.0,3306.3999999999996,2623.9,682.4999999999995,None,SK,2026-04-23
2026-01-01 07:00:00+00:00,103.7,19.2,208.3,0.0,70.0,239.7,16.5,2468.0,128.3,55.3,2.0,1.0,3312.0000000000005,0.0,123.1,2680.0,3312.0000000000005,2803.1,508.90000000000055,None,SK,2026-04-23
2026-01-01 08:00:00+00:00,103.9,19.3,212.7,0.0,70.0,226.2,21.2,2469.1,128.2,55.8,11.5,1.0,3318.8999999999996,0.0,306.7,2834.0,3318.8999999999996,3140.7,178.19999999999982,None,SK,2026-04-23
2026-01-01 09:00:00+00:00,103.6,18.7,210.3,0.0,69.4,205.8,18.0,2469.5,126.6,56.0,37.1,0.4,3315.4,0.0,408.7,2786.0,3315.4,3194.7,120.70000000000027,None,SK,2026-04-23
2026-01-01 10:00:00+00:00,103.7,17.4,204.6,0.0,68.3,142.9,17.3,2473.0,124.7,56.2,60.7,0.5,3269.2999999999993,0.0,407.6,2977.0,3269.2999999999993,3384.6,-115.30000000000064,None,SK,2026-04-23
2026-01-01 11:00:00+00:00,93.7,17.8,205.9,0.0,67.7,140.3,17.3,2472.3,124.2,55.8,87.7,0.8,3283.5,0.0,407.1,2926.0,3283.5,3333.1,-49.59999999999991,None,SK,2026-04-23
