,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,377.2245,2882.6102499999997,151.24175,3003.20975,5418.054,229.27675,104.10249999999999,73.677,699.33125,72.34400000000001,0.0,1781.87925,14792.950999999997,0.0,399.07124999999996,14991.09475,14792.950999999997,15390.166000000001,-597.2150000000038,None,PL,2026-04-23
2026-01-01 01:00:00+00:00,375.8415,2954.47325,152.005,2888.76525,5308.34725,227.892,101.09575,71.439,696.4065,72.03575000000001,0.0,2195.8685,15044.169750000001,0.0,534.0315,14432.594,15044.169750000001,14966.625499999998,77.54425000000265,None,PL,2026-04-23
2026-01-01 02:00:00+00:00,370.96625,2956.86675,152.30375,2855.29875,5331.464,227.085,100.61875,29.0305,687.01025,71.0085,0.0,1776.8632499999999,14558.515749999999,0.0,498.962,14049.157,14558.515749999999,14548.118999999999,10.396749999999884,None,PL,2026-04-23
2026-01-01 03:00:00+00:00,370.875,2718.4700000000003,153.1105,2790.6365,5325.371,226.5735,100.79775000000001,29.194,686.9065,71.09,0.0,2835.1577500000003,15308.1825,0.0,531.7095,13916.07425,15308.1825,14447.78375,860.3987500000003,None,PL,2026-04-23
2026-01-01 04:00:00+00:00,369.62625,2515.386,153.36,2471.47575,5224.2425,225.17374999999998,101.19625,29.175,670.264,69.45575,0.0,3880.33325,15709.688499999998,0.0,530.2135,13827.35,15709.688499999998,14357.5635,1352.1249999999982,None,PL,2026-04-23
2026-01-01 05:00:00+00:00,367.95525,2402.91575,153.687,2561.547,5231.328750000001,226.05325,101.05625,28.952,667.5097499999999,69.19175,0.0,4723.455,16533.651749999997,0.0,201.80275,14056.70325,16533.651749999997,14258.506000000001,2275.145749999996,None,PL,2026-04-23
2026-01-01 06:00:00+00:00,353.02475,2372.623,159.0395,2504.60575,5054.78825,226.15275,122.15350000000001,36.224,665.3315,69.34225,20.128500000000003,5169.7515,16753.16525,0.0,9.10275,14155.01675,16753.16525,14164.1195,2589.0457499999975,None,PL,2026-04-23
2026-01-01 07:00:00+00:00,349.76324999999997,2343.963,157.14025,2542.612,5030.07625,223.752,111.35300000000001,33.284,662.5045,69.11675,220.59675000000001,5529.82475,17273.9865,0.0,9.198,14400.87825,17273.9865,14410.07625,2863.910249999999,None,PL,2026-04-23
2026-01-01 08:00:00+00:00,350.8005,2089.47575,153.949,3017.3505,5249.73075,223.6875,103.9685,30.675,663.057,69.1995,584.66675,5993.94975,18530.5105,0.0,8.94975,15274.54775,18530.5105,15283.4975,3247.013000000001,None,PL,2026-04-23
2026-01-01 09:00:00+00:00,351.382,1795.69475,151.17125,2968.13575,5233.749,222.38400000000001,98.97325000000001,28.991,664.514,69.346,849.9775,7158.25875,19592.577250000002,0.0,8.11,15984.865,19592.577250000002,15992.975,3599.6022500000017,None,PL,2026-04-23
2026-01-01 10:00:00+00:00,354.39324999999997,1726.5925,152.90875,3037.9494999999997,5535.10675,222.72975,98.4625,28.823,664.472,69.372,1098.74575,7630.628500000001,20620.18425,0.0,7.38525,16623.9945,20620.18425,16631.37975,3988.8044999999984,None,PL,2026-04-23
2026-01-01 11:00:00+00:00,356.171,1758.89475,151.854,3003.4195,5631.77075,221.69925,98.6985,28.881,665.3145,69.4565,876.96,7779.430249999999,20642.549999999996,0.0,7.54725,16738.137000000002,20642.549999999996,16745.684250000002,3896.8657499999936,None,PL,2026-04-23
2026-01-01 12:00:00+00:00,360.47525,1739.32025,152.8455,2961.051,5159.98775,222.118,98.63175,28.987,668.85025,69.724,654.5174999999999,7878.76275,19995.271,0.0,7.26125,16961.41775,19995.271,16968.679,3026.5920000000006,None,PL,2026-04-23
2026-01-01 13:00:00+00:00,351.981,1785.211,151.28975,2900.7105,5197.92275,223.29149999999998,103.10775000000001,30.403,671.2605,69.97775,401.8555,7945.837,19832.847999999998,0.0,7.585500000000001,17071.72425,19832.847999999998,17079.30975,2753.538249999998,None,PL,2026-04-23
2026-01-01 14:00:00+00:00,357.36925,1787.0245,153.464,2758.1205,5202.21925,224.289,119.08025,43.5885,672.3705,70.064,156.1715,8102.2432499999995,19646.004500000003,28.409749999999995,0.0,17072.51425,19674.41425,17072.51425,2601.9000000000015,None,PL,2026-04-23
2026-01-01 15:00:00+00:00,358.10725,1777.74175,157.2725,2636.09925,5178.53175,225.30075,133.6445,71.5395,670.0342499999999,69.8345,0.0,8216.529,19494.635000000002,185.101,0.0,17515.9995,19679.736,17515.9995,2163.736499999999,None,PL,2026-04-23
2026-01-01 16:00:00+00:00,359.8375,1776.4075,157.45499999999998,2720.339,5190.6525,225.73000000000002,139.0765,73.77000000000001,672.1975,70.1015,0.0,8214.295750000001,19599.86275,323.193,0.0,17471.611,19923.05575,17471.611,2451.4447499999987,None,PL,2026-04-23
2026-01-01 17:00:00+00:00,356.38824999999997,1789.4365,155.351,2975.374,5270.711499999999,225.66725,139.1765,88.564,675.2735,70.3755,0.0,8219.182,19965.5,324.6385,0.0,17489.458,20290.1385,17489.458,2800.680500000002,None,PL,2026-04-23
2026-01-01 18:00:00+00:00,356.17225,1772.46,156.88175,2684.23325,5119.42925,225.3275,130.77724999999998,100.42824999999999,676.50775,70.452,0.0,8192.312750000001,19484.982000000004,325.7365,0.0,17369.04675,19810.718500000003,17369.04675,2441.6717500000013,None,PL,2026-04-23
2026-01-01 19:00:00+00:00,356.78475000000003,1782.647,158.85075,2544.04625,5093.4035,226.0965,108.6065,62.7415,677.33775,70.58924999999999,0.0,8186.1587500000005,19267.262500000004,321.388,0.0,16936.2185,19588.650500000003,16936.2185,2652.4320000000043,None,PL,2026-04-23
2026-01-01 20:00:00+00:00,358.51574999999997,1803.87575,156.79825,2701.59725,5231.9445,223.53975,99.69175,29.301,670.8475,69.6185,0.0,7655.992249999999,19001.72225,0.0,6.5215,16239.016749999999,19001.72225,16245.53825,2756.1839999999993,None,PL,2026-04-23
2026-01-01 21:00:00+00:00,356.6595,1812.45725,155.54975,2680.831,5126.5715,222.8105,98.70875,28.941,664.8620000000001,68.97425,0.0,7604.537,18820.9025,0.0,9.750499999999999,15462.8375,18820.9025,15472.588,3348.3145000000004,None,PL,2026-04-23
2026-01-01 22:00:00+00:00,353.904,1943.5895,156.793,2412.101,5018.64125,221.954,99.0095,29.142,666.94925,69.1425,0.0,7183.31275,18154.53875,0.0,62.17625,14480.84,18154.53875,14543.01625,3611.522499999999,None,PL,2026-04-23
2026-01-01 23:00:00+00:00,353.97425,1859.4969999999998,158.277,2813.4465,5184.07125,218.3065,98.83275,29.002,667.53,69.04875,0.0,5723.382250000001,17175.36825,0.0,357.43175,13983.85925,17175.36825,14341.291,2834.0772500000003,None,PL,2026-04-23
2026-01-02 00:00:00+00:00,352.21875,1811.1354999999999,158.8265,2970.951,5223.06575,216.864,98.96025,29.231,664.57375,68.75325,0.0,5622.0135,17216.593249999998,0.0,562.613,13521.819,17216.593249999998,14084.431999999999,3132.161249999999,None,PL,2026-04-23
2026-01-02 01:00:00+00:00,352.58875,1813.007,157.0515,2932.49575,5051.45925,216.16,99.01325,29.189,659.11475,68.276,0.0,5431.1044999999995,16809.45975,0.0,568.7004999999999,13282.6345,16809.45975,13851.335,2958.1247500000027,None,PL,2026-04-23
