,Hydro Water Reservoir,Other,Solar,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,2759.5955,24.921750000000003,0.0,174.37,2958.8872499999998,0.0,0.0,1564.25,2958.8872499999998,1564.25,1394.6372499999998,None,SE_1,2026-04-23
2026-01-01 01:00:00+00:00,2510.44225,24.867,0.0,176.72625,2712.0355000000004,0.0,0.0,1570.5,2712.0355000000004,1570.5,1141.5355000000004,None,SE_1,2026-04-23
2026-01-01 02:00:00+00:00,2214.5865,24.767,0.0,199.68574999999998,2439.03925,0.0,0.0,1539.25,2439.03925,1539.25,899.7892499999998,None,SE_1,2026-04-23
2026-01-01 03:00:00+00:00,2026.0085,24.77675,0.0,251.05475,2301.84,0.0,0.0,1564.0,2301.84,1564.0,737.8400000000001,None,SE_1,2026-04-23
2026-01-01 04:00:00+00:00,1974.549,24.775,0.0,314.75800000000004,2314.0820000000003,0.0,0.0,1512.25,2314.0820000000003,1512.25,801.8320000000003,None,SE_1,2026-04-23
2026-01-01 05:00:00+00:00,1945.4904999999999,24.782,0.0,445.67375,2415.94625,0.0,0.0,1601.75,2415.94625,1601.75,814.19625,None,SE_1,2026-04-23
2026-01-01 06:00:00+00:00,2127.91775,24.786749999999998,0.0,539.15825,2691.8627500000002,0.0,0.0,1621.25,2691.8627500000002,1621.25,1070.6127500000002,None,SE_1,2026-04-23
2026-01-01 07:00:00+00:00,2155.7945,24.805,0.0,598.51275,2779.1122499999997,0.0,0.0,1740.5,2779.1122499999997,1740.5,1038.6122499999997,None,SE_1,2026-04-23
2026-01-01 08:00:00+00:00,2155.603,24.794,0.0,650.3615,2830.7585,0.0,0.0,1836.5,2830.7585,1836.5,994.2584999999999,None,SE_1,2026-04-23
2026-01-01 09:00:00+00:00,2217.46925,24.7255,0.0,663.5375,2905.73225,0.0,0.0,1976.5,2905.73225,1976.5,929.23225,None,SE_1,2026-04-23
2026-01-01 10:00:00+00:00,2304.7225,24.7315,0.00575,654.42125,2983.8809999999994,0.0,0.0,2052.5,2983.8809999999994,2052.5,931.3809999999994,None,SE_1,2026-04-23
2026-01-01 11:00:00+00:00,2320.5389999999998,24.73075,0.006500000000000001,694.9945,3040.2707499999997,0.0,0.0,2197.0,3040.2707499999997,2197.0,843.2707499999997,None,SE_1,2026-04-23
2026-01-01 12:00:00+00:00,2354.84,24.72025,0.002,799.441,3179.0032499999998,0.0,0.0,2198.0,3179.0032499999998,2198.0,981.0032499999998,None,SE_1,2026-04-23
2026-01-01 13:00:00+00:00,2363.57,24.7185,0.0,653.59875,3041.88725,0.0,0.0,1974.5,3041.88725,1974.5,1067.3872500000002,None,SE_1,2026-04-23
2026-01-01 14:00:00+00:00,2521.03775,24.7285,0.0,787.94425,3333.7105,0.0,0.0,2024.25,3333.7105,2024.25,1309.4605000000001,None,SE_1,2026-04-23
2026-01-01 15:00:00+00:00,2626.47325,24.7205,0.0,620.8515,3272.04525,0.0,0.0,1799.5,3272.04525,1799.5,1472.5452500000001,None,SE_1,2026-04-23
2026-01-01 16:00:00+00:00,2644.1355,24.71725,0.0,561.98275,3230.8355,0.0,0.0,1602.25,3230.8355,1602.25,1628.5855000000001,None,SE_1,2026-04-23
2026-01-01 17:00:00+00:00,2628.2442499999997,24.71875,0.0,1019.95075,3672.9137499999997,0.0,0.0,1997.75,3672.9137499999997,1997.75,1675.1637499999997,None,SE_1,2026-04-23
2026-01-01 18:00:00+00:00,2628.05325,24.70825,0.0,1181.61125,3834.37275,0.0,0.0,2189.25,3834.37275,2189.25,1645.12275,None,SE_1,2026-04-23
