,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,256.0,1075.8,0.0,0.0,0.072,1313.6,48.9,22.0,0.0,0.0,100.0,3228.0,6044.371999999999,0.0,66.3,6459.599999999999,6044.371999999999,6525.9,-481.52800000000025,None,AT,2026-04-23
2026-01-01 01:00:00+00:00,256.0,1089.6,0.0,0.0,0.072,1319.0,21.4,22.0,0.0,0.0,100.0,3005.0,5813.072,0.0,741.4,6290.2,5813.072,7031.599999999999,-1218.5279999999993,None,AT,2026-04-23
2026-01-01 02:00:00+00:00,256.0,1066.8,0.0,0.0,0.072,1298.6,23.8,22.0,0.0,0.0,100.0,2724.0,5491.272,0.0,1254.8000000000002,6096.8,5491.272,7351.6,-1860.3280000000004,None,AT,2026-04-23
2026-01-01 03:00:00+00:00,256.0,1066.5,0.0,0.0,0.072,1291.6,16.4,22.0,0.0,0.0,100.0,2400.0,5152.572,0.0,1195.2,6066.3,5152.572,7261.5,-2108.928,None,AT,2026-04-23
2026-01-01 04:00:00+00:00,256.0,1094.0,0.0,0.0,0.072,1295.5,70.89999999999999,22.0,0.0,0.0,100.0,2289.0,5127.472,0.0,588.7,6246.2,5127.472,6834.9,-1707.4279999999999,None,AT,2026-04-23
2026-01-01 05:00:00+00:00,256.0,1098.9,0.0,0.0,0.072,1380.5,55.3,22.0,0.0,0.0,100.0,2059.0,4971.772,0.0,570.2,6419.1,4971.772,6989.3,-2017.5280000000002,None,AT,2026-04-23
2026-01-01 06:00:00+00:00,253.0,1147.3,0.0,0.0,0.072,1494.8,63.400000000000006,22.0,0.0,0.0,100.0,1635.0,4715.572,0.0,469.8,6692.5,4715.572,7162.3,-2446.728,None,AT,2026-04-23
2026-01-01 07:00:00+00:00,252.0,864.6,0.0,0.0,0.072,1501.2,26.5,22.0,0.0,64.0,100.0,1709.0,4539.371999999999,0.0,558.5,6919.4,4539.371999999999,7477.9,-2938.5280000000002,None,AT,2026-04-23
2026-01-01 08:00:00+00:00,252.0,673.6,0.0,0.0,0.072,1524.0,51.7,22.0,0.0,376.0,100.0,1140.0,4139.371999999999,0.0,1269.8,6857.0,4139.371999999999,8126.8,-3987.428000000001,None,AT,2026-04-23
2026-01-01 09:00:00+00:00,252.0,684.8,0.0,0.0,0.072,1540.5,51.7,22.0,0.0,718.0,100.0,920.0,4289.072,0.0,1352.6,6738.4,4289.072,8091.0,-3801.928,None,AT,2026-04-23
2026-01-01 10:00:00+00:00,252.0,704.7,0.0,0.0,0.072,1487.3,44.0,22.0,0.0,927.0,100.0,990.0,4527.072,0.0,1415.2,6625.4,4527.072,8040.599999999999,-3513.5279999999993,None,AT,2026-04-23
2026-01-01 11:00:00+00:00,252.0,706.6,0.0,0.0,0.072,1483.3,32.7,22.0,0.0,962.0,100.0,999.0,4557.672,0.0,1508.6,6483.1,4557.672,7991.700000000001,-3434.028000000001,None,AT,2026-04-23
2026-01-01 12:00:00+00:00,256.0,702.3,0.0,0.0,0.072,1483.7,30.8,22.0,0.0,811.0,100.0,984.0,4389.872,0.0,1526.0,6362.900000000001,4389.872,7888.900000000001,-3499.0280000000002,None,AT,2026-04-23
2026-01-01 13:00:00+00:00,256.0,1037.2,0.0,0.0,0.072,1528.2,27.1,22.0,0.0,516.0,100.0,1018.0,4504.572,0.0,1106.5,6511.0,4504.572,7617.5,-3112.928,None,AT,2026-04-23
2026-01-01 14:00:00+00:00,256.0,1443.4,0.0,0.0,0.072,1578.4,51.9,22.0,0.0,145.0,100.0,1078.0,4674.772000000001,0.0,619.6,7006.4,4674.772000000001,7626.0,-2951.227999999999,None,AT,2026-04-23
2026-01-01 15:00:00+00:00,256.0,1476.4,0.0,0.0,0.072,1619.6,58.900000000000006,22.0,0.0,2.0,100.0,1235.0,4769.972,0.0,230.0,7495.4,4769.972,7725.4,-2955.428,None,AT,2026-04-23
2026-01-01 16:00:00+00:00,256.0,1200.1,0.0,0.0,0.072,1620.7,83.4,22.0,0.0,0.0,100.0,1350.0,4632.272,102.8,0.0,7854.2,4735.072,7854.2,-3119.1279999999997,None,AT,2026-04-23
2026-01-01 17:00:00+00:00,256.0,1152.3,0.0,0.0,0.072,1638.9,68.4,22.0,0.0,0.0,100.0,1215.0,4452.6720000000005,366.9,0.0,7881.099999999999,4819.572,7881.099999999999,-3061.5279999999993,None,AT,2026-04-23
2026-01-01 18:00:00+00:00,256.0,1151.5,0.0,0.0,0.072,1577.8,83.9,22.0,0.0,0.0,100.0,1136.0,4327.272,397.2,0.0,7719.3,4724.472,7719.3,-2994.8280000000004,None,AT,2026-04-23
2026-01-01 19:00:00+00:00,256.0,1149.4,0.0,0.0,0.072,1520.1,84.9,22.0,0.0,0.0,100.0,1160.0,4292.472,0.0,158.8,7423.0,4292.472,7581.8,-3289.3280000000004,None,AT,2026-04-23
2026-01-01 20:00:00+00:00,256.0,1142.2,0.0,0.0,0.072,1492.0,71.8,22.0,0.0,0.0,100.0,1302.0,4386.072,0.0,636.8,7036.6,4386.072,7673.400000000001,-3287.3280000000004,None,AT,2026-04-23
2026-01-01 21:00:00+00:00,256.0,1115.0,0.0,0.0,0.072,1416.6,24.200000000000003,22.0,0.0,0.0,100.0,1560.0,4493.871999999999,0.0,761.0,6900.9,4493.871999999999,7661.9,-3168.0280000000002,None,AT,2026-04-23
2026-01-01 22:00:00+00:00,256.0,1113.4,0.0,0.0,0.072,1369.2,25.9,22.0,0.0,0.0,100.0,1530.0,4416.572,0.0,1036.0,6537.1,4416.572,7573.1,-3156.5280000000002,None,AT,2026-04-23
2026-01-01 23:00:00+00:00,252.0,1154.1,0.0,0.0,0.072,1301.7,18.4,22.0,0.0,0.0,100.0,1535.0,4383.272,0.0,932.7,6315.7,4383.272,7248.4,-2865.1279999999997,None,AT,2026-04-23
2026-01-02 00:00:00+00:00,252.0,1112.0,0.0,0.0,0.072,1258.9,40.7,22.0,0.0,0.0,100.0,1572.0,4357.672,0.0,1243.7,6066.3,4357.672,7310.0,-2952.3280000000004,None,AT,2026-04-23
2026-01-02 01:00:00+00:00,252.0,1007.5,0.0,0.0,0.072,1270.1,41.3,22.0,0.0,0.0,100.0,1595.0,4287.972,0.0,1325.8,5939.0,4287.972,7264.8,-2976.8280000000004,None,AT,2026-04-23
2026-01-02 02:00:00+00:00,252.0,1017.1999999999999,0.0,0.0,0.072,1334.1,35.8,22.0,0.0,0.0,100.0,1709.0,4470.172,0.0,1518.4,5880.0,4470.172,7398.4,-2928.228,None,AT,2026-04-23
2026-01-02 03:00:00+00:00,252.0,1016.0999999999999,0.0,0.0,0.072,1344.5,21.3,22.0,0.0,0.0,100.0,1663.0,4418.972,0.0,1469.4,5985.7,4418.972,7455.1,-3036.1280000000006,None,AT,2026-04-23
2026-01-02 04:00:00+00:00,248.0,1046.1,0.0,0.0,0.072,1278.2,27.3,22.0,0.0,0.0,100.0,1786.0,4507.6720000000005,0.0,1087.9,6460.2,4507.6720000000005,7548.1,-3040.428,None,AT,2026-04-23
2026-01-02 05:00:00+00:00,248.0,1282.0,0.0,0.0,0.072,1329.9,44.8,22.0,0.0,0.0,100.0,1911.0,4937.772,0.0,420.1,7074.6,4937.772,7494.700000000001,-2556.928000000001,None,AT,2026-04-23
2026-01-02 06:00:00+00:00,248.0,1201.1,0.0,0.0,0.072,1433.8,56.6,22.0,0.0,0.0,100.0,1946.0,5007.572,81.0,0.0,7715.5,5088.572,7715.5,-2626.928,None,AT,2026-04-23
2026-01-02 07:00:00+00:00,248.0,1139.2,0.0,0.0,0.072,1527.8,66.6,22.0,0.0,40.0,100.0,1771.0,4914.6720000000005,260.3,0.0,8154.5,5174.972000000001,8154.5,-2979.5279999999993,None,AT,2026-04-23
2026-01-02 08:00:00+00:00,248.0,1125.1,0.0,0.0,0.072,1504.1,71.3,22.0,0.0,226.0,100.0,1605.0,4901.572,553.0,0.0,8314.7,5454.572,8314.7,-2860.1280000000006,None,AT,2026-04-23
2026-01-02 09:00:00+00:00,248.0,1123.6,0.0,0.0,0.072,1452.0,69.2,22.0,0.0,410.0,100.0,1628.0,5052.871999999999,370.9,0.0,8356.3,5423.771999999999,8356.3,-2932.5280000000002,None,AT,2026-04-23
2026-01-02 10:00:00+00:00,248.0,1127.8,0.0,0.0,0.072,1437.7,47.6,22.0,0.0,504.0,100.0,1854.0,5341.1720000000005,299.0,0.0,8431.2,5640.1720000000005,8431.2,-2791.0280000000002,None,AT,2026-04-23
2026-01-02 11:00:00+00:00,248.0,1160.4,0.0,0.0,0.072,1466.5,81.6,22.0,0.0,512.0,100.0,2417.0,6007.572,363.09999999999997,0.0,8380.5,6370.6720000000005,8380.5,-2009.8279999999995,None,AT,2026-04-23
2026-01-02 12:00:00+00:00,248.0,1160.1,0.0,0.0,0.072,1455.7,26.9,22.0,0.0,409.0,100.0,3208.0,6629.772,126.2,0.0,8278.4,6755.972,8278.4,-1522.4279999999999,None,AT,2026-04-23
2026-01-02 13:00:00+00:00,248.0,1283.4,0.0,0.0,0.072,1450.5,25.2,22.0,0.0,235.0,100.0,3436.0,6800.172,133.8,0.0,8230.6,6933.972,8230.6,-1296.6280000000006,None,AT,2026-04-23
2026-01-02 14:00:00+00:00,248.0,1433.8000000000002,0.0,0.0,0.072,1503.1,57.2,22.0,0.0,55.0,100.0,3141.0,6560.172,539.2,0.0,8338.9,7099.371999999999,8338.9,-1239.5280000000002,None,AT,2026-04-23
