,Biomass,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Offshore,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,332.4,727.5,0.0,1102.3,932.1,29.6,0.0,6.6,2152.4,5282.9,451.9,0.0,5832.6,5734.799999999999,5832.6,-97.80000000000109,None,PT,2026-04-23
2026-01-01 01:00:00+00:00,333.3,689.8,0.0,978.3,938.1,28.5,0.0,10.2,2247.0,5225.2,433.3,0.0,5613.9,5658.5,5613.9,44.600000000000364,None,PT,2026-04-23
2026-01-01 02:00:00+00:00,336.0,611.0,0.0,954.7,586.2,29.2,0.0,12.1,2297.7,4826.9,0.0,125.60000000000002,5207.9,4826.9,5333.5,-506.60000000000036,None,PT,2026-04-23
2026-01-01 03:00:00+00:00,335.3,596.4,0.0,875.3,684.0,28.6,0.1,11.7,2310.0,4841.4,0.0,822.4,4884.7,4841.4,5707.099999999999,-865.6999999999998,None,PT,2026-04-23
2026-01-01 04:00:00+00:00,332.3,597.2,0.0,762.1,648.3000000000001,29.2,0.0,12.2,2368.8,4750.1,0.0,1179.1,4655.3,4750.1,5834.4,-1084.2999999999993,None,PT,2026-04-23
2026-01-01 05:00:00+00:00,329.2,670.1,0.0,859.6,609.5,27.9,0.0,13.6,2274.9,4784.8,0.0,1134.7,4535.9,4784.8,5670.599999999999,-885.7999999999993,None,PT,2026-04-23
2026-01-01 06:00:00+00:00,333.8,592.8,0.0,869.0,643.7,29.1,0.0,14.3,2310.1,4792.8,0.0,603.5999999999999,4527.1,4792.8,5130.700000000001,-337.90000000000055,None,PT,2026-04-23
2026-01-01 07:00:00+00:00,336.8,541.0,0.0,957.1,533.1,30.0,0.1,15.1,2694.7,5107.9,0.0,1243.8,4545.8,5107.9,5789.6,-681.7000000000007,None,PT,2026-04-23
2026-01-01 08:00:00+00:00,332.5,600.0,0.0,928.8,514.6,28.8,28.9,20.0,2990.6,5444.200000000001,0.0,1850.9,4651.1,5444.200000000001,6502.0,-1057.7999999999993,None,PT,2026-04-23
2026-01-01 09:00:00+00:00,331.4,671.5999999999999,0.0,705.1,492.0,28.3,146.4,19.6,3213.1,5607.5,0.0,2000.9,5094.9,5607.5,7095.799999999999,-1488.2999999999993,None,PT,2026-04-23
