,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 14:00:00+00:00,12.173056,986.96374,304.8132,49.5208,117.112842,342.5507,1764.72,271.161338,3.381,104.176977,3956.573653,0.0,0.0,5283.70917,3956.573653,5283.70917,-1327.1355170000002,None,BG,2026-04-23
2026-01-01 15:00:00+00:00,11.991984,1044.4612,304.834095,49.925,155.174025,698.3063,1765.6776,325.74458,3.358,129.001405,4488.474189,0.0,0.0,5642.89225,4488.474189,5642.89225,-1154.4180610000003,None,BG,2026-04-23
2026-01-01 16:00:00+00:00,11.706576,980.22538,305.357105,49.8364,159.786732,952.51761,1764.3096,421.861819,3.263,137.738086,4786.6023079999995,0.0,0.0,5805.48853,4786.6023079999995,5805.48853,-1018.8862220000001,None,BG,2026-04-23
2026-01-01 17:00:00+00:00,11.656624,955.89655,306.107265,50.0521,158.157618,957.89441,1764.1728,331.96972,3.454,163.590055,4702.951142,0.0,0.0,5811.6384,4702.951142,5811.6384,-1108.687258,None,BG,2026-04-23
2026-01-01 18:00:00+00:00,11.354432,931.42344,307.044585,49.7192,138.498742,862.4909,1764.036,151.268267,3.495,173.438179,4392.768745,0.0,0.0,5754.86385,4392.768745,5754.86385,-1362.0951049999994,None,BG,2026-04-23
2026-01-01 19:00:00+00:00,11.437408,940.44316,303.518555,49.8864,105.414071,589.0292,1765.6776,33.538071,3.54,231.037042,4033.521507,0.0,0.0,5616.84695,4033.521507,5616.84695,-1583.3254430000002,None,BG,2026-04-23
2026-01-01 20:00:00+00:00,11.48928,1053.45108,302.54474,49.7595,80.995097,397.3226,1764.8568,26.293192,3.48,307.319977,3997.512266,0.0,0.0,5489.62715,3997.512266,5489.62715,-1492.114884,None,BG,2026-04-23
2026-01-01 21:00:00+00:00,11.652656,1030.37466,302.35833,49.8025,67.293923,208.97305,1762.8048,124.353068,3.411,342.725961,3903.749948,0.0,0.0,5237.12492,3903.749948,5237.12492,-1333.374972,None,BG,2026-04-23
2026-01-01 22:00:00+00:00,12.173936,1129.38161,306.279105,49.8203,81.712629,8.88905,1763.7624,3.213599,3.283,353.010121,3711.5257500000007,0.0,0.0,5082.91251,3711.5257500000007,5082.91251,-1371.3867599999994,None,BG,2026-04-23
2026-01-01 23:00:00+00:00,12.14368,992.54139,305.664375,49.6536,71.609868,8.61977,1764.1728,33.658089,3.278,309.569891,3550.9114630000004,0.0,0.0,4826.09623,3550.9114630000004,4826.09623,-1275.1847669999997,None,BG,2026-04-23
2026-01-02 00:00:00+00:00,12.12768,930.32414,304.86661,49.6804,71.005621,8.61877,1763.7624,0.65632,3.314,313.548602,3457.904543,0.0,0.0,4891.64964,3457.904543,4891.64964,-1433.7450969999995,None,BG,2026-04-23
2026-01-02 01:00:00+00:00,11.8412,932.87968,304.86483,49.7619,74.006351,8.61974,1763.7624,0.513295,3.259,308.15328,3457.661676,0.0,0.0,5091.17325,3457.661676,5091.17325,-1633.5115739999997,None,BG,2026-04-23
2026-01-02 02:00:00+00:00,11.700336,964.38978,304.992605,49.5971,73.575691,8.65933,1763.6256,0.980773,3.537,351.944544,3533.002759,0.0,0.0,5217.76566,3533.002759,5217.76566,-1684.762901,None,BG,2026-04-23
