,BG_GR,GR_BG,BG_MK,MK_BG,BG_RO,RO_BG,BG_RS,RS_BG,BG_GR_net_export,BG_MK_net_export,BG_RO_net_export,BG_RS_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,277.925,50.0,0.0,382.475,1322.175,276.0,0.0,-277.925,50.0,-939.6999999999999,276.0,-891.625,None,BG,2026-04-23
2026-01-01 01:00:00+00:00,115.55000000000001,63.425,49.0,0.0,403.32500000000005,1647.15,281.0,0.0,52.125000000000014,49.0,-1243.825,281.0,-861.7,None,BG,2026-04-23
2026-01-01 02:00:00+00:00,249.675,2.75,49.0,0.0,385.425,1801.425,263.0,0.0,246.925,49.0,-1416.0,263.0,-857.075,None,BG,2026-04-23
2026-01-01 03:00:00+00:00,512.6,2.75,49.0,0.0,381.575,1950.8,231.0,0.0,509.85,49.0,-1569.225,231.0,-779.3749999999999,None,BG,2026-04-23
2026-01-01 04:00:00+00:00,519.475,2.75,49.0,0.0,380.375,1888.125,207.0,0.0,516.725,49.0,-1507.75,207.0,-735.025,None,BG,2026-04-23
2026-01-01 05:00:00+00:00,830.625,2.75,29.0,0.0,380.325,2036.725,166.0,0.0,827.875,29.0,-1656.3999999999999,166.0,-633.5249999999999,None,BG,2026-04-23
2026-01-01 06:00:00+00:00,661.1,2.75,24.0,0.0,370.45,1515.4,165.0,26.0,658.35,24.0,-1144.95,139.0,-323.6,None,BG,2026-04-23
2026-01-01 07:00:00+00:00,84.175,317.725,2.0,0.0,1046.825,29.525,207.0,20.0,-233.55,2.0,1017.3000000000001,187.0,972.75,None,BG,2026-04-23
2026-01-01 08:00:00+00:00,0.0,656.525,0.0,0.0,1800.375,0.0,259.0,25.0,-656.525,0.0,1800.375,234.0,1377.85,None,BG,2026-04-23
2026-01-01 09:00:00+00:00,0.0,808.0,0.0,0.0,1781.0,2.0,263.0,25.0,-808.0,0.0,1779.0,238.0,1209.0,None,BG,2026-04-23
2026-01-01 10:00:00+00:00,0.0,706.1,0.0,0.0,785.47499975,0.175,256.0,0.0,-706.1,0.0,785.2999997500001,256.0,335.1999997500001,None,BG,2026-04-23
2026-01-01 11:00:00+00:00,0.0,440.425,0.0,0.0,541.45,3.0,294.0,5.0,-440.425,0.0,538.45,289.0,387.02500000000003,None,BG,2026-04-23
2026-01-01 12:00:00+00:00,61.65,66.89999999999999,0.0,0.0,405.025,366.2,234.0,5.0,-5.249999999999993,0.0,38.82499999999999,229.0,262.575,None,BG,2026-04-23
