,PL_CZ,CZ_PL,PL_DE_LU,DE_LU_PL,PL_LT,LT_PL,PL_SE_4,SE_4_PL,PL_SK,SK_PL,PL_CZ_net_export,PL_DE_LU_net_export,PL_LT_net_export,PL_SE_4_net_export,PL_SK_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,1521.675,0.0,0.0,145.55,0.0,0.0,600.0,1227.2250000000001,101.825,-1521.675,0.0,145.55,-600.0,1125.4,-850.7249999999999,None,PL,2026-04-23
2026-01-01 01:00:00+00:00,310.525,1519.175,0.0,0.0,62.75,0.0,0.0,600.0,1560.175,166.775,-1208.65,0.0,62.75,-600.0,1393.3999999999999,-352.5000000000002,None,PL,2026-04-23
2026-01-01 02:00:00+00:00,327.525,1014.6,0.0,0.0,0.0,73.55,0.0,600.0,1360.625,0.0,-687.075,0.0,-73.55,-600.0,1360.625,0.0,None,PL,2026-04-23
2026-01-01 03:00:00+00:00,256.075,1119.9,235.175,0.0,0.0,124.325,0.0,600.0,1612.625,0.0,-863.825,235.175,-124.325,-600.0,1612.625,259.64999999999986,None,PL,2026-04-23
2026-01-01 04:00:00+00:00,0.0,753.3,1026.75,0.0,0.0,148.8,0.0,600.0,1109.175,0.0,-753.3,1026.75,-148.8,-600.0,1109.175,633.825,None,PL,2026-04-23
2026-01-01 05:00:00+00:00,1306.625,627.4,0.0,0.0,139.675,0.0,0.0,420.0,1068.7,0.0,679.225,0.0,139.675,-420.0,1068.7,1467.6000000000001,None,PL,2026-04-23
2026-01-01 06:00:00+00:00,0.0,1407.475,0.0,0.0,159.0,0.0,0.0,120.0,3191.325,0.0,-1407.475,0.0,159.0,-120.0,3191.325,1822.85,None,PL,2026-04-23
2026-01-01 07:00:00+00:00,1568.55,0.0,0.0,0.0,159.0,0.0,180.0,0.0,149.9,0.0,1568.55,0.0,159.0,180.0,149.9,2057.45,None,PL,2026-04-23
2026-01-01 08:00:00+00:00,991.275,0.0,425.975,0.0,160.0,0.0,480.0,0.0,291.525,0.0,991.275,425.975,160.0,480.0,291.525,2348.775,None,PL,2026-04-23
2026-01-01 09:00:00+00:00,1978.825,0.0,893.425,1207.275,160.0,0.0,600.0,0.0,124.1,0.0,1978.825,-313.85000000000014,160.0,600.0,124.1,2549.075,None,PL,2026-04-23
2026-01-01 10:00:00+00:00,879.575,0.0,0.0,0.0,161.0,0.0,600.0,0.0,1065.325,0.0,879.575,0.0,161.0,600.0,1065.325,2705.9,None,PL,2026-04-23
2026-01-01 11:00:00+00:00,1761.725,0.0,0.0,0.0,161.0,0.0,338.3,0.0,376.45,0.0,1761.725,0.0,161.0,338.3,376.45,2637.475,None,PL,2026-04-23
2026-01-01 12:00:00+00:00,1986.675,0.0,0.0,0.0,121.25,0.0,38.3,0.0,195.25,0.0,1986.675,0.0,121.25,38.3,195.25,2341.4750000000004,None,PL,2026-04-23
2026-01-01 13:00:00+00:00,1554.25,146.075,0.0,0.0,14.975,78.675,0.0,100.0,654.225,0.0,1408.175,0.0,-63.699999999999996,-100.0,654.225,1898.6999999999998,None,PL,2026-04-23
2026-01-01 14:00:00+00:00,476.725,0.0,971.8,0.0,0.0,153.95,0.0,100.0,484.6,0.0,476.725,971.8,-153.95,-100.0,484.6,1679.1750000000002,None,PL,2026-04-23
2026-01-01 15:00:00+00:00,1666.225,1326.375,0.0,0.0,0.0,207.0,0.0,100.0,1874.775,0.0,339.8499999999999,0.0,-207.0,-100.0,1874.775,1907.625,None,PL,2026-04-23
2026-01-01 16:00:00+00:00,5.425,167.325,0.0,0.0,0.0,207.0,0.0,100.0,2422.55,0.0,-161.89999999999998,0.0,-207.0,-100.0,2422.55,1953.65,None,PL,2026-04-23
2026-01-01 17:00:00+00:00,1835.375,8.825,0.0,0.0,0.0,206.0,0.0,100.0,618.0,0.0,1826.55,0.0,-206.0,-100.0,618.0,2138.55,None,PL,2026-04-23
2026-01-01 18:00:00+00:00,1780.9250000000002,0.0,593.65,0.0,0.0,204.0,0.0,100.0,0.0,0.0,1780.9250000000002,593.65,-204.0,-100.0,0.0,2070.5750000000003,None,PL,2026-04-23
2026-01-01 19:00:00+00:00,1161.175,1382.175,580.85,0.0,23.950000000000003,65.8,0.0,100.0,1962.5,0.0,-221.0,580.85,-41.849999999999994,-100.0,1962.5,2180.5,None,PL,2026-04-23
2026-01-01 20:00:00+00:00,0.0,5610.675,0.0,0.0,48.675000000000004,74.5,0.0,0.0,8221.45,0.0,-5610.675,0.0,-25.824999999999996,0.0,8221.45,2584.9500000000007,None,PL,2026-04-23
2026-01-01 21:00:00+00:00,1828.65,0.0,0.0,0.0,158.0,0.0,300.0,0.0,607.9,0.0,1828.65,0.0,158.0,300.0,607.9,2894.55,None,PL,2026-04-23
2026-01-01 22:00:00+00:00,1928.525,0.0,0.0,0.0,156.0,0.0,600.0,0.0,637.925,0.0,1928.525,0.0,156.0,600.0,637.925,3322.45,None,PL,2026-04-23
2026-01-01 23:00:00+00:00,903.35,0.0,0.0,336.35,155.0,0.0,600.0,0.0,1512.625,0.0,903.35,-336.35,155.0,600.0,1512.625,2834.625,None,PL,2026-04-23
2026-01-02 00:00:00+00:00,939.225,0.0,0.0,303.475,154.0,0.0,600.0,0.0,1508.0,0.0,939.225,-303.475,154.0,600.0,1508.0,2897.75,None,PL,2026-04-23
2026-01-02 01:00:00+00:00,912.025,0.0,0.0,312.2,154.0,0.0,600.0,0.0,1511.75,0.0,912.025,-312.2,154.0,600.0,1511.75,2865.575,None,PL,2026-04-23
2026-01-02 02:00:00+00:00,940.1500000000001,0.0,0.0,268.925,154.0,0.0,600.0,0.0,1433.95,0.0,940.1500000000001,-268.925,154.0,600.0,1433.95,2859.175,None,PL,2026-04-23
2026-01-02 03:00:00+00:00,953.175,0.0,0.0,247.85,153.0,0.0,600.0,0.0,1453.55,0.0,953.175,-247.85,153.0,600.0,1453.55,2911.875,None,PL,2026-04-23
2026-01-02 04:00:00+00:00,869.925,0.0,0.0,357.32500000000005,154.0,0.0,300.0,0.0,1412.625,0.0,869.925,-357.32500000000005,154.0,300.0,1412.625,2379.225,None,PL,2026-04-23
2026-01-02 05:00:00+00:00,943.8,0.0,0.0,214.39999999999998,68.8,98.0,0.0,0.0,1466.225,0.0,943.8,-214.39999999999998,-29.200000000000003,0.0,1466.225,2166.4249999999997,None,PL,2026-04-23
2026-01-02 06:00:00+00:00,740.3,0.0,0.0,436.57500000000005,0.0,195.0,0.0,200.0,1377.75,0.0,740.3,-436.57500000000005,-195.0,-200.0,1377.75,1286.475,None,PL,2026-04-23
2026-01-02 07:00:00+00:00,692.225,0.0,0.0,510.95,0.0,197.0,0.0,300.0,1227.35,0.0,692.225,-510.95,-197.0,-300.0,1227.35,911.625,None,PL,2026-04-23
2026-01-02 08:00:00+00:00,631.325,0.0,0.0,712.075,0.0,199.0,0.0,300.0,1079.325,0.0,631.325,-712.075,-199.0,-300.0,1079.325,499.57500000000005,None,PL,2026-04-23
2026-01-02 09:00:00+00:00,780.875,0.0,0.0,772.45,0.0,200.0,0.0,300.0,1247.85,0.0,780.875,-772.45,-200.0,-300.0,1247.85,756.2749999999999,None,PL,2026-04-23
2026-01-02 10:00:00+00:00,781.875,0.0,0.0,777.9,0.0,198.0,0.0,300.0,1253.375,0.0,781.875,-777.9,-198.0,-300.0,1253.375,759.35,None,PL,2026-04-23
2026-01-02 11:00:00+00:00,698.425,0.0,0.0,878.925,0.0,197.0,0.0,300.0,1186.125,0.0,698.425,-878.925,-197.0,-300.0,1186.125,508.625,None,PL,2026-04-23
2026-01-02 12:00:00+00:00,509.6,0.0,0.0,912.025,0.0,196.0,0.0,300.0,944.525,0.0,509.6,-912.025,-196.0,-300.0,944.525,46.10000000000002,None,PL,2026-04-23
2026-01-02 13:00:00+00:00,459.9,0.0,0.0,1018.675,0.0,194.0,0.0,300.0,1078.575,0.0,459.9,-1018.675,-194.0,-300.0,1078.575,25.799999999999955,None,PL,2026-04-23
2026-01-02 14:00:00+00:00,460.5,0.0,0.0,924.875,0.0,194.0,0.0,300.0,1067.75,0.0,460.5,-924.875,-194.0,-300.0,1067.75,109.375,None,PL,2026-04-23
2026-01-02 15:00:00+00:00,565.25,0.0,0.0,740.4,0.0,194.0,0.0,300.0,1173.875,0.0,565.25,-740.4,-194.0,-300.0,1173.875,504.725,None,PL,2026-04-23
