,LV_EE,EE_LV,LV_LT,LT_LV,LV_EE_net_export,LV_LT_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,190.625,0.0,0.0,709.575,190.625,-709.575,-518.95,None,LV,2026-04-23
2026-01-01 01:00:00+00:00,296.575,0.0,0.0,809.175,296.575,-809.175,-512.5999999999999,None,LV,2026-04-23
2026-01-01 02:00:00+00:00,279.45,0.0,0.0,786.0,279.45,-786.0,-506.55,None,LV,2026-04-23
2026-01-01 03:00:00+00:00,406.65,0.0,0.0,742.0,406.65,-742.0,-335.35,None,LV,2026-04-23
2026-01-01 04:00:00+00:00,483.775,0.0,0.0,733.0,483.775,-733.0,-249.22500000000002,None,LV,2026-04-23
2026-01-01 05:00:00+00:00,516.7,0.0,0.0,771.0,516.7,-771.0,-254.29999999999995,None,LV,2026-04-23
2026-01-01 06:00:00+00:00,530.525,0.0,0.0,802.0,530.525,-802.0,-271.475,None,LV,2026-04-23
2026-01-01 07:00:00+00:00,432.125,0.0,0.0,793.0,432.125,-793.0,-360.875,None,LV,2026-04-23
2026-01-01 08:00:00+00:00,414.725,0.0,0.0,799.0,414.725,-799.0,-384.275,None,LV,2026-04-23
2026-01-01 09:00:00+00:00,428.0,0.0,0.0,791.0,428.0,-791.0,-363.0,None,LV,2026-04-23
2026-01-01 10:00:00+00:00,459.45000000000005,0.0,0.0,823.0,459.45000000000005,-823.0,-363.54999999999995,None,LV,2026-04-23
2026-01-01 11:00:00+00:00,416.375,0.0,0.0,803.0,416.375,-803.0,-386.625,None,LV,2026-04-23
2026-01-01 12:00:00+00:00,272.7,0.0,0.0,686.0,272.7,-686.0,-413.3,None,LV,2026-04-23
2026-01-01 13:00:00+00:00,332.75,0.0,0.0,790.0,332.75,-790.0,-457.25,None,LV,2026-04-23
2026-01-01 14:00:00+00:00,303.45,0.0,0.0,807.0,303.45,-807.0,-503.55,None,LV,2026-04-23
2026-01-01 15:00:00+00:00,299.575,0.0,0.0,801.0,299.575,-801.0,-501.425,None,LV,2026-04-23
2026-01-01 16:00:00+00:00,291.45,0.0,0.0,800.0,291.45,-800.0,-508.55,None,LV,2026-04-23
2026-01-01 17:00:00+00:00,237.075,0.0,0.0,819.0,237.075,-819.0,-581.925,None,LV,2026-04-23
2026-01-01 18:00:00+00:00,128.725,0.0,0.0,810.7,128.725,-810.7,-681.975,None,LV,2026-04-23
2026-01-01 19:00:00+00:00,160.89999999999998,0.0,0.0,826.2,160.89999999999998,-826.2,-665.3000000000001,None,LV,2026-04-23
2026-01-01 20:00:00+00:00,221.825,0.0,0.0,849.7,221.825,-849.7,-627.875,None,LV,2026-04-23
2026-01-01 21:00:00+00:00,204.025,0.0,0.0,792.425,204.025,-792.425,-588.4,None,LV,2026-04-23
2026-01-01 22:00:00+00:00,175.4,0.0,0.0,756.5,175.4,-756.5,-581.1,None,LV,2026-04-23
2026-01-01 23:00:00+00:00,69.475,0.0,0.0,452.97499999999997,69.475,-452.97499999999997,-383.5,None,LV,2026-04-23
2026-01-02 00:00:00+00:00,280.75,0.0,0.0,581.025,280.75,-581.025,-300.275,None,LV,2026-04-23
2026-01-02 01:00:00+00:00,194.3,0.0,0.0,431.125,194.3,-431.125,-236.825,None,LV,2026-04-23
2026-01-02 02:00:00+00:00,280.425,0.0,0.0,535.075,280.425,-535.075,-254.65000000000003,None,LV,2026-04-23
2026-01-02 03:00:00+00:00,432.25,0.0,0.0,713.0999999999999,432.25,-713.0999999999999,-280.8499999999999,None,LV,2026-04-23
2026-01-02 04:00:00+00:00,165.225,25.9,0.0,484.275,139.325,-484.275,-344.95,None,LV,2026-04-23
2026-01-02 05:00:00+00:00,0.0,322.3,0.0,104.925,-322.3,-104.925,-427.225,None,LV,2026-04-23
2026-01-02 06:00:00+00:00,0.0,341.475,0.0,155.975,-341.475,-155.975,-497.45000000000005,None,LV,2026-04-23
2026-01-02 07:00:00+00:00,0.0,305.25,0.0,227.75,-305.25,-227.75,-533.0,None,LV,2026-04-23
2026-01-02 08:00:00+00:00,0.0,262.225,0.0,280.8,-262.225,-280.8,-543.0250000000001,None,LV,2026-04-23
2026-01-02 09:00:00+00:00,0.0,225.9,0.0,314.45,-225.9,-314.45,-540.35,None,LV,2026-04-23
2026-01-02 10:00:00+00:00,0.0,192.9,0.0,335.35,-192.9,-335.35,-528.25,None,LV,2026-04-23
2026-01-02 11:00:00+00:00,4.824999999999999,4.7,0.0,537.575,0.12499999999999911,-537.575,-537.45,None,LV,2026-04-23
2026-01-02 12:00:00+00:00,0.0,170.3,0.0,381.45,-170.3,-381.45,-551.75,None,LV,2026-04-23
2026-01-02 13:00:00+00:00,0.0,161.925,0.0,403.675,-161.925,-403.675,-565.6,None,LV,2026-04-23
2026-01-02 14:00:00+00:00,0.0,137.175,0.0,317.875,-137.175,-317.875,-455.05,None,LV,2026-04-23
2026-01-02 15:00:00+00:00,0.0,152.425,0.0,209.2,-152.425,-209.2,-361.625,None,LV,2026-04-23
2026-01-02 16:00:00+00:00,0.0,158.25,0.0,184.8,-158.25,-184.8,-343.05,None,LV,2026-04-23
2026-01-02 17:00:00+00:00,0.0,172.375,0.0,139.825,-172.375,-139.825,-312.2,None,LV,2026-04-23
2026-01-02 18:00:00+00:00,0.0,192.175,0.0,82.15,-192.175,-82.15,-274.32500000000005,None,LV,2026-04-23
2026-01-02 19:00:00+00:00,0.0,226.35,1.8250000000000002,4.7,-226.35,-2.875,-229.225,None,LV,2026-04-23
2026-01-02 20:00:00+00:00,0.0,262.175,87.4,0.0,-262.175,87.4,-174.775,None,LV,2026-04-23
2026-01-02 21:00:00+00:00,0.0,308.175,51.0,0.0,-308.175,51.0,-257.175,None,LV,2026-04-23
2026-01-02 22:00:00+00:00,0.0,286.625,0.0,48.95,-286.625,-48.95,-335.575,None,LV,2026-04-23
2026-01-02 23:00:00+00:00,0.0,294.375,37.5,45.725,-294.375,-8.225000000000001,-302.6,None,LV,2026-04-23
2026-01-03 00:00:00+00:00,0.0,343.7,58.0,0.0,-343.7,58.0,-285.7,None,LV,2026-04-23
2026-01-03 01:00:00+00:00,0.0,288.475,94.2,0.0,-288.475,94.2,-194.27500000000003,None,LV,2026-04-23
2026-01-03 02:00:00+00:00,0.0,314.225,121.1,0.0,-314.225,121.1,-193.12500000000003,None,LV,2026-04-23
2026-01-03 03:00:00+00:00,0.0,303.3,103.575,0.0,-303.3,103.575,-199.72500000000002,None,LV,2026-04-23
2026-01-03 04:00:00+00:00,0.0,289.15,9.4,46.575,-289.15,-37.175000000000004,-326.325,None,LV,2026-04-23
2026-01-03 05:00:00+00:00,0.0,258.775,15.85,18.675,-258.775,-2.825000000000001,-261.59999999999997,None,LV,2026-04-23
2026-01-03 06:00:00+00:00,0.0,197.175,0.0,115.95,-197.175,-115.95,-313.125,None,LV,2026-04-23
2026-01-03 07:00:00+00:00,0.0,135.7,0.0,208.8,-135.7,-208.8,-344.5,None,LV,2026-04-23
2026-01-03 08:00:00+00:00,0.0,124.075,0.0,33.95,-124.075,-33.95,-158.025,None,LV,2026-04-23
2026-01-03 09:00:00+00:00,0.0,87.225,3.25,0.1,-87.225,3.15,-84.07499999999999,None,LV,2026-04-23
2026-01-03 10:00:00+00:00,0.0,80.325,2.675,2.8,-80.325,-0.125,-80.45,None,LV,2026-04-23
2026-01-03 11:00:00+00:00,0.0,76.75,0.0,11.05,-76.75,-11.05,-87.8,None,LV,2026-04-23
2026-01-03 12:00:00+00:00,0.0,74.0,0.0,128.725,-74.0,-128.725,-202.725,None,LV,2026-04-23
2026-01-03 13:00:00+00:00,0.0,54.849999999999994,0.0,128.77499999999998,-54.849999999999994,-128.77499999999998,-183.62499999999997,None,LV,2026-04-23
2026-01-03 14:00:00+00:00,8.025,23.375,0.0,120.67500000000001,-15.35,-120.67500000000001,-136.025,None,LV,2026-04-23
2026-01-03 15:00:00+00:00,2.925,0.0,0.0,133.3,2.925,-133.3,-130.375,None,LV,2026-04-23
2026-01-03 16:00:00+00:00,0.0,7.175,0.0,121.4,-7.175,-121.4,-128.57500000000002,None,LV,2026-04-23
2026-01-03 17:00:00+00:00,0.0,28.8,0.0,422.525,-28.8,-422.525,-451.325,None,LV,2026-04-23
2026-01-03 18:00:00+00:00,0.0,60.55,0.0,460.2,-60.55,-460.2,-520.75,None,LV,2026-04-23
2026-01-03 19:00:00+00:00,0.0,70.525,0.0,427.5,-70.525,-427.5,-498.025,None,LV,2026-04-23
2026-01-03 20:00:00+00:00,0.0,154.95,0.0,293.675,-154.95,-293.675,-448.625,None,LV,2026-04-23
2026-01-03 21:00:00+00:00,0.0,176.95,0.0,318.775,-176.95,-318.775,-495.72499999999997,None,LV,2026-04-23
2026-01-03 22:00:00+00:00,0.0,191.975,0.0,256.25,-191.975,-256.25,-448.225,None,LV,2026-04-23
2026-01-03 23:00:00+00:00,0.0,45.775000000000006,0.0,246.54999999999998,-45.775000000000006,-246.54999999999998,-292.325,None,LV,2026-04-23
2026-01-04 00:00:00+00:00,0.0,199.4,0.0,79.95,-199.4,-79.95,-279.35,None,LV,2026-04-23
2026-01-04 01:00:00+00:00,0.0,228.5,0.0,44.575,-228.5,-44.575,-273.075,None,LV,2026-04-23
