,RO_BG,BG_RO,RO_HU,HU_RO,RO_RS,RS_RO,RO_BG_net_export,RO_HU_net_export,RO_RS_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,1322.175,382.475,0.0,1836.75,259.0,0.0,939.6999999999999,-1836.75,259.0,-638.0500000000001,None,RO,2026-04-23
2026-01-01 01:00:00+00:00,1647.15,403.32500000000005,0.0,1988.425,156.0,0.0,1243.825,-1988.425,156.0,-588.5999999999999,None,RO,2026-04-23
2026-01-01 02:00:00+00:00,1801.425,385.425,0.0,1906.3,110.0,111.0,1416.0,-1906.3,-1.0,-491.29999999999995,None,RO,2026-04-23
2026-01-01 03:00:00+00:00,1950.8,381.575,0.0,1988.05,112.0,126.0,1569.225,-1988.05,-14.0,-432.82500000000005,None,RO,2026-04-23
2026-01-01 04:00:00+00:00,1888.125,380.375,0.0,1862.625,70.0,152.0,1507.75,-1862.625,-82.0,-436.875,None,RO,2026-04-23
2026-01-01 05:00:00+00:00,2036.725,380.325,0.0,1782.25,130.0,244.0,1656.3999999999999,-1782.25,-114.0,-239.85000000000014,None,RO,2026-04-23
2026-01-01 06:00:00+00:00,1515.4,370.45,0.0,928.825,90.0,238.0,1144.95,-928.825,-148.0,68.125,None,RO,2026-04-23
2026-01-01 07:00:00+00:00,29.525,1046.825,1659.6750000000002,0.0,70.0,86.0,-1017.3000000000001,1659.6750000000002,-16.0,626.3750000000001,None,RO,2026-04-23
2026-01-01 08:00:00+00:00,0.0,1800.375,2784.1,0.0,105.0,21.0,-1800.375,2784.1,84.0,1067.725,None,RO,2026-04-23
2026-01-01 09:00:00+00:00,2.0,1781.0,3054.4,0.0,181.0,0.0,-1779.0,3054.4,181.0,1456.4,None,RO,2026-04-23
2026-01-01 10:00:00+00:00,0.175,785.47499975,2365.7,0.0,165.0,0.0,-785.2999997500001,2365.7,165.0,1745.4000002499997,None,RO,2026-04-23
2026-01-01 11:00:00+00:00,3.0,541.45,2161.225,0.0,150.0,0.0,-538.45,2161.225,150.0,1772.7749999999999,None,RO,2026-04-23
2026-01-01 12:00:00+00:00,366.2,405.025,1373.875,0.0,186.0,0.0,-38.82499999999999,1373.875,186.0,1521.05,None,RO,2026-04-23
2026-01-01 13:00:00+00:00,1305.025,355.1,283.45000000000005,323.3,45.0,0.0,949.9250000000001,-39.849999999999966,45.0,955.075,None,RO,2026-04-23
2026-01-01 14:00:00+00:00,2339.2,355.25,0.0,1619.25,45.0,0.0,1983.9499999999998,-1619.25,45.0,409.6999999999998,None,RO,2026-04-23
2026-01-01 15:00:00+00:00,1934.1999999999998,355.5,0.0,931.75,45.0,304.0,1578.6999999999998,-931.75,-259.0,387.9499999999998,None,RO,2026-04-23
2026-01-01 16:00:00+00:00,1737.97499975,355.15,0.0,855.075,51.0,315.0,1382.8249997500002,-855.075,-264.0,263.74999975000014,None,RO,2026-04-23
2026-01-01 17:00:00+00:00,1853.0,405.325,0.0,1015.45,95.0,314.0,1447.675,-1015.45,-219.0,213.2249999999999,None,RO,2026-04-23
2026-01-01 18:00:00+00:00,2215.9,405.3,0.0,1009.075,95.0,334.0,1810.6000000000001,-1009.075,-239.0,562.5250000000001,None,RO,2026-04-23
2026-01-01 19:00:00+00:00,2556.725,405.0,0.0,1135.625,101.0,339.0,2151.725,-1135.625,-238.0,778.0999999999999,None,RO,2026-04-23
2026-01-01 20:00:00+00:00,2606.45,405.0,0.0,1197.425,152.0,320.0,2201.45,-1197.425,-168.0,836.0249999999999,None,RO,2026-04-23
2026-01-01 21:00:00+00:00,2422.85,405.0,0.0,838.925,179.0,300.0,2017.85,-838.925,-121.0,1057.925,None,RO,2026-04-23
2026-01-01 22:00:00+00:00,2612.0,405.0,0.0,870.65,243.0,250.0,2207.0,-870.65,-7.0,1329.35,None,RO,2026-04-23
2026-01-01 23:00:00+00:00,2624.975,410.225,0.0,1334.775,235.0,0.0,2214.75,-1334.775,235.0,1114.975,None,RO,2026-04-23
2026-01-02 00:00:00+00:00,2681.0,410.0,0.0,1294.6,198.0,0.0,2271.0,-1294.6,198.0,1174.4,None,RO,2026-04-23
2026-01-02 01:00:00+00:00,2810.0,410.0,0.0,1431.5,134.0,0.0,2400.0,-1431.5,134.0,1102.5,None,RO,2026-04-23
2026-01-02 02:00:00+00:00,2769.0,410.0,0.0,1441.625,168.0,0.0,2359.0,-1441.625,168.0,1085.375,None,RO,2026-04-23
2026-01-02 03:00:00+00:00,2638.0,410.0,0.0,1379.975,133.0,0.0,2228.0,-1379.975,133.0,981.0250000000001,None,RO,2026-04-23
2026-01-02 04:00:00+00:00,2551.0,375.15,0.0,1343.225,128.0,0.0,2175.85,-1343.225,128.0,960.625,None,RO,2026-04-23
2026-01-02 05:00:00+00:00,2449.075,375.0,0.0,1303.525,105.0,16.0,2074.075,-1303.525,89.0,859.5499999999997,None,RO,2026-04-23
2026-01-02 06:00:00+00:00,2192.4,410.475,0.0,1337.475,130.0,0.0,1781.9250000000002,-1337.475,130.0,574.4500000000003,None,RO,2026-04-23
