,SE_3_DK_1,DK_1_SE_3,SE_3_FI,FI_SE_3,SE_3_NO_1,NO_1_SE_3,SE_3_SE_2,SE_2_SE_3,SE_3_SE_4,SE_4_SE_3,SE_3_DK_1_net_export,SE_3_FI_net_export,SE_3_NO_1_net_export,SE_3_SE_2_net_export,SE_3_SE_4_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,508.0,0.0,1200.0,0.0,0.0,1265.5,0.0,4118.0,2840.5,0.0,508.0,1200.0,-1265.5,-4118.0,2840.5,-835.0,None,SE_3,2026-04-23
2026-01-01 01:00:00+00:00,16.5,0.0,1200.0,0.0,1229.25,0.0,0.0,5594.75,2467.25,0.0,16.5,1200.0,1229.25,-5594.75,2467.25,-681.75,None,SE_3,2026-04-23
2026-01-01 02:00:00+00:00,235.5,0.0,1200.0,0.0,0.0,1810.75,0.0,1633.0,2639.75,0.0,235.5,1200.0,-1810.75,-1633.0,2639.75,631.5,None,SE_3,2026-04-23
2026-01-01 03:00:00+00:00,733.0,0.0,1200.0,0.0,874.5,0.0,0.0,3797.0,1719.75,0.0,733.0,1200.0,874.5,-3797.0,1719.75,730.25,None,SE_3,2026-04-23
2026-01-01 04:00:00+00:00,733.0,0.0,1200.0,0.0,872.0,1465.0,0.0,2341.75,1761.0,0.0,733.0,1200.0,-593.0,-2341.75,1761.0,759.25,None,SE_3,2026-04-23
2026-01-01 05:00:00+00:00,733.0,0.0,1200.0,0.0,543.75,736.0,0.0,2743.75,1621.0,0.0,733.0,1200.0,-192.25,-2743.75,1621.0,618.0,None,SE_3,2026-04-23
2026-01-01 06:00:00+00:00,733.0,0.0,1200.0,0.0,541.5,0.0,0.0,3640.0,1537.0,0.0,733.0,1200.0,541.5,-3640.0,1537.0,371.5,None,SE_3,2026-04-23
2026-01-01 07:00:00+00:00,733.0,0.0,1200.0,0.0,0.0,844.5,0.0,2506.75,1383.0,0.0,733.0,1200.0,-844.5,-2506.75,1383.0,-35.25,None,SE_3,2026-04-23
2026-01-01 08:00:00+00:00,733.0,0.0,1200.0,0.0,1819.75,890.0,0.0,4468.75,1093.75,0.0,733.0,1200.0,929.75,-4468.75,1093.75,-512.25,None,SE_3,2026-04-23
2026-01-01 09:00:00+00:00,733.0,0.0,1200.0,0.0,0.0,922.0,0.0,2776.0,736.75,0.0,733.0,1200.0,-922.0,-2776.0,736.75,-1028.25,None,SE_3,2026-04-23
2026-01-01 10:00:00+00:00,733.0,0.0,1200.0,0.0,683.5,981.75,0.0,3639.0,528.5,0.0,733.0,1200.0,-298.25,-3639.0,528.5,-1475.75,None,SE_3,2026-04-23
2026-01-01 11:00:00+00:00,733.0,0.0,1200.0,0.0,1312.25,0.0,0.0,5768.0,776.0,0.0,733.0,1200.0,1312.25,-5768.0,776.0,-1746.75,None,SE_3,2026-04-23
2026-01-01 12:00:00+00:00,733.0,0.0,1200.0,0.0,1347.75,0.0,0.0,6058.75,981.25,0.0,733.0,1200.0,1347.75,-6058.75,981.25,-1796.75,None,SE_3,2026-04-23
2026-01-01 13:00:00+00:00,611.0,0.0,1200.0,0.0,1335.5,0.0,0.0,6219.25,1151.5,0.0,611.0,1200.0,1335.5,-6219.25,1151.5,-1921.25,None,SE_3,2026-04-23
2026-01-01 14:00:00+00:00,70.75,0.0,1200.0,0.0,636.0,0.0,0.0,6108.5,1185.5,0.0,70.75,1200.0,636.0,-6108.5,1185.5,-3016.25,None,SE_3,2026-04-23
2026-01-01 15:00:00+00:00,0.0,81.75,1200.0,0.0,1270.75,1455.5,0.0,5606.0,1035.25,0.0,-81.75,1200.0,-184.75,-5606.0,1035.25,-3637.25,None,SE_3,2026-04-23
2026-01-01 16:00:00+00:00,20.75,8.25,1200.0,0.0,1878.75,0.0,0.0,7996.75,1272.75,0.0,12.5,1200.0,1878.75,-7996.75,1272.75,-3632.75,None,SE_3,2026-04-23
2026-01-01 17:00:00+00:00,111.5,0.0,1200.0,0.0,561.25,0.0,0.0,6915.75,1471.75,0.0,111.5,1200.0,561.25,-6915.75,1471.75,-3571.25,None,SE_3,2026-04-23
2026-01-01 18:00:00+00:00,277.5,0.0,1200.0,0.0,1158.5,0.0,0.0,7456.5,1347.25,0.0,277.5,1200.0,1158.5,-7456.5,1347.25,-3473.25,None,SE_3,2026-04-23
2026-01-01 19:00:00+00:00,509.25,0.0,1200.0,0.0,564.0,1527.0,0.0,5097.25,1148.5,0.0,509.25,1200.0,-963.0,-5097.25,1148.5,-3202.5,None,SE_3,2026-04-23
2026-01-01 20:00:00+00:00,705.75,0.0,1200.0,0.0,565.75,0.0,0.0,6370.0,1402.0,0.0,705.75,1200.0,565.75,-6370.0,1402.0,-2496.5,None,SE_3,2026-04-23
2026-01-01 21:00:00+00:00,730.5,0.0,1200.0,0.0,555.75,0.0,0.0,5943.25,1787.5,0.0,730.5,1200.0,555.75,-5943.25,1787.5,-1669.5,None,SE_3,2026-04-23
2026-01-01 22:00:00+00:00,733.0,0.0,1200.0,0.0,0.0,0.0,0.0,4739.5,1692.0,0.0,733.0,1200.0,0.0,-4739.5,1692.0,-1114.5,None,SE_3,2026-04-23
2026-01-01 23:00:00+00:00,668.25,0.0,1187.0,0.0,93.25,0.0,0.0,4115.5,403.0,4.25,668.25,1187.0,93.25,-4115.5,398.75,-1768.25,None,SE_3,2026-04-23
