,DK_2_DE_LU,DE_LU_DK_2,DK_2_DK_1,DK_1_DK_2,DK_2_SE_4,SE_4_DK_2,DK_2_DE_LU_net_export,DK_2_DK_1_net_export,DK_2_SE_4_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,589.775,0.0,600.0,0.0,0.0,1282.0,589.775,600.0,-1282.0,-92.22499999999991,None,DK_2,2026-04-23
2026-01-01 01:00:00+00:00,394.075,0.0,555.75,0.0,0.0,1150.0,394.075,555.75,-1150.0,-200.17499999999995,None,DK_2,2026-04-23
2026-01-01 02:00:00+00:00,50.15,299.54999999999995,297.25,2.75,0.0,500.5,-249.39999999999995,294.5,-500.5,-455.4,None,DK_2,2026-04-23
2026-01-01 03:00:00+00:00,0.0,719.175,0.0,386.25,325.0,0.0,-719.175,-386.25,325.0,-780.425,None,DK_2,2026-04-23
2026-01-01 04:00:00+00:00,0.0,748.25,0.0,345.5,202.75,0.0,-748.25,-345.5,202.75,-891.0,None,DK_2,2026-04-23
2026-01-01 05:00:00+00:00,0.0,740.25,0.0,291.25,142.25,0.0,-740.25,-291.25,142.25,-889.25,None,DK_2,2026-04-23
2026-01-01 06:00:00+00:00,0.0,739.75,0.0,164.0,0.0,57.25,-739.75,-164.0,-57.25,-961.0,None,DK_2,2026-04-23
2026-01-01 07:00:00+00:00,0.0,749.0,0.0,93.75,0.0,224.25,-749.0,-93.75,-224.25,-1067.0,None,DK_2,2026-04-23
2026-01-01 08:00:00+00:00,0.0,759.75,0.0,101.75,0.0,270.5,-759.75,-101.75,-270.5,-1132.0,None,DK_2,2026-04-23
2026-01-01 09:00:00+00:00,0.0,755.75,0.0,180.0,72.25,45.75,-755.75,-180.0,26.5,-909.25,None,DK_2,2026-04-23
2026-01-01 10:00:00+00:00,0.0,755.0,0.0,168.0,316.75,0.0,-755.0,-168.0,316.75,-606.25,None,DK_2,2026-04-23
2026-01-01 11:00:00+00:00,0.0,759.5,0.0,217.0,395.0,0.0,-759.5,-217.0,395.0,-581.5,None,DK_2,2026-04-23
2026-01-01 12:00:00+00:00,0.0,760.5,0.0,316.5,544.25,0.0,-760.5,-316.5,544.25,-532.75,None,DK_2,2026-04-23
2026-01-01 13:00:00+00:00,0.0,757.5,0.0,324.5,629.75,0.0,-757.5,-324.5,629.75,-452.25,None,DK_2,2026-04-23
2026-01-01 14:00:00+00:00,0.0,751.5,459.0,0.0,26.75,140.0,-751.5,459.0,-113.25,-405.75,None,DK_2,2026-04-23
2026-01-01 15:00:00+00:00,0.0,753.0,510.0,0.0,0.0,135.75,-753.0,510.0,-135.75,-378.75,None,DK_2,2026-04-23
2026-01-01 16:00:00+00:00,0.0,757.5,600.0,0.0,0.0,239.5,-757.5,600.0,-239.5,-397.0,None,DK_2,2026-04-23
2026-01-01 17:00:00+00:00,0.0,727.725,600.0,0.0,0.0,295.25,-727.725,600.0,-295.25,-422.975,None,DK_2,2026-04-23
