,MK_BG,BG_MK,MK_GR,GR_MK,MK_RS,RS_MK,MK_BG_net_export,MK_GR_net_export,MK_RS_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,50.0,0.0,464.0,61.0,214.0,-50.0,-464.0,-153.0,-667.0,None,MK,2026-04-23
2026-01-01 01:00:00+00:00,0.0,49.0,0.0,457.0,61.0,213.0,-49.0,-457.0,-152.0,-658.0,None,MK,2026-04-23
2026-01-01 02:00:00+00:00,0.0,49.0,0.0,463.0,54.0,203.0,-49.0,-463.0,-149.0,-661.0,None,MK,2026-04-23
2026-01-01 03:00:00+00:00,0.0,49.0,0.0,429.0,59.0,202.0,-49.0,-429.0,-143.0,-621.0,None,MK,2026-04-23
2026-01-01 04:00:00+00:00,0.0,49.0,0.0,393.0,72.0,202.0,-49.0,-393.0,-130.0,-572.0,None,MK,2026-04-23
2026-01-01 05:00:00+00:00,0.0,29.0,0.0,352.0,44.0,213.0,-29.0,-352.0,-169.0,-550.0,None,MK,2026-04-23
2026-01-01 06:00:00+00:00,0.0,24.0,0.0,321.0,61.0,185.0,-24.0,-321.0,-124.0,-469.0,None,MK,2026-04-23
2026-01-01 07:00:00+00:00,0.0,2.0,0.0,326.0,85.0,127.0,-2.0,-326.0,-42.0,-370.0,None,MK,2026-04-23
2026-01-01 08:00:00+00:00,0.0,0.0,5.0,316.0,117.0,123.0,0.0,-311.0,-6.0,-317.0,None,MK,2026-04-23
2026-01-01 09:00:00+00:00,0.0,0.0,5.0,324.0,117.0,123.0,0.0,-319.0,-6.0,-325.0,None,MK,2026-04-23
2026-01-01 10:00:00+00:00,0.0,0.0,5.0,301.0,117.0,123.0,0.0,-296.0,-6.0,-302.0,None,MK,2026-04-23
2026-01-01 11:00:00+00:00,0.0,0.0,5.0,313.0,117.0,128.0,0.0,-308.0,-11.0,-319.0,None,MK,2026-04-23
2026-01-01 12:00:00+00:00,0.0,0.0,5.0,382.0,109.0,123.0,0.0,-377.0,-14.0,-391.0,None,MK,2026-04-23
2026-01-01 13:00:00+00:00,0.0,2.0,0.0,445.0,93.0,134.0,-2.0,-445.0,-41.0,-488.0,None,MK,2026-04-23
