,FR_BE,BE_FR,FR_CH,CH_FR,FR_DE_LU,DE_LU_FR,FR_ES,ES_FR,FR_GB,GB_FR,FR_IT_NORD,IT_NORD_FR,FR_BE_net_export,FR_CH_net_export,FR_DE_LU_net_export,FR_ES_net_export,FR_GB_net_export,FR_IT_NORD_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,706.7750000000001,956.9499999999999,3200.0,0.0,0.0,5743.1,1900.0,0.0,236.0,2223.0,2829.0,0.0,-250.17499999999984,3200.0,-5743.1,1900.0,-1987.0,2829.0,-51.27500000000009,None,FR,2026-04-23
2026-01-01 01:00:00+00:00,530.6,1539.125,3200.0,0.0,0.0,3744.6499999999996,1900.0,0.0,236.0,2915.0,2829.0,0.0,-1008.525,3200.0,-3744.6499999999996,1900.0,-2679.0,2829.0,496.8250000000003,None,FR,2026-04-23
2026-01-01 02:00:00+00:00,452.65,1495.0,3200.0,0.0,0.0,1852.95,1900.0,0.0,236.0,2309.0,2829.0,0.0,-1042.35,3200.0,-1852.95,1900.0,-2073.0,2829.0,2960.7,None,FR,2026-04-23
2026-01-01 03:00:00+00:00,247.375,1238.275,3200.0,0.0,0.0,1884.25,1900.0,0.0,236.0,2680.0,2829.0,0.0,-990.9000000000001,3200.0,-1884.25,1900.0,-2444.0,2829.0,2609.85,None,FR,2026-04-23
2026-01-01 04:00:00+00:00,47.025,2191.875,3200.0,0.0,0.0,1641.225,1900.0,0.0,236.0,3214.0,2829.0,0.0,-2144.85,3200.0,-1641.225,1900.0,-2978.0,2829.0,1164.9250000000002,None,FR,2026-04-23
2026-01-01 05:00:00+00:00,0.0,1109.05,3200.0,0.0,0.0,5772.25,1900.0,0.0,307.0,3417.0,2829.0,0.0,-1109.05,3200.0,-5772.25,1900.0,-3110.0,2829.0,-2062.3,None,FR,2026-04-23
2026-01-01 06:00:00+00:00,0.0,882.1,3200.0,0.0,0.0,3875.625,1900.0,0.0,307.0,2793.0,2829.0,0.0,-882.1,3200.0,-3875.625,1900.0,-2486.0,2829.0,685.2750000000001,None,FR,2026-04-23
2026-01-01 07:00:00+00:00,532.325,117.7,3200.0,0.0,0.0,6650.775000000001,1900.0,0.0,350.0,1968.0,2829.0,0.0,414.62500000000006,3200.0,-6650.775000000001,1900.0,-1618.0,2829.0,74.84999999999945,None,FR,2026-04-23
2026-01-01 08:00:00+00:00,715.925,78.25,3200.0,0.0,0.0,6316.924999999999,1900.0,0.0,583.0,801.0,2831.5,0.0,637.675,3200.0,-6316.924999999999,1900.0,-218.0,2831.5,2034.250000000001,None,FR,2026-04-23
2026-01-01 09:00:00+00:00,1228.5,289.325,3200.0,0.0,0.0,4302.725,1900.0,0.0,1272.0,141.0,2174.25,0.0,939.175,3200.0,-4302.725,1900.0,1131.0,2174.25,5041.7,None,FR,2026-04-23
2026-01-01 10:00:00+00:00,892.8000000000001,61.475,3200.0,0.0,0.0,5887.825,1900.0,0.0,1943.0,0.0,2763.5,0.0,831.325,3200.0,-5887.825,1900.0,1943.0,2763.5,4750.0,None,FR,2026-04-23
2026-01-01 11:00:00+00:00,1395.675,311.0,3200.0,0.0,0.0,1592.375,1900.0,0.0,1800.0,0.0,2280.75,0.0,1084.675,3200.0,-1592.375,1900.0,1800.0,2280.75,8673.05,None,FR,2026-04-23
2026-01-01 12:00:00+00:00,1849.6,430.5,3200.0,0.0,0.0,3948.025,1900.0,0.0,2821.0,0.0,2835.75,0.0,1419.1,3200.0,-3948.025,1900.0,2821.0,2835.75,8227.825,None,FR,2026-04-23
2026-01-01 13:00:00+00:00,2403.475,480.85,3200.0,0.0,0.0,2201.05,1900.0,0.0,3140.0,0.0,2996.0,0.0,1922.625,3200.0,-2201.05,1900.0,3140.0,2996.0,10957.575,None,FR,2026-04-23
2026-01-01 14:00:00+00:00,2137.425,1080.875,3200.0,0.0,0.0,3384.2,1900.0,0.0,3048.0,0.0,3051.0,0.0,1056.5500000000002,3200.0,-3384.2,1900.0,3048.0,3051.0,8871.35,None,FR,2026-04-23
2026-01-01 15:00:00+00:00,2424.3500000000004,1732.05,3200.0,0.0,0.0,2004.125,1843.15,0.0,3527.0,0.0,3051.0,0.0,692.3000000000004,3200.0,-2004.125,1843.15,3527.0,3051.0,10309.325,None,FR,2026-04-23
2026-01-01 16:00:00+00:00,1788.525,3156.575,3200.0,0.0,0.0,0.0,1900.0,0.0,3528.0,0.0,3051.0,0.0,-1368.0499999999997,3200.0,0.0,1900.0,3528.0,3051.0,10310.95,None,FR,2026-04-23
2026-01-01 17:00:00+00:00,1868.15,826.175,3200.0,0.0,0.0,6039.25,1900.0,0.0,3528.0,0.0,3076.75,0.0,1041.9750000000001,3200.0,-6039.25,1900.0,3528.0,3076.75,6707.475,None,FR,2026-04-23
2026-01-01 18:00:00+00:00,1390.925,853.3,3200.0,0.0,0.0,6026.475,1900.0,0.0,3528.0,0.0,3107.0,0.0,537.625,3200.0,-6026.475,1900.0,3528.0,3107.0,6246.15,None,FR,2026-04-23
