,SE_4_DE_LU,DE_LU_SE_4,SE_4_DK_2,DK_2_SE_4,SE_4_LT,LT_SE_4,SE_4_PL,PL_SE_4,SE_4_SE_3,SE_3_SE_4,SE_4_DE_LU_net_export,SE_4_DK_2_net_export,SE_4_LT_net_export,SE_4_PL_net_export,SE_4_SE_3_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,154.25,0.0,1282.0,0.0,700.0,0.0,600.0,0.0,0.0,2840.5,154.25,1282.0,700.0,600.0,-2840.5,-104.25,None,SE_4,2026-04-23
2026-01-01 01:00:00+00:00,151.25,0.0,1150.0,0.0,700.0,0.0,600.0,0.0,0.0,2467.25,151.25,1150.0,700.0,600.0,-2467.25,134.0,None,SE_4,2026-04-23
2026-01-01 02:00:00+00:00,0.0,52.25,500.5,0.0,700.0,0.0,600.0,0.0,0.0,2639.75,-52.25,500.5,700.0,600.0,-2639.75,-891.5,None,SE_4,2026-04-23
2026-01-01 03:00:00+00:00,0.0,104.5,0.0,325.0,700.0,0.0,600.0,0.0,0.0,1719.75,-104.5,-325.0,700.0,600.0,-1719.75,-849.25,None,SE_4,2026-04-23
2026-01-01 04:00:00+00:00,0.0,209.0,0.0,202.75,700.0,0.0,600.0,0.0,0.0,1761.0,-209.0,-202.75,700.0,600.0,-1761.0,-872.75,None,SE_4,2026-04-23
2026-01-01 05:00:00+00:00,0.0,209.0,0.0,142.25,700.0,0.0,420.0,0.0,0.0,1621.0,-209.0,-142.25,700.0,420.0,-1621.0,-852.25,None,SE_4,2026-04-23
2026-01-01 06:00:00+00:00,0.0,209.0,57.25,0.0,700.0,0.0,120.0,0.0,0.0,1537.0,-209.0,57.25,700.0,120.0,-1537.0,-868.75,None,SE_4,2026-04-23
2026-01-01 07:00:00+00:00,0.0,209.0,224.25,0.0,700.0,0.0,0.0,180.0,0.0,1383.0,-209.0,224.25,700.0,-180.0,-1383.0,-847.75,None,SE_4,2026-04-23
2026-01-01 08:00:00+00:00,0.0,209.0,270.5,0.0,700.0,0.0,0.0,480.0,0.0,1093.75,-209.0,270.5,700.0,-480.0,-1093.75,-812.25,None,SE_4,2026-04-23
2026-01-01 09:00:00+00:00,0.0,209.0,45.75,72.25,700.0,0.0,0.0,600.0,0.0,736.75,-209.0,-26.5,700.0,-600.0,-736.75,-872.25,None,SE_4,2026-04-23
2026-01-01 10:00:00+00:00,0.0,209.0,0.0,316.75,700.0,0.0,0.0,600.0,0.0,528.5,-209.0,-316.75,700.0,-600.0,-528.5,-954.25,None,SE_4,2026-04-23
2026-01-01 11:00:00+00:00,0.0,209.0,0.0,395.0,700.0,0.0,0.0,338.3,0.0,776.0,-209.0,-395.0,700.0,-338.3,-776.0,-1018.3,None,SE_4,2026-04-23
2026-01-01 12:00:00+00:00,0.0,209.0,0.0,544.25,700.0,0.0,0.0,38.3,0.0,981.25,-209.0,-544.25,700.0,-38.3,-981.25,-1072.8,None,SE_4,2026-04-23
2026-01-01 13:00:00+00:00,0.0,209.0,0.0,629.75,700.0,0.0,100.0,0.0,0.0,1151.5,-209.0,-629.75,700.0,100.0,-1151.5,-1190.25,None,SE_4,2026-04-23
2026-01-01 14:00:00+00:00,0.0,209.0,140.0,26.75,700.0,0.0,100.0,0.0,0.0,1185.5,-209.0,113.25,700.0,100.0,-1185.5,-481.25,None,SE_4,2026-04-23
2026-01-01 15:00:00+00:00,0.0,209.0,135.75,0.0,700.0,0.0,100.0,0.0,0.0,1035.25,-209.0,135.75,700.0,100.0,-1035.25,-308.5,None,SE_4,2026-04-23
2026-01-01 16:00:00+00:00,0.0,156.75,239.5,0.0,699.425,0.0,100.0,0.0,0.0,1272.75,-156.75,239.5,699.425,100.0,-1272.75,-390.57500000000005,None,SE_4,2026-04-23
2026-01-01 17:00:00+00:00,0.0,63.0,295.25,0.0,700.0,0.0,100.0,0.0,0.0,1471.75,-63.0,295.25,700.0,100.0,-1471.75,-439.5,None,SE_4,2026-04-23
2026-01-01 18:00:00+00:00,0.0,156.75,250.25,0.0,700.0,0.0,100.0,0.0,0.0,1347.25,-156.75,250.25,700.0,100.0,-1347.25,-453.75,None,SE_4,2026-04-23
2026-01-01 19:00:00+00:00,0.0,209.0,147.5,0.0,626.55,0.0,100.0,0.0,0.0,1148.5,-209.0,147.5,626.55,100.0,-1148.5,-483.45000000000005,None,SE_4,2026-04-23
2026-01-01 20:00:00+00:00,0.0,209.0,132.75,0.0,700.0,0.0,0.0,0.0,0.0,1402.0,-209.0,132.75,700.0,0.0,-1402.0,-778.25,None,SE_4,2026-04-23
2026-01-01 21:00:00+00:00,0.0,200.5,206.0,0.0,700.0,0.0,0.0,300.0,0.0,1787.5,-200.5,206.0,700.0,-300.0,-1787.5,-1382.0,None,SE_4,2026-04-23
2026-01-01 22:00:00+00:00,0.0,209.0,223.5,0.0,700.0,0.0,0.0,600.0,0.0,1692.0,-209.0,223.5,700.0,-600.0,-1692.0,-1577.5,None,SE_4,2026-04-23
2026-01-01 23:00:00+00:00,0.0,209.0,17.25,0.0,479.875,0.0,0.0,600.0,4.25,403.0,-209.0,17.25,479.875,-600.0,-398.75,-710.625,None,SE_4,2026-04-23
2026-01-02 00:00:00+00:00,0.0,209.0,0.0,55.5,575.925,0.0,0.0,600.0,0.0,1357.75,-209.0,-55.5,575.925,-600.0,-1357.75,-1646.325,None,SE_4,2026-04-23
2026-01-02 01:00:00+00:00,0.0,209.0,0.0,50.0,580.725,0.0,0.0,600.0,0.0,1473.5,-209.0,-50.0,580.725,-600.0,-1473.5,-1751.775,None,SE_4,2026-04-23
2026-01-02 02:00:00+00:00,0.0,209.0,0.0,34.25,684.4,0.0,0.0,600.0,0.0,1702.0,-209.0,-34.25,684.4,-600.0,-1702.0,-1860.85,None,SE_4,2026-04-23
2026-01-02 03:00:00+00:00,0.0,209.0,0.0,26.75,700.0,0.0,0.0,600.0,0.0,1871.25,-209.0,-26.75,700.0,-600.0,-1871.25,-2007.0,None,SE_4,2026-04-23
2026-01-02 04:00:00+00:00,0.0,156.75,13.75,80.25,370.5,14.75,0.0,300.0,0.0,1641.0,-156.75,-66.5,355.75,-300.0,-1641.0,-1808.5,None,SE_4,2026-04-23
2026-01-02 05:00:00+00:00,54.0,124.5,393.5,15.75,144.8,7.875,0.0,0.0,0.0,1768.25,-70.5,377.75,136.925,0.0,-1768.25,-1324.075,None,SE_4,2026-04-23
2026-01-02 06:00:00+00:00,162.0,0.0,1141.25,0.0,317.125,0.0,200.0,0.0,0.0,3103.25,162.0,1141.25,317.125,200.0,-3103.25,-1282.875,None,SE_4,2026-04-23
2026-01-02 07:00:00+00:00,216.0,0.0,1152.0,0.0,445.32500000000005,0.0,300.0,0.0,0.0,3499.25,216.0,1152.0,445.32500000000005,300.0,-3499.25,-1385.9250000000002,None,SE_4,2026-04-23
2026-01-02 08:00:00+00:00,216.0,0.0,1152.0,0.0,333.475,0.0,300.0,0.0,0.0,3411.5,216.0,1152.0,333.475,300.0,-3411.5,-1410.025,None,SE_4,2026-04-23
2026-01-02 09:00:00+00:00,0.0,0.0,1021.0,0.0,602.05,0.0,300.0,0.0,0.0,3310.75,0.0,1021.0,602.05,300.0,-3310.75,-1387.7,None,SE_4,2026-04-23
2026-01-02 10:00:00+00:00,0.0,0.0,1107.25,0.0,650.95,0.0,300.0,0.0,0.0,3389.25,0.0,1107.25,650.95,300.0,-3389.25,-1331.0500000000002,None,SE_4,2026-04-23
2026-01-02 11:00:00+00:00,27.0,0.0,1152.0,0.0,698.3,0.0,300.0,0.0,0.0,3485.0,27.0,1152.0,698.3,300.0,-3485.0,-1307.6999999999998,None,SE_4,2026-04-23
2026-01-02 12:00:00+00:00,214.5,0.0,1152.0,0.0,409.15,0.0,300.0,0.0,0.0,3376.25,214.5,1152.0,409.15,300.0,-3376.25,-1300.6,None,SE_4,2026-04-23
2026-01-02 13:00:00+00:00,211.5,0.0,1152.0,0.0,495.6,0.0,300.0,0.0,0.0,3488.75,211.5,1152.0,495.6,300.0,-3488.75,-1329.65,None,SE_4,2026-04-23
2026-01-02 14:00:00+00:00,63.75,0.0,1279.0,0.0,658.25,0.0,300.0,0.0,0.0,4263.75,63.75,1279.0,658.25,300.0,-4263.75,-1962.75,None,SE_4,2026-04-23
2026-01-02 15:00:00+00:00,0.0,0.0,1230.5,0.0,514.8,0.0,300.0,0.0,0.0,4328.0,0.0,1230.5,514.8,300.0,-4328.0,-2282.7,None,SE_4,2026-04-23
2026-01-02 16:00:00+00:00,183.5,0.0,1282.0,0.0,257.35,0.0,300.0,0.0,0.0,3975.75,183.5,1282.0,257.35,300.0,-3975.75,-1952.9,None,SE_4,2026-04-23
2026-01-02 17:00:00+00:00,0.0,0.0,1247.0,0.0,211.225,0.0,420.0,0.0,0.0,4325.25,0.0,1247.0,211.225,420.0,-4325.25,-2447.025,None,SE_4,2026-04-23
2026-01-02 18:00:00+00:00,0.0,0.0,1177.25,0.0,523.55,0.0,420.0,0.0,0.0,4457.75,0.0,1177.25,523.55,420.0,-4457.75,-2336.95,None,SE_4,2026-04-23
2026-01-02 19:00:00+00:00,108.0,0.0,1253.25,0.0,393.1,0.0,420.0,0.0,0.0,4358.75,108.0,1253.25,393.1,420.0,-4358.75,-2184.4,None,SE_4,2026-04-23
2026-01-02 20:00:00+00:00,216.0,0.0,1246.5,0.0,216.2,0.0,500.0,0.0,0.0,3656.5,216.0,1246.5,216.2,500.0,-3656.5,-1477.8000000000002,None,SE_4,2026-04-23
2026-01-02 21:00:00+00:00,216.0,0.0,1148.5,0.0,173.4,0.0,500.0,0.0,0.0,2832.75,216.0,1148.5,173.4,500.0,-2832.75,-794.8499999999999,None,SE_4,2026-04-23
2026-01-02 22:00:00+00:00,216.0,0.0,1152.0,0.0,164.65,0.0,500.0,0.0,0.0,2720.0,216.0,1152.0,164.65,500.0,-2720.0,-687.3499999999999,None,SE_4,2026-04-23
2026-01-02 23:00:00+00:00,216.0,0.0,1275.25,0.0,518.5999999999999,0.0,500.0,0.0,0.0,2851.0,216.0,1275.25,518.5999999999999,500.0,-2851.0,-341.1500000000001,None,SE_4,2026-04-23
2026-01-03 00:00:00+00:00,216.0,0.0,1150.5,0.0,573.1,0.0,500.0,0.0,0.0,2738.0,216.0,1150.5,573.1,500.0,-2738.0,-298.4000000000001,None,SE_4,2026-04-23
2026-01-03 01:00:00+00:00,216.0,0.0,1148.0,0.0,588.5,0.0,420.0,0.0,0.0,2608.75,216.0,1148.0,588.5,420.0,-2608.75,-236.25,None,SE_4,2026-04-23
2026-01-03 02:00:00+00:00,216.0,0.0,1151.75,0.0,606.625,0.0,420.0,0.0,0.0,2627.75,216.0,1151.75,606.625,420.0,-2627.75,-233.375,None,SE_4,2026-04-23
2026-01-03 03:00:00+00:00,216.0,0.0,1152.0,0.0,700.0,0.0,420.0,0.0,0.0,2702.25,216.0,1152.0,700.0,420.0,-2702.25,-214.25,None,SE_4,2026-04-23
2026-01-03 04:00:00+00:00,216.0,0.0,1221.5,0.0,700.0,0.0,420.0,0.0,0.0,2791.5,216.0,1221.5,700.0,420.0,-2791.5,-234.0,None,SE_4,2026-04-23
2026-01-03 05:00:00+00:00,216.0,0.0,1232.0,0.0,700.0,0.0,420.0,0.0,0.0,2881.0,216.0,1232.0,700.0,420.0,-2881.0,-313.0,None,SE_4,2026-04-23
2026-01-03 06:00:00+00:00,216.0,0.0,1248.75,0.0,700.0,0.0,420.0,0.0,0.0,3009.5,216.0,1248.75,700.0,420.0,-3009.5,-424.75,None,SE_4,2026-04-23
2026-01-03 07:00:00+00:00,216.0,0.0,1263.25,0.0,700.0,0.0,420.0,0.0,0.0,3129.5,216.0,1263.25,700.0,420.0,-3129.5,-530.25,None,SE_4,2026-04-23
2026-01-03 08:00:00+00:00,216.0,0.0,1241.0,0.0,700.0,0.0,420.0,0.0,0.0,3559.25,216.0,1241.0,700.0,420.0,-3559.25,-982.25,None,SE_4,2026-04-23
2026-01-03 09:00:00+00:00,214.75,0.0,1252.0,0.0,700.0,0.0,420.0,0.0,0.0,4250.75,214.75,1252.0,700.0,420.0,-4250.75,-1664.0,None,SE_4,2026-04-23
2026-01-03 10:00:00+00:00,216.0,0.0,1282.0,0.0,700.0,0.0,420.0,0.0,0.0,3368.75,216.0,1282.0,700.0,420.0,-3368.75,-750.75,None,SE_4,2026-04-23
2026-01-03 11:00:00+00:00,216.0,0.0,1282.0,0.0,700.0,0.0,420.0,0.0,0.0,3719.75,216.0,1282.0,700.0,420.0,-3719.75,-1101.75,None,SE_4,2026-04-23
