,DE_LU_AT,AT_DE_LU,DE_LU_BE,BE_DE_LU,DE_LU_CH,CH_DE_LU,DE_LU_CZ,CZ_DE_LU,DE_LU_DK_1,DK_1_DE_LU,DE_LU_DK_2,DK_2_DE_LU,DE_LU_FR,FR_DE_LU,DE_LU_NO_2,NO_2_DE_LU,DE_LU_NL,NL_DE_LU,DE_LU_PL,PL_DE_LU,DE_LU_SE_4,SE_4_DE_LU,DE_LU_AT_net_export,DE_LU_BE_net_export,DE_LU_CH_net_export,DE_LU_CZ_net_export,DE_LU_DK_1_net_export,DE_LU_DK_2_net_export,DE_LU_FR_net_export,DE_LU_NO_2_net_export,DE_LU_NL_net_export,DE_LU_PL_net_export,DE_LU_SE_4_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,2923.875,0.0,299.975,0.0,800.0,0.0,2919.475,0.0,93.5,356.0,0.0,589.775,5743.1,0.0,1349.5,0.0,1576.325,232.25,0.0,0.0,0.0,154.25,2923.875,299.975,800.0,2919.475,-262.5,-589.775,5743.1,1349.5,1344.075,0.0,-154.25,14373.475000000002,None,DE_LU,2026-04-23
2026-01-01 01:00:00+00:00,4886.2,0.0,0.0,130.05,800.0,0.0,1483.475,492.55,1119.75,0.0,0.0,394.075,3744.6499999999996,0.0,1289.5,0.0,3737.8,0.0,0.0,0.0,0.0,151.25,4886.2,-130.05,800.0,990.925,1119.75,-394.075,3744.6499999999996,1289.5,3737.8,0.0,-151.25,15893.45,None,DE_LU,2026-04-23
2026-01-01 02:00:00+00:00,1463.775,0.0,0.0,167.475,800.0,0.0,4441.775,0.0,1939.25,0.0,299.54999999999995,50.15,1852.95,0.0,1115.0,0.0,5547.425,0.0,0.0,0.0,52.25,0.0,1463.775,-167.475,800.0,4441.775,1939.25,249.39999999999995,1852.95,1115.0,5547.425,0.0,52.25,17294.350000000002,None,DE_LU,2026-04-23
2026-01-01 03:00:00+00:00,2869.075,0.0,427.1,48.375,800.0,0.0,3152.3500000000004,0.0,2380.0,0.0,719.175,0.0,1884.25,0.0,1045.5,0.0,4999.025,0.0,0.0,235.175,104.5,0.0,2869.075,378.725,800.0,3152.3500000000004,2380.0,719.175,1884.25,1045.5,4999.025,-235.175,104.5,18097.425,None,DE_LU,2026-04-23
2026-01-01 04:00:00+00:00,1734.575,0.0,1000.0,0.0,800.0,0.0,4703.925,0.0,2470.0,0.0,748.25,0.0,1641.225,0.0,1181.25,0.0,4913.075,0.0,0.0,1026.75,209.0,0.0,1734.575,1000.0,800.0,4703.925,2470.0,748.25,1641.225,1181.25,4913.075,-1026.75,209.0,18374.55,None,DE_LU,2026-04-23
2026-01-01 05:00:00+00:00,1291.675,0.0,1000.0,0.0,800.0,0.0,3928.875,0.0,2500.0,0.0,740.25,0.0,5772.25,0.0,1399.0,0.0,1924.625,0.0,0.0,0.0,209.0,0.0,1291.675,1000.0,800.0,3928.875,2500.0,740.25,5772.25,1399.0,1924.625,0.0,209.0,19565.675,None,DE_LU,2026-04-23
2026-01-01 06:00:00+00:00,1268.225,0.0,920.825,0.0,800.0,0.0,3755.55,0.0,2500.0,0.0,739.75,0.0,3875.625,0.0,1399.0,0.0,3992.9,0.0,0.0,0.0,209.0,0.0,1268.225,920.825,800.0,3755.55,2500.0,739.75,3875.625,1399.0,3992.9,0.0,209.0,19460.875,None,DE_LU,2026-04-23
2026-01-01 07:00:00+00:00,2358.125,0.0,250.0,73.7,800.0,0.0,2325.5,0.0,2500.0,0.0,749.0,0.0,6650.775000000001,0.0,1399.0,0.0,1959.2,0.0,0.0,0.0,209.0,0.0,2358.125,176.3,800.0,2325.5,2500.0,749.0,6650.775000000001,1399.0,1959.2,0.0,209.0,19126.9,None,DE_LU,2026-04-23
2026-01-01 08:00:00+00:00,2339.325,0.0,6.7,122.42500000000001,800.0,0.0,2779.9,0.0,2500.0,0.0,759.75,0.0,6316.924999999999,0.0,1131.25,0.0,2155.225,0.0,0.0,425.975,209.0,0.0,2339.325,-115.72500000000001,800.0,2779.9,2500.0,759.75,6316.924999999999,1131.25,2155.225,-425.975,209.0,18449.675,None,DE_LU,2026-04-23
2026-01-01 09:00:00+00:00,1181.9,0.0,48.8,277.575,800.0,0.0,3309.8999999999996,0.0,2500.0,0.0,755.75,0.0,4302.725,0.0,982.0,0.0,4142.875,0.0,1207.275,893.425,209.0,0.0,1181.9,-228.77499999999998,800.0,3309.8999999999996,2500.0,755.75,4302.725,982.0,4142.875,313.85000000000014,209.0,18269.225,None,DE_LU,2026-04-23
2026-01-01 10:00:00+00:00,0.0,0.0,596.1,27.5,800.0,0.0,4537.275,0.0,2500.0,0.0,755.0,0.0,5887.825,0.0,816.5,0.0,1967.7,0.0,0.0,0.0,209.0,0.0,0.0,568.6,800.0,4537.275,2500.0,755.0,5887.825,816.5,1967.7,0.0,209.0,18041.9,None,DE_LU,2026-04-23
2026-01-01 11:00:00+00:00,2396.35,0.0,1000.0,0.0,800.0,0.0,2362.425,21.5,2500.0,0.0,759.5,0.0,1592.375,0.0,1035.0,0.0,4813.3,0.0,0.0,0.0,209.0,0.0,2396.35,1000.0,800.0,2340.925,2500.0,759.5,1592.375,1035.0,4813.3,0.0,209.0,17446.45,None,DE_LU,2026-04-23
2026-01-01 12:00:00+00:00,2268.725,0.0,763.975,0.0,800.0,0.0,2192.75,0.0,2500.0,0.0,760.5,0.0,3948.025,0.0,993.5,0.0,3723.45,289.375,0.0,0.0,209.0,0.0,2268.725,763.975,800.0,2192.75,2500.0,760.5,3948.025,993.5,3434.075,0.0,209.0,17870.55,None,DE_LU,2026-04-23
2026-01-01 13:00:00+00:00,4637.95,0.0,52.025,100.9,800.0,0.0,285.45,0.0,2500.0,0.0,757.5,0.0,2201.05,0.0,1301.75,0.0,6085.525,157.55,0.0,0.0,209.0,0.0,4637.95,-48.87500000000001,800.0,285.45,2500.0,757.5,2201.05,1301.75,5927.974999999999,0.0,209.0,18571.8,None,DE_LU,2026-04-23
2026-01-01 14:00:00+00:00,6492.35,0.0,877.125,0.0,800.0,0.0,0.0,67.4,2500.0,0.0,751.5,0.0,3384.2,0.0,1386.5,0.0,3519.575,0.0,0.0,971.8,209.0,0.0,6492.35,877.125,800.0,-67.4,2500.0,751.5,3384.2,1386.5,3519.575,-971.8,209.0,18881.050000000003,None,DE_LU,2026-04-23
