,LT_LV,LV_LT,LT_PL,PL_LT,LT_SE_4,SE_4_LT,LT_LV_net_export,LT_PL_net_export,LT_SE_4_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,709.575,0.0,0.0,145.55,0.0,700.0,709.575,-145.55,-700.0,-135.9749999999999,None,LT,2026-04-23
2026-01-01 01:00:00+00:00,809.175,0.0,0.0,62.75,0.0,700.0,809.175,-62.75,-700.0,46.424999999999955,None,LT,2026-04-23
2026-01-01 02:00:00+00:00,786.0,0.0,73.55,0.0,0.0,700.0,786.0,73.55,-700.0,159.54999999999995,None,LT,2026-04-23
2026-01-01 03:00:00+00:00,742.0,0.0,124.325,0.0,0.0,700.0,742.0,124.325,-700.0,166.32500000000005,None,LT,2026-04-23
2026-01-01 04:00:00+00:00,733.0,0.0,148.8,0.0,0.0,700.0,733.0,148.8,-700.0,181.79999999999995,None,LT,2026-04-23
2026-01-01 05:00:00+00:00,771.0,0.0,0.0,139.675,0.0,700.0,771.0,-139.675,-700.0,-68.67499999999995,None,LT,2026-04-23
2026-01-01 06:00:00+00:00,802.0,0.0,0.0,159.0,0.0,700.0,802.0,-159.0,-700.0,-57.0,None,LT,2026-04-23
2026-01-01 07:00:00+00:00,793.0,0.0,0.0,159.0,0.0,700.0,793.0,-159.0,-700.0,-66.0,None,LT,2026-04-23
2026-01-01 08:00:00+00:00,799.0,0.0,0.0,160.0,0.0,700.0,799.0,-160.0,-700.0,-61.0,None,LT,2026-04-23
2026-01-01 09:00:00+00:00,791.0,0.0,0.0,160.0,0.0,700.0,791.0,-160.0,-700.0,-69.0,None,LT,2026-04-23
2026-01-01 10:00:00+00:00,823.0,0.0,0.0,161.0,0.0,700.0,823.0,-161.0,-700.0,-38.0,None,LT,2026-04-23
2026-01-01 11:00:00+00:00,803.0,0.0,0.0,161.0,0.0,700.0,803.0,-161.0,-700.0,-58.0,None,LT,2026-04-23
2026-01-01 12:00:00+00:00,686.0,0.0,0.0,121.25,0.0,700.0,686.0,-121.25,-700.0,-135.25,None,LT,2026-04-23
