,EE_FI,FI_EE,EE_LV,LV_EE,EE_FI_net_export,EE_LV_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,575.75,0.0,190.625,-575.75,-190.625,-766.375,None,EE,2026-04-23
2026-01-01 01:00:00+00:00,0.0,436.0,0.0,296.575,-436.0,-296.575,-732.575,None,EE,2026-04-23
2026-01-01 02:00:00+00:00,0.0,441.75,0.0,279.45,-441.75,-279.45,-721.2,None,EE,2026-04-23
2026-01-01 03:00:00+00:00,0.0,301.0,0.0,406.65,-301.0,-406.65,-707.65,None,EE,2026-04-23
2026-01-01 04:00:00+00:00,0.0,235.5,0.0,483.775,-235.5,-483.775,-719.275,None,EE,2026-04-23
2026-01-01 05:00:00+00:00,0.0,216.25,0.0,516.7,-216.25,-516.7,-732.95,None,EE,2026-04-23
2026-01-01 06:00:00+00:00,0.0,219.5,0.0,530.525,-219.5,-530.525,-750.025,None,EE,2026-04-23
2026-01-01 07:00:00+00:00,0.0,305.75,0.0,432.125,-305.75,-432.125,-737.875,None,EE,2026-04-23
2026-01-01 08:00:00+00:00,0.0,312.0,0.0,414.725,-312.0,-414.725,-726.725,None,EE,2026-04-23
2026-01-01 09:00:00+00:00,0.0,290.5,0.0,428.0,-290.5,-428.0,-718.5,None,EE,2026-04-23
2026-01-01 10:00:00+00:00,0.0,256.0,0.0,459.45000000000005,-256.0,-459.45000000000005,-715.45,None,EE,2026-04-23
2026-01-01 11:00:00+00:00,0.0,288.5,0.0,416.375,-288.5,-416.375,-704.875,None,EE,2026-04-23
2026-01-01 12:00:00+00:00,0.0,428.75,0.0,272.7,-428.75,-272.7,-701.45,None,EE,2026-04-23
2026-01-01 13:00:00+00:00,0.0,346.25,0.0,332.75,-346.25,-332.75,-679.0,None,EE,2026-04-23
2026-01-01 14:00:00+00:00,0.0,361.25,0.0,303.45,-361.25,-303.45,-664.7,None,EE,2026-04-23
2026-01-01 15:00:00+00:00,0.0,323.0,0.0,299.575,-323.0,-299.575,-622.575,None,EE,2026-04-23
2026-01-01 16:00:00+00:00,0.0,299.5,0.0,291.45,-299.5,-291.45,-590.95,None,EE,2026-04-23
2026-01-01 17:00:00+00:00,0.0,326.25,0.0,237.075,-326.25,-237.075,-563.325,None,EE,2026-04-23
2026-01-01 18:00:00+00:00,0.0,411.75,0.0,128.725,-411.75,-128.725,-540.475,None,EE,2026-04-23
2026-01-01 19:00:00+00:00,0.0,363.0,0.0,160.89999999999998,-363.0,-160.89999999999998,-523.9,None,EE,2026-04-23
2026-01-01 20:00:00+00:00,0.0,256.5,0.0,221.825,-256.5,-221.825,-478.325,None,EE,2026-04-23
2026-01-01 21:00:00+00:00,0.0,252.75,0.0,204.025,-252.75,-204.025,-456.775,None,EE,2026-04-23
2026-01-01 22:00:00+00:00,0.0,267.5,0.0,175.4,-267.5,-175.4,-442.9,None,EE,2026-04-23
2026-01-01 23:00:00+00:00,0.0,433.75,0.0,69.475,-433.75,-69.475,-503.225,None,EE,2026-04-23
2026-01-02 00:00:00+00:00,0.0,223.75,0.0,280.75,-223.75,-280.75,-504.5,None,EE,2026-04-23
2026-01-02 01:00:00+00:00,0.0,287.5,0.0,194.3,-287.5,-194.3,-481.8,None,EE,2026-04-23
2026-01-02 02:00:00+00:00,0.0,273.0,0.0,280.425,-273.0,-280.425,-553.425,None,EE,2026-04-23
