,ME_BA,BA_ME,ME_RS,RS_ME,ME_IT_CSUD,IT_CSUD_ME,ME_BA_net_export,ME_RS_net_export,ME_IT_CSUD_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,5.0,246.0,0.0,162.0,110.0,67.0,-241.0,-162.0,43.0,-360.0,None,ME,2026-04-23
2026-01-01 01:00:00+00:00,12.0,246.0,0.0,200.0,109.0,32.0,-234.0,-200.0,77.0,-357.0,None,ME,2026-04-23
2026-01-01 02:00:00+00:00,1.0,251.0,0.0,202.0,140.0,20.0,-250.0,-202.0,120.0,-332.0,None,ME,2026-04-23
2026-01-01 03:00:00+00:00,1.0,251.0,0.0,207.0,180.0,0.0,-250.0,-207.0,180.0,-277.0,None,ME,2026-04-23
2026-01-01 04:00:00+00:00,1.0,247.0,0.0,200.0,180.0,0.0,-246.0,-200.0,180.0,-266.0,None,ME,2026-04-23
2026-01-01 05:00:00+00:00,1.0,241.0,0.0,200.0,165.0,0.0,-240.0,-200.0,165.0,-275.0,None,ME,2026-04-23
2026-01-01 06:00:00+00:00,26.0,181.0,0.0,198.0,180.0,40.0,-155.0,-198.0,140.0,-213.0,None,ME,2026-04-23
2026-01-01 07:00:00+00:00,12.0,166.0,0.0,195.0,169.0,10.0,-154.0,-195.0,159.0,-190.0,None,ME,2026-04-23
2026-01-01 08:00:00+00:00,2.0,218.0,0.0,179.0,162.0,7.0,-216.0,-179.0,155.0,-240.0,None,ME,2026-04-23
2026-01-01 09:00:00+00:00,1.0,200.0,0.0,228.0,162.0,0.0,-199.0,-228.0,162.0,-265.0,None,ME,2026-04-23
2026-01-01 10:00:00+00:00,1.0,227.0,0.0,221.0,164.0,0.0,-226.0,-221.0,164.0,-283.0,None,ME,2026-04-23
2026-01-01 11:00:00+00:00,1.0,227.0,0.0,204.0,162.0,1.0,-226.0,-204.0,161.0,-269.0,None,ME,2026-04-23
2026-01-01 12:00:00+00:00,1.0,227.0,0.0,194.0,162.0,0.0,-226.0,-194.0,162.0,-258.0,None,ME,2026-04-23
2026-01-01 13:00:00+00:00,1.0,215.0,0.0,194.0,162.0,0.0,-214.0,-194.0,162.0,-246.0,None,ME,2026-04-23
2026-01-01 14:00:00+00:00,1.0,211.0,0.0,206.0,134.0,67.0,-210.0,-206.0,67.0,-349.0,None,ME,2026-04-23
2026-01-01 15:00:00+00:00,1.0,166.0,0.0,154.0,142.0,36.0,-165.0,-154.0,106.0,-213.0,None,ME,2026-04-23
2026-01-01 16:00:00+00:00,1.0,157.0,0.0,112.0,106.0,37.0,-156.0,-112.0,69.0,-199.0,None,ME,2026-04-23
2026-01-01 17:00:00+00:00,1.0,161.0,0.0,113.0,106.0,33.0,-160.0,-113.0,73.0,-200.0,None,ME,2026-04-23
2026-01-01 18:00:00+00:00,1.0,157.0,0.0,93.0,102.0,45.0,-156.0,-93.0,57.0,-192.0,None,ME,2026-04-23
2026-01-01 19:00:00+00:00,1.0,153.0,0.0,121.0,132.0,58.0,-152.0,-121.0,74.0,-199.0,None,ME,2026-04-23
2026-01-01 20:00:00+00:00,20.0,202.0,0.0,178.0,109.0,88.0,-182.0,-178.0,21.0,-339.0,None,ME,2026-04-23
2026-01-01 21:00:00+00:00,22.0,227.0,0.0,190.0,110.0,90.0,-205.0,-190.0,20.0,-375.0,None,ME,2026-04-23
