,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Storage,Fossil Hard coal,Fossil Gas,Fossil Oil,Fossil Coal-derived gas,Other,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,1.912640606818084,29.114640348230832,12.53842175580744,201.35855277334826,0.0,0.0,4.462828082575529,1909.1872279446623,0.6375468689393613,1.912640606818084,304.3755010128001,IT_CNOR,2026-04-23
2026-01-01 01:00:00+00:00,0.0,2.738043501879577,28.465320179917864,11.985397970491732,193.88447665196324,0.0,0.0,4.339540644488386,1837.7954629408314,0.6199343777840551,1.8598031333521654,295.81202059929166,IT_CNOR,2026-04-23
2026-01-01 02:00:00+00:00,0.0,6.926054078826764,25.598321494042164,10.857057745187902,171.46663611365722,0.0,0.0,3.9310036663611365,1553.3080201649864,0.5615719523373053,1.497525206232814,268.10380957836844,IT_CNOR,2026-04-23
2026-01-01 03:00:00+00:00,0.0,6.986656084131158,21.674512624634158,9.130289200853216,141.63857334193165,0.0,0.0,3.890297137754849,1187.016989930056,0.39696909568927036,1.270301106205665,228.495411478744,IT_CNOR,2026-04-23
2026-01-01 04:00:00+00:00,0.0,9.405683963467524,20.73876218174397,9.058752997601918,134.26228378998928,0.0,0.07709577019235675,5.088320832695546,1109.0997499872442,0.308383080769427,1.233532323077708,221.72743507321803,IT_CNOR,2026-04-23
2026-01-01 05:00:00+00:00,0.0,11.624913971094287,22.58554714384033,13.534721266345493,156.77026841018582,0.0,63.89550929112181,6.725843083275981,1295.9703200275294,0.33214039917412247,1.5361493461803166,236.7745870612526,IT_CNOR,2026-04-23
2026-01-01 06:00:00+00:00,0.09932610606504541,17.77937298564313,27.016700849692352,17.928362144740696,219.21271608555523,0.0,0.29797831819513626,8.144740697333724,1625.3227365953708,0.39730442426018164,1.9368590682683855,285.36390272487546,IT_CNOR,2026-04-23
2026-01-01 07:00:00+00:00,35.379249835490235,10.60144768589603,16.765080061416977,13.0052643123492,131.5010967317394,0.0,33.49934196095635,5.054178547927177,839.5175477078308,0.24654529502083788,1.2019083132265849,177.72833954814652,IT_CNOR,2026-04-23
2026-01-01 08:00:00+00:00,95.16240014292642,7.175620836629999,11.767163931497409,6.727144534340624,85.18914142058651,0.0,31.13706898751946,3.160690130420357,471.92520609479084,0.21356014394732142,0.8328845613945535,123.4591192159465,IT_CNOR,2026-04-23
2026-01-01 09:00:00+00:00,240.5950128867545,24.18880115340783,3.793142141384619,1.9173364473787218,44.3952291148878,0.0,1.0815728205570405,0.8583022363717022,222.14656067372965,0.08306150674564859,0.276871689152162,64.91410932963034,IT_CNOR,2026-04-23
2026-01-01 10:00:00+00:00,220.57196466515973,15.431478489332386,7.089001464267159,3.608946199990553,52.63040874162613,0.0,0.0,1.598247602852959,322.0286592185105,0.11600184214255349,0.48978555571300364,85.18550622040513,IT_CNOR,2026-04-23
2026-01-01 11:00:00+00:00,189.46115971247136,33.159661252883524,3.6485349378703,1.6517912718721903,34.71246097180617,0.0,0.0,0.8225787859925767,216.25602190493544,0.05306959909629527,0.23881319593332873,55.245908367138796,IT_CNOR,2026-04-23
