,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Fossil Coal-derived gas,Other,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GR,2026-04-23
2026-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GR,2026-04-23
2026-01-01 02:00:00+00:00,0.23057570196970092,15.167810259114345,0.0,0.5609167753900076,0.44567408537995434,3.4735783661700177,0.0,0.0,90.68126449010407,51.87631772838997,2.555325095120042,15.82866426427202,0.0,0.17987323408983144,0.0,0.0,GR,2026-04-23
2026-01-01 03:00:00+00:00,1.806336584385187,37.653582848667384,0.0,1.4673505710838672,1.1178999633505526,8.754858908974827,0.0,0.0,228.66751672500013,128.1044243751395,6.459557874004672,39.72537892781309,0.0,0.44309322158087394,0.0,0.0,GR,2026-04-23
2026-01-01 04:00:00+00:00,2.174829489939347,36.838907690217894,0.0,1.5629765910606959,6.7689900809131665,10.440411952153793,0.0,0.0,243.83015704831288,130.12239683380088,6.863684939551938,42.443824757176095,0.0,0.47882061687331473,0.0,0.0,GR,2026-04-23
2026-01-01 05:00:00+00:00,7.396851537099349,54.95852760317363,0.0,2.594316645737483,27.688492978076198,23.803545186084452,0.0,0.0,400.0960812409463,208.8102836256193,11.262687197760258,69.7792401215166,0.0,0.784973863986324,0.0,0.0,GR,2026-04-23
2026-01-01 06:00:00+00:00,67.93902885398931,43.05924886427143,0.0,1.8541654180782057,34.782604735194006,23.49666285452959,0.0,0.0,283.307298515603,148.11537592192386,7.934453925929529,49.360648551255814,0.0,0.550512359225169,0.0,0.0,GR,2026-04-23
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GR,2026-04-23
2026-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GR,2026-04-23
2026-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GR,2026-04-23
