,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Other,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,2.172884767508145,926.2791878478404,794.736953104649,68.02946234232955,414.6595698270948,106.58394456550259,0.22192946962965787,0.0,103.80718905853301,20.744738112758007,105.68311390042784,0.5764946581643334,50.83787970666276,342.26665263890004,GB,2026-04-23
2026-01-01 01:00:00+00:00,2.1645676377236573,955.1342550956505,758.465623093556,56.62125806771746,427.0034248710234,109.58809753808924,0.21356165968380453,0.0,124.47661221960998,19.526842992506133,87.28470034027701,0.4326318901595326,48.150679866205266,307.8377447277979,GB,2026-04-23
2026-01-01 02:00:00+00:00,2.33378102142812,866.2700871776169,757.8901422547981,37.741460210113516,242.4563482064015,70.79592366507721,0.1959014008986827,0.0,74.2963054257473,20.837701270967983,81.6062649985256,0.1411342893607934,43.013436847527565,310.3215132315368,GB,2026-04-23
2026-01-01 03:00:00+00:00,2.474204624032935,727.1613662201013,665.090413903469,29.555075205352296,11.961514871464212,4.4784666389312004,0.24392798124012388,0.0,49.91679005749349,22.388659636534808,52.11570368375345,0.1565030467932818,35.238642711851284,224.71873141898254,GB,2026-04-23
2026-01-01 04:00:00+00:00,2.582384109118114,711.7305043182254,662.9884617774567,27.817435849801953,0.0,0.4615970089257124,0.24210399009525324,0.0,69.01256801852071,23.27360364037404,51.37717676551074,0.15896231218078502,34.804304913729396,222.55089729606127,GB,2026-04-23
2026-01-01 05:00:00+00:00,2.8108738360740957,682.1316068589623,659.6763166967883,29.011399602207025,0.0,0.26408025196751106,0.25438923354668497,0.0,28.089336638611947,24.871695932724517,47.81226794882056,0.16823347532434038,31.516722018067085,242.3930775069057,GB,2026-04-23
2026-01-01 06:00:00+00:00,2.8437073846210477,642.8595131649157,705.8073153048564,31.414836341880296,0.0,0.27177675331535384,0.2642966591874083,0.0,29.543168409681567,25.649679103549307,48.5560892758387,0.1729790467322721,33.14241380580013,257.47422474962184,GB,2026-04-23
2026-01-01 07:00:00+00:00,2.957826563533734,856.8607108171782,893.8035646378063,37.47321207135892,0.0,0.4070426352962907,0.24256647703594356,0.0,196.41710633718046,25.953349675778068,81.17873551183938,0.17447099207637398,53.66284144420559,344.8685728367109,GB,2026-04-23
2026-01-01 08:00:00+00:00,15.953801523176374,882.7847234088842,849.7453903144733,33.727996713881446,0.0,0.31851839978012686,0.22725782508535824,45.83094004929762,214.80189331030112,24.86321488255673,77.13626646673286,0.16626962170995768,52.783661505797625,319.66006597832313,GB,2026-04-23
2026-01-01 09:00:00+00:00,58.59739727814734,846.5106607293689,784.8736582150184,30.23039347864979,0.0,0.3008231093553725,0.20659966974681676,0.0,186.72600869999957,23.763186607968382,67.48480126968622,0.1585203385912635,47.637515545492626,289.51043505797537,GB,2026-04-23
2026-01-01 10:00:00+00:00,111.0931179531016,801.6005072789667,692.5168723328779,21.99124021737514,0.0,0.28796628739728675,0.16521312241419664,0.0,176.62442915119712,22.780796881367138,54.23696512622084,0.1499922026592991,40.701999093769444,230.85090035265324,GB,2026-04-23
2026-01-01 11:00:00+00:00,146.22992731095272,820.5384154775386,606.1731230302404,12.879781546661626,0.0,0.3025078324946985,0.1630951342245602,0.0,219.51434407288568,22.446526953048345,41.96002945267495,0.14883609210332005,37.483110431489976,127.16030266568515,GB,2026-04-23
