,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Fossil Coal-derived gas,Other,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,1.8531850155969556,1304.5691259359596,348.6795998954412,123.65434356262884,359.16491100891795,114.48291186313995,0.7921920857414919,2.0777988742080113,0.0,0.0,70.04146197054602,115.64439015452459,127.68732770869687,9.389236894155404,26.153275244281843,13.105936084370871,4.979303701790853,NL,2026-04-23
2026-01-01 01:00:00+00:00,2.436263685755165,2704.263737854274,558.5417506696422,277.84285968784474,217.0091312439563,116.21803566119672,2.2009569290013955,5.473809001052727,0.0,0.0,176.4326998614641,296.7128606811721,305.45096614964245,25.075336466167094,47.854537314073724,36.082518645894574,13.729536148863215,NL,2026-04-23
2026-01-01 02:00:00+00:00,3.0867642110667166,3776.917388774796,756.4925898603933,379.58636773878567,1.655327183349748,89.16407379044671,3.2476410760809884,7.96674150795987,0.0,0.0,215.52405313586263,421.71761792141587,414.93374893636843,36.43730700354226,64.84164757979966,55.70558665269109,20.148144627442097,NL,2026-04-23
2026-01-01 03:00:00+00:00,2.7496447495930836,3465.6007352346614,706.0559490411176,333.6098591273457,1.1330607416433636,79.71270026882883,2.918258231218897,7.1767436146563,0.0,0.0,192.05593794982497,378.6025525787553,367.7851979249707,32.70344497513874,60.605404951753364,50.746606422765666,18.068904187726098,NL,2026-04-23
2026-01-01 04:00:00+00:00,2.8364356614997686,3466.3434216726287,638.8715293208143,330.25353456030984,1.123711699658643,79.94288292377227,2.8925871242442542,6.948096505148125,0.0,0.0,190.09020909232527,368.61418939164963,366.1209450195481,32.347374784429654,60.105665802489646,47.306945925750384,17.852470515730705,NL,2026-04-23
2026-01-01 05:00:00+00:00,2.2889098353291346,1630.7285985398373,372.1632091252703,130.53472162562772,12.466143146197197,33.089721245531685,1.099771542445051,2.7177674371565494,0.0,0.0,77.96048165417075,150.98382893323694,141.42474921616056,14.653876679826016,28.22245733249828,18.781617186920485,6.784146499791934,NL,2026-04-23
2026-01-01 06:00:00+00:00,3.007421415441687,3031.7738493964043,468.18669597162125,264.70074701285597,106.01718051623628,90.22856688137637,2.278320055948707,5.430101215979602,0.0,0.0,155.6747683612829,292.0578547485054,294.9067330087682,25.40891186763327,49.85528390631495,39.69840946186518,12.950156179766493,NL,2026-04-23
2026-01-01 07:00:00+00:00,15.67578391546484,1656.4076449715321,416.65623095451076,130.8802980604803,80.48717050283906,53.175117312997656,1.0870310566816603,2.6992140211093183,0.0,0.0,73.09034237996266,149.1134403916598,137.28562631479076,12.273013844994214,29.364122528658967,19.047618716975922,5.957345027341757,NL,2026-04-23
2026-01-01 08:00:00+00:00,102.45417451529269,1690.2689885129453,439.81435974975255,135.4811898240775,0.5296827950543045,30.47382083372034,1.0152634523237105,2.796481714626295,0.0,0.0,82.36291614207525,159.6066095931284,141.7914436399579,12.798029519330154,29.362221729626956,18.628414820766984,6.216403157321444,NL,2026-04-23
2026-01-01 09:00:00+00:00,363.41056753538027,2785.0862602508623,578.661620263583,238.98316504627024,2.3923186933886997,57.35301635528029,1.818977670398002,4.9660429984727585,0.0,0.0,154.11259672438305,273.93148050469125,263.78632179031007,23.295033550552123,45.70950533691945,33.35906361133771,11.359029668170521,NL,2026-04-23
