,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Other,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,69.07138785870761,28.20832497458,141.139609443311,20.413786685711926,0.0,12.969979597784905,0.0,31.40544767527046,73.08364908190033,154.40054748164988,4.226173127368115,1.7487612940833577,0.33233277963249164,BA,2026-04-23
2026-01-01 01:00:00+00:00,0.0,62.1973929236499,28.454376163873373,141.08007448789573,16.610800744878954,0.0,13.258845437616388,0.0,0.0,74.3389199255121,157.61638733705772,4.655493482309125,1.787709497206704,0.0,BA,2026-04-23
2026-01-01 02:00:00+00:00,0.0,59.32792584009271,29.354963306295872,133.25608342989574,17.26535341830823,0.0,13.75048281189649,0.0,0.0,77.09540363074548,163.38354577056782,5.33024333719583,1.2359984550019316,0.0,BA,2026-04-23
2026-01-01 03:00:00+00:00,0.0,53.94223263075722,29.820452771272446,136.0265417642467,17.369242779078842,0.0,13.895394223263077,0.0,0.0,77.5175644028103,164.7150663544106,5.46448087431694,1.249024199843872,0.0,BA,2026-04-23
2026-01-01 04:00:00+00:00,0.0,35.91340236043734,27.659112301788433,170.4076460792122,16.146549851567592,0.0,12.888277459995656,0.0,0.0,71.8630077474477,158.7502715226993,5.213235826515097,1.1584968503366884,0.0,BA,2026-04-23
2026-01-01 05:00:00+00:00,0.0,35.30249110320284,27.188612099644132,167.04626334519574,23.27402135231317,0.0,12.669039145907474,0.0,0.0,71.1032028469751,157.3665480427046,4.911032028469751,1.1387900355871887,0.0,BA,2026-04-23
2026-01-01 06:00:00+00:00,1.3033583890766154,36.67644757652008,22.678636166097974,136.12854285911317,36.888340855185845,0.0,10.311013033583892,0.0,55.00335325802335,58.12978415281705,128.78193366667512,3.5625129301427494,0.92683263223226,0.6092444805319305,BA,2026-04-23
2026-01-01 07:00:00+00:00,12.520132669983413,40.00060181845962,20.315535935878653,127.00948590381424,25.342534098562773,0.0,9.643515754560529,0.0,12.770329804394681,55.50500829187394,121.86376586610083,3.013598673300165,0.8766832504145935,0.1388079326564639,BA,2026-04-23
2026-01-01 08:00:00+00:00,36.66400744581836,56.574923547400594,24.863714931525056,121.85879537295571,27.78885786464565,0.0,11.700571732482382,0.0,0.0,67.51096928599918,148.1518415104374,3.82262996941896,1.0636883393165801,0.0,BA,2026-04-23
2026-01-01 09:00:00+00:00,43.81376727366653,58.31073227431228,24.150845925351927,120.75422962675965,26.92754746222394,0.0,11.365103964871496,0.0,0.0,65.54307116104869,144.1947565543071,3.9067544879245766,1.0331912695337724,0.0,BA,2026-04-23
2026-01-01 10:00:00+00:00,50.86498683715683,68.32142409427104,23.442396891061804,113.13777109188919,26.012285320295852,0.0,11.031716184029086,0.0,0.0,62.93092641343864,139.99623918766454,3.259370690735866,1.0028832894571895,0.0,BA,2026-04-23
2026-01-01 11:00:00+00:00,41.759479414341136,71.10874734075836,21.879614566387186,107.16305844074583,24.408709798523336,0.0,10.351645601301463,0.0,0.0,57.93392566637467,131.24827931422848,3.2054811663121012,0.9410586910274059,0.0,BA,2026-04-23
2026-01-01 12:00:00+00:00,41.5086513391799,85.65418345579523,22.04313818440389,121.50391087935532,24.62076321403176,0.0,10.429011614126571,0.0,0.0,57.92249348186775,132.0810618630007,3.2886940033183216,0.9480919649205974,0.0,BA,2026-04-23
2026-01-01 13:00:00+00:00,22.46307631830179,116.39773905058945,21.416707865565012,125.2316504745325,28.22542831381816,0.0,9.883753580052788,0.0,33.8685209426949,54.47296007188184,125.89325045533518,2.892121075981356,0.8985230527320717,0.3562687985149447,BA,2026-04-23
