,Solar,Wind Onshore,Biomass,Hydro Run-of-river and poundage,Geothermal,Storage,Fossil Gas,Waste,Other,bidding_zone,source_download_date
2026-04-15 16:00:00+00:00,12.06980631773115,283.9348339866267,75.80427138575051,34.44310583352548,0.0,0.0,842.2369725616786,4.7101683191145955,23.550841595572976,IT_SICI,2026-04-23
2026-04-15 17:00:00+00:00,0.16085316308763783,328.78386535113174,77.53122460824144,41.178409750435286,0.0,0.0,906.2467208357516,5.469007544979687,26.379918746372606,IT_SICI,2026-04-23
2026-04-15 18:00:00+00:00,0.0,315.60083392060136,80.99638830162087,45.94826168663378,0.0,0.0,952.1687221047686,5.533914728682171,27.50187925769321,IT_SICI,2026-04-23
2026-04-15 19:00:00+00:00,0.0,294.76623844399086,93.93849801896985,44.87159322847881,0.0,0.0,1049.5575099051507,6.2017649177572345,29.91439548565254,IT_SICI,2026-04-23
2026-04-15 20:00:00+00:00,0.0,270.66308732795443,84.72644755576648,40.2203369719981,0.0,0.0,960.8374762695776,5.769310631229236,27.033341243474133,IT_SICI,2026-04-23
2026-04-15 21:00:00+00:00,0.0,285.72457095018837,91.15466722478024,43.35621598995395,0.0,0.0,818.4374215152783,5.686061113436584,29.141063206362496,IT_SICI,2026-04-23
2026-04-15 22:00:00+00:00,0.0,410.2290330244714,129.5984794488002,30.15656925635543,0.0,0.0,430.6657163221668,7.726063197909242,40.624138750296986,IT_SICI,2026-04-23
2026-04-15 23:00:00+00:00,0.0,385.6684059483433,127.97965040438298,34.83615966605792,0.0,0.0,351.32637620662666,7.659013827289329,39.530393947299764,IT_SICI,2026-04-23
2026-04-16 00:00:00+00:00,0.0,340.4460412856023,121.80454664227854,53.201985889730864,0.0,0.0,332.51241181081787,7.700287431408413,37.33472694016201,IT_SICI,2026-04-23
2026-04-16 01:00:00+00:00,0.0,355.4175338189386,125.85197710718002,54.624089490114464,0.0,0.0,342.90452653485954,7.700312174817899,38.50156087408949,IT_SICI,2026-04-23
