,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Fossil Coal-derived gas,Other,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.02194007030617172,600.3191430989181,2.9803460741200323,44.71976371517484,0.8224849583764592,0.5715698645929405,0.0,22.774703503631564,42.80654084840815,23.837227031721312,1.8114519649426273,1.1949190889126857,75.01490978089527,LT,2026-04-23
2026-01-01 01:00:00+00:00,0.015017089752196058,607.7670528169263,0.45031019657964183,40.498828995536904,0.12112671712907257,0.0863088103449511,0.0,3.539868348750187,6.360135572203977,3.461141059728471,0.27304619452329704,0.1821230530185955,55.27004114550649,LT,2026-04-23
2026-01-01 02:00:00+00:00,0.012471362820568651,614.8474050178584,0.0,34.07718555745467,0.0,0.0,0.0,0.0,0.0,0.17351461315573774,0.0,0.0,50.66442344871064,LT,2026-04-23
2026-01-01 03:00:00+00:00,0.012869308557685085,558.6593735983604,0.0,27.517654964045978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.33510212903591,LT,2026-04-23
2026-01-01 04:00:00+00:00,0.0164634122542017,538.1432802201484,0.0,28.485231073823417,0.0,0.0,0.0,0.0,0.0,0.07839720121048428,0.0,0.0,35.851628092563544,LT,2026-04-23
2026-01-01 05:00:00+00:00,0.01760956624202053,598.6963156098595,2.7290106997233687,30.399225524952513,0.7495030646360386,0.513173887538184,0.0,17.821685632380035,38.79915324627241,18.998204729635727,1.6765672944121373,1.139849118631642,41.55970162571631,LT,2026-04-23
2026-01-01 06:00:00+00:00,0.351641716860004,665.7125359997572,3.3504674736017424,32.6760790228451,1.1593275784108918,0.6581095324658128,0.0,22.51795713648799,47.973700477287416,23.98428721676981,2.146357820352784,1.5094031559200434,45.43513286924124,LT,2026-04-23
2026-01-01 07:00:00+00:00,2.373690505671933,674.2565249079582,3.218415655673923,32.08863916951068,1.0246366320825828,0.6359914321167265,0.0,21.56843869537585,46.28524052264948,23.56194620141356,2.0588982398475304,1.4459570602014769,49.50662097749803,LT,2026-04-23
2026-01-01 08:00:00+00:00,6.583625171934657,672.9937550973086,3.028954868782487,30.6716888788058,0.8977065148852753,0.5974967608150893,0.0,18.041387472838377,45.32832055544287,26.211374174698754,1.9314092830847807,1.329258576011708,52.38502264539148,LT,2026-04-23
2026-01-01 09:00:00+00:00,10.234092283499438,651.9668111456937,2.869511207362982,29.39238002502416,0.8082509920944678,0.5663042619877892,0.0,14.664286190322409,42.74066802518285,24.390556312270554,1.8160673578561493,1.234518547068635,50.11655365163682,LT,2026-04-23
2026-01-01 10:00:00+00:00,14.744031113906189,652.4840330451275,2.767061271530588,30.650229462870435,0.7687837464400931,0.5416485063657954,0.0,13.481033395712748,43.21746963778949,23.877625272975916,1.7390479791663356,1.1938937330300528,51.810142835084804,LT,2026-04-23
2026-01-01 11:00:00+00:00,14.314641416006623,666.301803845385,2.7779286473812594,32.81286639954052,0.769791450184207,0.5417206934220822,0.0,13.71836593589455,43.924567979731194,23.549433211656492,1.7291264524005034,1.1843737328963722,54.30038023550107,LT,2026-04-23
2026-01-01 12:00:00+00:00,9.99448882848909,658.8501998102873,2.408994870899724,33.325566073954455,0.6591392331591804,0.46595364974048115,0.0,11.623581816232948,34.483321736112,19.872495689617907,1.4843768684105354,1.0214405164851228,54.33544090661117,LT,2026-04-23
2026-01-01 13:00:00+00:00,4.3479480704726505,531.1378303725263,1.8750102178970969,27.95639170953909,0.549257161023974,0.3727729515952525,0.0,9.509856685736715,27.6894442259377,15.487564161771619,1.189478534550358,0.8059236922251408,45.32852221672408,LT,2026-04-23
2026-01-01 14:00:00+00:00,0.8078314899228682,586.6772649010787,0.0,36.24701844029903,0.0,0.0,0.0,0.0,0.0,0.08979646963155405,0.0,0.0,52.67808869906783,LT,2026-04-23
2026-01-01 15:00:00+00:00,0.14745932937310965,599.926307322062,0.0,40.78350627760733,0.0,0.0,0.0,0.0,0.0,0.04862632460778554,0.0,0.0,57.44410074634985,LT,2026-04-23
2026-01-01 16:00:00+00:00,0.14674374131966958,560.9895547454166,0.0,44.276861778395535,0.0,0.0,0.0,0.0,0.0,0.14410187363633675,0.0,0.0,56.49273786123189,LT,2026-04-23
2026-01-01 17:00:00+00:00,0.16033000465326686,589.7637847789774,0.0,48.441670099768935,0.0,0.0,0.0,0.0,0.0,0.1600632325989353,0.0,0.0,61.47415188400142,LT,2026-04-23
2026-01-01 18:00:00+00:00,0.024138880687306834,590.1503022321987,0.0,44.60289747463036,0.0,0.0,0.0,0.0,0.0,0.11227386366189228,0.0,0.0,64.7853875488217,LT,2026-04-23
2026-01-01 19:00:00+00:00,0.022005225011545802,528.1806109913497,0.0,41.3795738399747,0.0,0.0,0.0,0.0,0.0,0.10541425155231522,0.0,0.0,58.86239569211173,LT,2026-04-23
2026-01-01 20:00:00+00:00,0.02230095332397881,552.2663354176534,1.2127111178698553,42.23528674623546,0.3372161295142603,0.2354907112432927,0.0,6.101768687375167,17.697513326061802,9.138390771065502,0.7561429033755086,0.5303838981621785,62.19145933811972,LT,2026-04-23
2026-01-01 21:00:00+00:00,0.02780536098541151,633.9413094611425,2.9192753097254505,49.80233130448804,0.8079359072977504,0.5645575823210391,0.0,14.835050516971755,41.96123642715859,21.94273178717121,1.8237147514578538,1.2731822497619336,72.47586934151853,LT,2026-04-23
2026-01-01 22:00:00+00:00,0.025642694849661814,637.4993306128675,3.04105902993542,51.029513184581575,0.8507779907104498,0.5941340701922267,0.0,16.70105565199226,43.124644794404375,20.971140751393754,1.907226863585284,1.3473053949112312,74.33316896057619,LT,2026-04-23
2026-01-01 23:00:00+00:00,0.02182771579471133,450.3284381124819,3.194458945589129,45.20053744603637,0.8919212692863223,0.6231340192662245,0.0,16.781126949053913,46.78391939282,25.530917573918966,1.9701183117281926,1.4283789810445549,58.94522128297969,LT,2026-04-23
2026-01-02 00:00:00+00:00,0.020400553361512756,492.318226152614,3.1505470746949316,51.29764330333879,0.8851854881336645,0.6149881307093086,0.0,16.200351774007324,46.719586960097345,26.742413730444305,1.939817913744347,1.420680656435907,68.31515826241859,LT,2026-04-23
2026-01-02 01:00:00+00:00,0.020266048249428285,540.767466710839,3.2302446543530348,61.44153014182914,0.9071106821264734,0.6255111203083132,0.0,16.609878137219727,46.27898433797076,26.866083277899516,1.980351569597589,1.438828573892745,83.03374474571433,LT,2026-04-23
2026-01-02 02:00:00+00:00,0.025156752259874567,502.7473691383214,3.17053140347686,66.51560901452052,0.9055907283735676,0.6271592131590571,0.0,16.61472380011953,46.17334365823869,28.20536287647896,1.9756563677467975,1.4491313047319596,86.96536574257269,LT,2026-04-23
2026-01-02 03:00:00+00:00,0.030922493053400852,470.05560324383356,2.5374080226111984,75.25590336738026,0.8601749869260036,0.5915994987036767,0.0,15.852012813559236,47.45123432262242,26.977900773131356,1.8190929109990803,1.3777281451007521,89.11541942207909,LT,2026-04-23
2026-01-02 04:00:00+00:00,0.02482312107605331,302.2987866783138,2.5134303461210905,51.92510059923345,0.8471955198355516,0.5870327949945494,0.0,15.5145264616348,46.3573830626766,24.159893387010715,1.8027574752108486,1.3500043619981485,59.69406619189443,LT,2026-04-23
2026-01-02 05:00:00+00:00,0.011615510886849837,107.192604617712,0.0,26.39978104264627,0.0,0.0,0.0,0.0,0.0,0.023949506983195538,0.0,0.0,27.297049321771695,LT,2026-04-23
2026-01-02 06:00:00+00:00,0.2682328369721495,268.59068748528927,0.0,77.26904260236563,0.0,0.0,0.0,0.0,0.0,0.31009576528572197,0.0,0.0,90.96194131008724,LT,2026-04-23
2026-01-02 07:00:00+00:00,0.8301709706539342,330.2561744142988,0.0,101.61292680804155,0.0,0.0,0.0,0.0,0.0,0.29815343502722663,0.0,0.0,113.00257437197851,LT,2026-04-23
