,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Other,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,207.0698165089658,8.899606238813602,79.33363441805366,104.5220058808489,2.1765341344924574,237.097118384045,128.46951645338137,0.0,592.1067679813993,0.0,0.0,BG,2026-04-23
2026-01-01 01:00:00+00:00,0.0,96.71115732299974,12.041540530562736,90.43835879477932,139.64302647539688,1.5537471652339012,317.41759796424236,142.372140718126,0.0,486.54743102865916,0.0,0.0,BG,2026-04-23
2026-01-01 02:00:00+00:00,0.0,42.673166577967,12.099403938265034,95.75442256519425,149.61628525811602,3.7729324108568383,318.747738158595,140.2490047897818,0.0,459.387046301224,0.0,0.0,BG,2026-04-23
2026-01-01 03:00:00+00:00,0.0,32.09488818745987,13.629336079606249,111.2329686496897,180.25896105285685,1.6853480098437832,358.68602209501387,155.49167290819602,0.0,516.5958030173335,0.0,0.0,BG,2026-04-23
2026-01-01 04:00:00+00:00,0.0,45.253185679611654,14.744538834951456,140.70054611650485,194.18871359223303,2.58813713592233,384.0638652912621,167.52305825242718,0.0,537.3129550970874,0.0,0.0,BG,2026-04-23
2026-01-01 05:00:00+00:00,0.0,86.44174812223478,14.460515485132214,127.49354486058235,227.5121102994135,1.606723942792468,393.6473659841547,163.403824981994,0.0,547.0091663236958,0.0,0.0,BG,2026-04-23
2026-01-01 06:00:00+00:00,14.876439586179972,154.90092719109896,11.219314854577394,95.5811243412063,147.33873706812415,8.182041772398984,304.03723404255317,123.10253757563925,0.0,410.9616435682217,0.0,0.0,BG,2026-04-23
2026-01-01 07:00:00+00:00,118.20493052442849,83.04219333632152,0.0,2.5029732556402213,0.0,0.0,0.0,16.91525474376214,0.0,49.5346481398476,0.0,0.0,BG,2026-04-23
2026-01-01 08:00:00+00:00,399.2334142080745,159.24235248447204,0.0,2.168332686335404,0.0,0.0,0.0,34.693322981366464,0.0,74.93757763975155,0.0,0.0,BG,2026-04-23
2026-01-01 09:00:00+00:00,519.0853648096931,150.81052943500592,0.0,2.544037271170815,0.0,0.0,0.0,41.8239727380482,0.0,58.41109574608191,0.0,0.0,BG,2026-04-23
2026-01-01 10:00:00+00:00,614.8379685301267,142.55495714468464,0.0,2.7886337469617497,0.0,0.0,0.0,45.17586670078035,0.0,66.59257387744658,0.0,0.0,BG,2026-04-23
2026-01-01 11:00:00+00:00,535.7790237467018,109.33860817941952,0.0,2.282021767810026,0.0,0.0,0.0,39.48889841688654,0.0,65.18644788918205,0.0,0.0,BG,2026-04-23
2026-01-01 12:00:00+00:00,173.77313190862196,35.534281503316144,0.0,0.22490051584377305,0.0,0.0,0.0,14.318666175386884,0.0,30.474019896831248,0.0,0.0,BG,2026-04-23
