,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Fossil Coal-derived gas,Other,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.018805774548147188,538.5205557041202,0.0,70.18642792154984,40.40366305914609,18.17912188827439,0.0,60.023687227026784,0.0,833.7124987685419,395.9673191108776,26.996550893507365,73.69479765030367,0.35182350452693656,6.731871217491921,0.0,63.16287728008527,PL,2026-04-23
2026-01-01 01:00:00+00:00,0.01287179121616805,541.7881161449966,0.0,49.334811418110604,36.45714852105823,12.702213530426857,0.0,42.54341705375356,0.0,591.113724456348,277.10119468118114,18.888840232462105,52.15273575749658,0.24944050293688325,4.795451816528201,0.0,49.21003409348506,PL,2026-04-23
2026-01-01 02:00:00+00:00,0.010693176652983017,610.0361801842892,0.0,32.53825745080462,30.248650824591074,11.546192205569662,0.0,27.110421432047936,0.0,376.9909828360751,178.98676766035396,11.561200615618583,34.37712827945765,0.15911501135916578,7.4152010460944435,0.0,46.644209277085714,PL,2026-04-23
2026-01-01 03:00:00+00:00,0.00904769751717224,471.66174545989463,0.0,40.23444532934935,20.714269492889983,11.556293525711922,0.0,34.14333897409066,0.014196829493371125,472.71339942961504,224.3859672360302,14.792566611810527,43.05996684410072,0.1996098917913212,6.438120047730279,0.0,31.727032629974758,PL,2026-04-23
2026-01-01 04:00:00+00:00,0.003601008563421623,179.21189917076396,0.0,35.51665859276253,7.429022763347166,10.238957621660202,0.0,30.12405172646791,0.0,416.6258117636644,186.84011051619532,12.973491428864648,39.16589446176669,0.17644184385856404,5.493193440328654,0.0,10.725865661756554,PL,2026-04-23
2026-01-01 05:00:00+00:00,0.0003735722248892098,11.9576584884925,0.0,0.0,0.6403388771409187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7766290621416924,PL,2026-04-23
2026-01-01 06:00:00+00:00,3.803185744297626,32.3495414376196,0.0,56.12802677704628,4.020082784712923,14.528720239488807,0.0,50.03075630016014,0.0,682.3131639243451,300.29177865390557,20.91438165875342,65.52802568448786,0.2908062769042513,5.557201676921109,0.0,2.2443288413573947,PL,2026-04-23
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PL,2026-04-23
2026-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PL,2026-04-23
2026-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PL,2026-04-23
2026-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PL,2026-04-23
2026-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PL,2026-04-23
2026-01-01 12:00:00+00:00,2.746853963248226,0.02141200194068773,0.0,3.2332122930438474,0.5383589059372915,4.322165534598824,0.0,1.7404898720359026,0.0,75.48954227060464,0.544476620777488,0.0,6.344070289283765,2.0586110437261205,0.0,0.0,3.835807204803202,PL,2026-04-23
2026-01-01 13:00:00+00:00,17.247786450322433,169.58320337852152,20.858559426655482,15.284743472111877,0.5114451838349815,3.6783449484575117,0.12179674293904436,0.3018412008964165,0.0,0.0,9.945209962345093,15.358018433468533,16.44958343724038,1.5180393921019566,2.466364685995809,2.206820086895573,0.743243198213414,PL,2026-04-23
2026-01-01 14:00:00+00:00,0.08130960771461351,113.93619017233539,0.0,0.8987070963519569,2.99111574934175,1.1241418988429763,0.0,0.0,0.3806908531810109,0.0,0.0,0.0,1.28712481876436,0.0,2.603856705965845,0.0,6.446863097502108,PL,2026-04-23
2026-01-01 15:00:00+00:00,0.3088925865998788,330.9600063230202,11.088837057461474,11.653893500396343,5.811721356005766,10.907882490896052,0.07209957504666545,0.19017042294043265,6.440620527793264,0.0,6.101085052192855,10.571867627757504,13.013829821581883,0.89554980729858,7.731147801763626,1.1287895044275706,13.573606544817942,PL,2026-04-23
2026-01-01 16:00:00+00:00,0.01316050093022488,141.65277098024538,0.0,7.75447557042914,4.545032151647576,5.547649573725518,0.0,5.91718542465393,9.922966229358543,78.28256618490653,45.9624198303879,2.3831368129812063,10.230963352158879,0.03392207767285727,4.475218513358933,0.0,7.55353279754342,PL,2026-04-23
2026-01-01 17:00:00+00:00,0.02290428637903812,205.46856466831707,0.0,1.4743613266351177,6.920238585681276,7.141351711761063,0.0,0.0,0.1653867209336878,0.0,0.0,0.0,2.2954830669197297,0.0,7.029695383522271,0.0,12.432014249850733,PL,2026-04-23
2026-01-01 18:00:00+00:00,0.003450013318656067,206.10799614857194,0.0,1.4852460160353886,6.374802225980686,5.94756186901204,0.0,0.0,0.20708489128032495,0.0,0.0,0.0,2.3023378697495063,0.0,6.760703104530596,0.0,12.585817861520871,PL,2026-04-23
2026-01-01 19:00:00+00:00,0.0027692519265186117,123.76243843312237,0.0,8.971858444720985,5.673260417144867,2.633135942274281,0.0,7.269775007798958,6.773336704273828,96.96326466806737,56.92410219011277,2.96065485770086,11.219786524776776,0.04185010574216815,2.925004396236924,0.0,8.803763056101346,PL,2026-04-23
2026-01-01 20:00:00+00:00,0.000219123855160425,209.83803690559412,0.0,243.06656772896847,12.179563438629897,41.0984051640664,0.0,209.6478645517641,7.32571572340512,2825.6903482389007,1611.5534631847208,88.51656508815468,290.3487329303727,1.213952892194078,22.965108832066882,0.0,8.9804561973071,PL,2026-04-23
2026-01-01 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PL,2026-04-23
2026-01-01 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PL,2026-04-23
2026-01-01 23:00:00+00:00,0.055253546487664916,148.87604197431526,13.596753453169242,13.968582830133016,0.047628270799951286,3.30441043942655,0.11645843583719163,0.2968916423960004,0.0,0.0,9.559136565074168,15.95832847954084,16.602754279227383,1.4201843718256753,2.255319444324301,2.160453871986796,0.7818023954559518,PL,2026-04-23
2026-01-02 00:00:00+00:00,0.04777512757051327,156.79402044720763,14.695879482408948,14.412527780596637,0.01471761725840631,3.49327842200987,0.12177399646091823,0.3120765203615255,0.0,0.0,10.035500777298477,17.328725919822777,16.96774856643803,1.4895753293774496,2.317459362428633,2.1493086015831,0.819632049177092,PL,2026-04-23
2026-01-02 01:00:00+00:00,0.0512616818582469,170.14853417990898,17.85493790369506,15.541865221818913,0.01673438954537239,3.822844640984989,0.13167992662507455,0.338635648460279,0.0,0.0,10.94529399478196,19.33099768524601,18.120500026691595,1.6171391345681299,2.478438975098694,2.211074760734493,0.8900618299822457,PL,2026-04-23
2026-01-02 02:00:00+00:00,0.03726651336881197,121.98253128136848,13.23421493425426,11.349215453059607,0.013944186159391346,2.7692607684703563,0.09558445973917522,0.23866797987443175,0.0,0.0,7.925631058117361,14.181096586165152,13.550825769040731,1.1777019437319816,1.8338834893063587,1.7118343966694964,0.6483411806744082,PL,2026-04-23
2026-01-02 03:00:00+00:00,0.037334438527273396,122.02050534456598,14.231349636584898,11.855276223113403,0.017616193680986443,2.8679327047470347,0.09838950722645895,0.2505775368937218,0.0,0.0,8.352041152343206,13.954654888344365,15.012998555601197,1.218564766142161,1.898811955352532,1.7632800138202154,0.6706670830565462,PL,2026-04-23
2026-01-02 04:00:00+00:00,0.034862536222073866,112.56840239610914,13.301430718652693,11.365641133092302,0.040236857729165354,2.6824416048987203,0.09235923333918107,0.23646039687992398,0.0,0.0,7.8812301927122315,14.446122057622294,15.752820652564013,1.15119588609143,1.8079967939945434,1.6297834408101077,0.6340160992821803,PL,2026-04-23
2026-01-02 05:00:00+00:00,0.028464516023561794,125.7821645315604,8.980557933015813,9.368306096554617,0.11164128813097869,2.922573505795113,0.06748176071501888,0.17272445129761332,0.0,0.0,6.059726714901983,12.06045884001313,13.74251482667767,0.8470956262521958,4.936991943681528,1.2096927550820158,1.8596052102983804,PL,2026-04-23
2026-01-02 06:00:00+00:00,0.33965704250461787,593.9057582053802,33.15641033283834,36.43764841386781,36.17318493078711,10.964211847653623,0.2496625981703038,0.6476576979107135,4.963099069671628,0.0,24.88806490240285,49.61089096789343,57.779880838917734,3.1470265677071394,20.15325104470304,4.38877316888453,48.869822370706856,PL,2026-04-23
2026-01-02 07:00:00+00:00,2.9785735653480687,657.4519405799304,34.28201659000657,38.358588219632786,56.26990652588042,11.015995082384407,0.25381717676017507,0.6585881866522285,8.131168213566488,0.0,29.134861959768482,51.071554787088196,62.632427053504856,3.208148790471093,19.650896477072635,4.662498030887854,69.18901876104536,PL,2026-04-23
2026-01-02 08:00:00+00:00,17.774545435615337,648.5030075315963,38.37953526263828,39.719425507538304,56.10995947041993,11.304641318808043,0.26254348737908173,0.6722276345774169,34.44584436457296,0.0,31.15733749165467,49.993190188980535,64.95093216075527,3.311580639816906,18.186935444118376,4.804106187080515,65.42418787444792,PL,2026-04-23
2026-01-02 09:00:00+00:00,50.82285796212227,850.7315921837928,63.172357868113636,57.739731895904086,53.90881637466847,15.476504990127086,0.40192964757713384,1.038468468488813,11.219957578511323,0.0,48.21618754743361,63.03843993903154,96.33613687366451,5.041340070994169,22.1696871531866,7.478704321836459,61.032287124547565,PL,2026-04-23
2026-01-02 10:00:00+00:00,64.58168185004754,632.0076145528705,61.045282617100554,48.632145178509184,51.6002833550693,10.898669901745425,0.3691734904901647,0.9413269427724524,12.166257252748425,0.0,47.52213472793604,49.91349675366561,83.89674266603767,4.545643895120912,7.729396473462299,6.715629771572063,52.334520570851794,PL,2026-04-23
2026-01-02 11:00:00+00:00,76.10935378790154,674.8741560438777,78.92454187378642,51.62353241211887,51.30555906680574,11.996284537297175,0.4039587060596396,0.9107192071222284,0.0,0.0,50.84023943328216,56.15190688624477,92.57495239038336,4.988881158129721,8.367644672460434,7.558941651176121,52.61932817335421,PL,2026-04-23
2026-01-02 12:00:00+00:00,70.6610057751254,638.8788475910239,78.11417145134145,58.46893285261669,23.639565954129083,13.734919795132534,0.45827507975113724,0.9333196682006513,0.0,0.0,50.837801133423,77.49433408751145,105.19770822869127,5.6852849194505595,9.679079189381596,8.383038242164455,25.858716032056908,PL,2026-04-23
2026-01-02 13:00:00+00:00,57.751472051867786,792.8660310534927,75.16149706429158,65.31914259777616,55.29966279856641,15.065781644249617,0.5022216021138188,1.281614082798375,1.9427793257190535,0.0,56.131778925210284,89.44535767591927,120.59649359079584,6.241330588441326,10.665668653127378,8.983076032315186,59.79609231331507,PL,2026-04-23
2026-01-02 14:00:00+00:00,21.714814243628958,738.7511727452476,59.670141691396054,63.10716453036268,57.4589148785852,14.03469603246238,0.46233549466587387,1.169103998001303,17.390225654758293,0.0,54.78493743145675,85.13536144216704,118.48055345770773,5.749453164401215,9.716963259230479,7.8792243683010526,57.81993760762762,PL,2026-04-23
2026-01-02 15:00:00+00:00,1.7682364715931065,688.4463161680964,58.74990291312158,61.77215735561863,61.46202157393932,13.289702371393961,0.42760859732519774,1.1057524666290866,34.50695010295406,0.0,54.89255682131632,79.72164371748549,111.36205009362777,5.285933960382012,9.040884096052022,7.262513997313895,56.15576929315112,PL,2026-04-23
2026-01-02 16:00:00+00:00,0.5522243605729805,721.8108564104901,59.53350818297667,66.78631421330581,59.02810547860761,14.491659004951192,0.4561778475294755,1.1750294305854823,25.007397841333002,0.0,60.231608061045144,89.23223233975558,120.45978049962278,5.635971543985127,9.662705176853414,8.43312094595822,52.87830866242741,PL,2026-04-23
2026-01-02 17:00:00+00:00,0.4165503797059238,671.2273262766159,42.92321255694759,51.302128691252534,76.49333872323473,11.144746018845856,0.3502184994675604,0.9068826363919942,18.25017498107148,0.0,49.08680837530436,67.93520549644055,93.82048364661294,4.329226081083702,7.4795579578347215,6.05325665233947,64.98088302685068,PL,2026-04-23
2026-01-02 18:00:00+00:00,0.19575582683262446,639.7702695186367,36.72399794462624,43.98707348026098,76.47312045591886,9.367199332760446,0.3038137290759541,0.7399079587739075,9.602732359002871,0.0,43.815382240618824,58.28127189411989,81.99749198124253,3.7699485402683406,6.404733933883007,5.3824544492786774,65.40984635470001,PL,2026-04-23
2026-01-02 19:00:00+00:00,0.17390457621756028,844.1898488905049,44.85711039230059,50.41573371056691,72.07934447589969,16.95087216724429,0.33846325487539736,0.8891017874438801,10.511801398644144,0.0,50.91321503521038,62.327232424368916,96.12913076248567,4.204092084497581,22.41136802370745,6.175265960849472,66.53351505518309,PL,2026-04-23
2026-01-02 20:00:00+00:00,0.24724806773481858,997.9728365124206,59.94362763351261,61.34751696155164,74.70768386144218,16.7062117810613,0.4339891839648589,1.1159521048576855,9.808408098233595,0.0,59.677036461106425,77.97254027807598,118.50545951571978,5.292405595346679,25.022802920814904,7.703270654725542,71.59301036943145,PL,2026-04-23
2026-01-02 21:00:00+00:00,0.2202597911808552,872.8572595008131,44.985751619024036,48.27404805949455,59.82712178102694,14.403655123927832,0.3475254581991752,0.8886875156396508,10.956989403823796,0.0,50.14769250258416,60.10464924757704,94.25968012328755,4.210513539891945,23.790813133332332,6.551278525565535,65.24907467463147,PL,2026-04-23
2026-01-02 22:00:00+00:00,0.12809928953263938,563.9928382676709,18.764928526808088,19.5141973420599,44.2708921962046,5.599235769462884,0.14844855204358265,0.374410667818978,1.7029718327898526,0.0,19.696434134727337,23.939268309169044,37.974272586869155,1.7821706379038729,8.469122885061061,2.549574566707484,54.96813443517061,PL,2026-04-23
2026-01-02 23:00:00+00:00,0.07582055425727041,468.77305059666276,0.0,1.6874461746099052,39.528699470247716,2.242212456773894,0.0,0.0,0.0,0.0,0.0,0.0,2.6441142201373493,0.0,9.505176846010682,0.0,62.81847968130046,PL,2026-04-23
2026-01-03 00:00:00+00:00,0.056885509230609047,387.45064768820157,0.0,2.014015505829295,24.561312577546637,2.5975292401958248,0.0,0.0,0.0,0.0,0.0,0.0,3.1715927329882327,0.0,11.372706075957332,0.0,49.425310670050514,PL,2026-04-23
2026-01-03 01:00:00+00:00,0.0358190943729823,192.86393110221516,0.0,0.0,11.930620138137035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.59462966527482,PL,2026-04-23
