,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Gas,Waste,Fossil Coal-derived gas,Fossil Oil shale,Fossil Peat,Other,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.013488183524127272,468.6515957360042,0.0,3391.586728540269,0.0,0.0,0.0,766.8753399881166,0.06786507433523156,0.0,0.0,0.0,0.0,84.55498247775097,FI,2026-04-23
2026-01-01 01:00:00+00:00,0.01316481647825326,405.2911496561692,0.0,1909.0270137489547,0.0,0.0,0.0,764.6305827754633,0.078932518499163,0.0,0.0,0.0,0.0,75.40915648443527,FI,2026-04-23
2026-01-01 02:00:00+00:00,0.010118218057093818,507.275231200131,0.0,2580.124567212691,0.0,0.0,0.0,768.9845723391302,0.09069551199635915,0.0,0.0,0.0,0.0,79.48981551799437,FI,2026-04-23
2026-01-01 03:00:00+00:00,0.012830431771320048,379.5887437614904,0.0,895.7768172504288,0.0,0.0,0.0,761.3101329796541,0.09083491519518617,0.0,0.0,0.0,0.0,62.19564066146015,FI,2026-04-23
2026-01-01 04:00:00+00:00,0.0019137434832282086,392.0673267219358,0.0,885.0917223368768,0.0,0.0,0.0,720.9691646392694,0.08625322741310236,0.0,0.0,0.0,0.0,59.358619331021686,FI,2026-04-23
2026-01-01 05:00:00+00:00,0.013225434814416242,650.1141115347189,0.0,1795.8041946967746,0.0,0.0,0.0,715.8868966345959,0.0428354164029676,0.0,0.0,0.0,0.0,74.01373628269334,FI,2026-04-23
2026-01-01 06:00:00+00:00,0.003627693865422374,694.1798351234322,0.0,1799.6353472656551,0.0,0.0,0.0,757.2810944069206,0.09069234663555935,0.0,0.0,0.0,0.0,73.73440316349068,FI,2026-04-23
2026-01-01 07:00:00+00:00,0.042810031952421904,1056.8273062574508,0.0,2974.315337627431,0.0,0.0,0.0,776.3119728640004,0.10527057037480797,0.0,0.0,0.0,0.0,88.22230264879103,FI,2026-04-23
2026-01-01 08:00:00+00:00,0.18572267605082754,645.6132302780493,0.0,1406.0198210612043,0.0,0.0,0.0,789.1383350990155,0.10982287020088356,0.0,0.0,0.0,0.0,72.3330680154792,FI,2026-04-23
2026-01-01 09:00:00+00:00,0.59913594821499,890.8797012352023,0.0,2306.544066243502,0.0,0.0,0.0,790.9235040066715,0.16013090721206558,0.0,0.0,0.0,0.0,82.74346165919742,FI,2026-04-23
2026-01-01 10:00:00+00:00,2.723897392124967,858.0160987841543,0.0,2329.3759231468007,0.0,0.0,0.0,792.5001056724859,0.20168604566183831,0.0,0.0,0.0,0.0,76.30728895877292,FI,2026-04-23
2026-01-01 11:00:00+00:00,3.456526066559161,853.7097691544928,0.0,2250.6906314922458,0.0,0.0,0.0,802.2973239635867,0.22897339196677596,0.0,0.0,0.0,0.0,77.61677593114918,FI,2026-04-23
2026-01-01 12:00:00+00:00,2.239529326098227,888.2406030753962,0.0,2137.278710887667,0.0,0.0,0.0,814.6214848025246,0.1657030089568584,0.0,0.0,0.0,0.0,75.80396889935766,FI,2026-04-23
2026-01-01 13:00:00+00:00,1.2571594582881647,707.9990043585728,0.0,1969.8793232161602,0.0,0.0,0.0,820.691109566473,0.12805291146301653,0.0,0.0,0.0,0.0,74.49535048904272,FI,2026-04-23
2026-01-01 14:00:00+00:00,0.22296095866431367,1040.0059489412984,0.0,2853.669969630554,0.0,0.0,0.0,827.5225848876222,0.10332730886687963,0.0,0.0,0.0,0.0,83.45020827299399,FI,2026-04-23
2026-01-01 15:00:00+00:00,0.01772677136404223,645.3084799340193,0.0,2116.6851511272466,0.0,0.0,0.0,827.7659575384091,0.14207248452055704,0.0,0.0,0.0,0.0,80.45561214444034,FI,2026-04-23
2026-01-01 16:00:00+00:00,0.01545036856709067,525.8987609771731,0.0,1820.5545391225298,0.0,0.0,0.0,827.2882108741995,0.20643498711770417,0.0,0.0,0.0,0.0,81.83660367041284,FI,2026-04-23
