,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Storage,Fossil Hard coal,Fossil Gas,Fossil Oil,Other,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,45.54985638079606,0.6114074681986048,0.0,32.91410203802489,0.0,28.175694159485705,0.0,223.1637258924908,0.0,42.08521406100397,IT_SARD,2026-04-23
2026-01-01 01:00:00+00:00,0.0,54.00225988700565,0.0,0.0,44.71476997578692,0.0,0.0,0.0,303.790799031477,0.0,61.49217110573042,IT_SARD,2026-04-23
2026-01-01 02:00:00+00:00,0.0,39.82801135355685,0.0,0.0,54.8210040801845,0.0,0.0,0.0,347.598279226539,0.0,76.2527053397197,IT_SARD,2026-04-23
2026-01-01 03:00:00+00:00,0.0,18.614843892641957,0.0,0.0,36.337958736534596,0.0,0.0,0.0,203.8158207047654,0.0,46.48137666605806,IT_SARD,2026-04-23
2026-01-01 04:00:00+00:00,0.0,7.626860354654845,0.0,0.0,12.276955351488283,0.0,11.977517416086132,0.0,64.59052406586447,0.0,14.77814281190627,IT_SARD,2026-04-23
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT_SARD,2026-04-23
2026-01-01 06:00:00+00:00,2.731921487603306,29.651342975206614,0.0,0.0,27.019369834710744,0.0,1.6991219008264464,0.0,104.51265495867769,0.0,27.885588842975206,IT_SARD,2026-04-23
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT_SARD,2026-04-23
2026-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT_SARD,2026-04-23
2026-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT_SARD,2026-04-23
2026-01-01 10:00:00+00:00,89.41764660073204,11.782688264153883,0.0,0.0,7.725955922435948,0.0,0.0,0.0,36.28050774861771,0.0,10.29320146406043,IT_SARD,2026-04-23
2026-01-01 11:00:00+00:00,168.14150101419878,43.34182555780933,0.0,0.0,16.62020283975659,0.0,0.0,0.0,80.99991886409735,0.0,22.896551724137932,IT_SARD,2026-04-23
2026-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT_SARD,2026-04-23
2026-01-01 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT_SARD,2026-04-23
2026-01-01 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT_SARD,2026-04-23
2026-01-01 15:00:00+00:00,2.7148310967144837,66.87242017584452,0.0,0.0,12.488223044886626,0.0,0.0,0.0,92.60201295696437,0.0,14.572512725590006,IT_SARD,2026-04-23
