,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Gas,Waste,Other,bidding_zone,source_download_date
2026-01-02 08:00:00+00:00,2.1046473445119126e-05,73.77401394891506,0.0,264.7186073021741,0.0,0.0,0.0,0.0,0.0,0.0,1.9073577024373658,SE_2,2026-04-23
2026-01-02 09:00:00+00:00,0.0002618680735470879,60.479703516342894,0.0,254.22646388318555,0.0,0.0,0.0,0.0,0.0,0.0,2.0685707323980322,SE_2,2026-04-23
2026-01-02 10:00:00+00:00,0.000471605263506237,59.33452575856316,0.0,257.80384732094825,0.0,0.0,0.0,0.0,0.0,0.0,2.0861553152251093,SE_2,2026-04-23
2026-01-02 11:00:00+00:00,0.0003396721068500933,35.18244684892398,0.0,173.42624841006437,0.5511049980605597,0.12382700075331685,0.0,0.0,0.34940103491315155,0.0,1.341632035177829,SE_2,2026-04-23
2026-01-02 12:00:00+00:00,3.964941794223293e-05,19.33284557170732,0.0,98.20472436745654,0.5276911539378025,0.12160355449702795,0.0,0.0,0.33227763147214956,0.0,0.7308180715112375,SE_2,2026-04-23
2026-01-02 13:00:00+00:00,0.0,14.754076807303534,0.0,65.34035490009892,0.018475545197965054,0.004159633068700341,0.0,0.0,0.01124192150098545,0.0,0.5216911928298968,SE_2,2026-04-23
2026-01-02 14:00:00+00:00,0.0,24.87225097185709,0.0,110.70708697959897,0.1610010085162371,0.0330711930779501,0.0,0.0,0.09595473379655764,0.0,0.8556351131531964,SE_2,2026-04-23
2026-01-02 15:00:00+00:00,0.0,22.01162061804161,0.0,106.79472343202033,0.09366357854766738,0.0197595724328502,0.0,0.0,0.05731361142197858,0.0,0.8479191875355382,SE_2,2026-04-23
2026-01-02 16:00:00+00:00,0.0,21.24105696591546,0.0,102.64695391658978,0.10783727377909162,0.023579850032923153,0.0,0.0,0.06635625327314619,0.0,0.8142157404096023,SE_2,2026-04-23
2026-01-02 17:00:00+00:00,0.0,16.369060648695722,0.0,73.46615754835325,0.06822273943125183,0.016017987362092333,0.0,0.0,0.041801551182233276,0.0,0.5887395249754448,SE_2,2026-04-23
2026-01-02 18:00:00+00:00,0.0,22.322096469347166,0.0,86.9159321261593,0.26803326002395067,0.05725854639695055,0.0,0.0,0.16815001775157357,0.0,0.6935295803210615,SE_2,2026-04-23
2026-01-02 19:00:00+00:00,0.0,19.540088006722343,0.0,64.7447601967839,0.3423035275418151,0.07406227977194106,0.0,0.0,0.21671559270588922,0.0,0.5070703964741073,SE_2,2026-04-23
2026-01-02 20:00:00+00:00,0.0,20.162745953216177,0.0,68.89869434421372,0.19218610144263581,0.044379153532548246,0.0,0.0,0.1227111853571336,0.0,0.5542832622377746,SE_2,2026-04-23
2026-01-02 21:00:00+00:00,0.0,21.770665753322827,0.0,83.98518535499782,0.29848263552945187,0.07287067639988896,0.0,0.0,0.1963498942018464,0.0,0.6764456855481492,SE_2,2026-04-23
2026-01-02 22:00:00+00:00,0.0,2.940662890100227,0.0,20.4108343576404,1.9192303080973308,0.4405043154140513,0.0,0.0,1.2887681287479886,0.0,0.0,SE_2,2026-04-23
2026-01-02 23:00:00+00:00,0.0,46.659656433982555,0.0,187.0337794093228,1.3243528221014966,0.2268113657823623,0.0,0.0,0.810327693236758,0.0,0.8700722755740773,SE_2,2026-04-23
2026-01-03 00:00:00+00:00,0.0,40.48794333738354,0.0,153.24616317670294,0.17052478867340118,0.03407264501545415,0.0,0.0,0.1032766498026519,0.0,0.7830194024219957,SE_2,2026-04-23
2026-01-03 01:00:00+00:00,0.0,19.158230908143285,0.0,77.31136004051947,0.0,0.0,0.0,0.0,0.0,0.0,0.40540905133724486,SE_2,2026-04-23
2026-01-03 02:00:00+00:00,0.0,24.15676649673894,0.0,95.58181719997768,0.006521097218185435,0.0014823926932642825,0.0,0.0,0.00393949971829187,0.0,0.4994733136536532,SE_2,2026-04-23
