,Solar,Wind Onshore,Biomass,Hydro Run-of-river and poundage,Other renewable,Storage,Fossil Gas,Waste,Fossil Coal-derived gas,Fossil Oil shale,Fossil Peat,Other,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,520.0534736831362,9.555862349575111,37.874912986467834,0.0,0.20187820975960707,13.73961621590615,47.8811816457068,0.0,0.0,0.0,17.493074909448236,LV,2026-04-23
2026-01-01 01:00:00+00:00,0.0,605.4567495698653,9.908236350464785,32.7171301636908,0.0,0.0,14.288298512514451,49.74635749639987,0.0,0.0,0.0,15.158227907064784,LV,2026-04-23
2026-01-01 02:00:00+00:00,0.0,671.3991096285814,10.036350537763463,32.78500817319299,0.0,0.0,14.103733750885047,42.35777005944077,0.0,0.0,0.0,15.31802785013629,LV,2026-04-23
2026-01-01 03:00:00+00:00,0.0,663.449931321068,9.514238957777854,11.681081675221764,0.0,0.15565640907397668,13.22857819686242,28.411179711769908,0.0,0.0,0.0,15.559333728226163,LV,2026-04-23
2026-01-01 04:00:00+00:00,0.0,638.9638047498102,10.102940925283344,11.991388960640732,0.0,0.0,14.036390377732815,30.781478660447004,0.0,0.0,0.0,18.17399632608587,LV,2026-04-23
2026-01-01 05:00:00+00:00,0.0,649.27667229041,10.149001420891786,12.535821055523943,0.0,0.0,14.45142961306161,28.69052512338746,0.0,0.0,0.0,20.14655049672517,LV,2026-04-23
2026-01-01 06:00:00+00:00,1.155439483717337,671.5368428138636,10.795297062230397,13.35350302941102,0.0,0.0,15.428430595002919,33.89480744862646,0.0,0.0,0.0,23.960679567148198,LV,2026-04-23
2026-01-01 07:00:00+00:00,11.830302380851284,638.5561257059366,11.90204135929595,14.114033268414406,0.0,0.0,16.154557876595213,33.163271073040995,0.0,0.0,0.0,20.50466833586563,LV,2026-04-23
2026-01-01 08:00:00+00:00,26.364375276428582,638.5992037610087,10.924788102399107,12.935230469328102,0.0,0.0,15.36153171987338,31.375391042521407,0.0,0.0,0.0,19.48947962844088,LV,2026-04-23
2026-01-01 09:00:00+00:00,35.8174177413488,644.9612472466431,10.94333630206631,13.351287290724576,0.0,2.2681568066219993,15.501788987147357,30.50459999198001,0.0,0.0,0.0,21.802165633467993,LV,2026-04-23
2026-01-01 10:00:00+00:00,34.58117452167614,685.9061756061774,11.042454642379127,13.475083190486172,0.0,0.34920556395092756,15.513716094532802,30.71366417149004,0.0,0.0,0.0,21.143526209307325,LV,2026-04-23
2026-01-01 11:00:00+00:00,21.621762691185584,700.8849990521455,9.490494435525152,11.809714976827726,0.0,0.0,13.3938684786118,26.52304926207238,0.0,0.0,0.0,19.201111103631767,LV,2026-04-23
