,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Fossil Peat,Other,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.017411045552088122,1633.03019823291,0.0,0.0,2987.102811418338,706.5260876700032,0.0,0.0,0.0,0.0,0.24553390066976252,0.0,10.160287887353578,0.0,60.24266984517432,SE_3,2026-04-23
2026-01-01 01:00:00+00:00,0.02223375007686316,2192.9247591571348,0.0,0.0,3388.2303358708864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1976712219026,SE_3,2026-04-23
2026-01-01 02:00:00+00:00,0.00823171258336017,836.1066004367507,0.0,0.0,1489.7140666648256,1148.4420286070006,0.0,0.0,0.0,0.0,0.3998472545051203,0.0,17.153983514618627,0.0,27.300241809716354,SE_3,2026-04-23
2026-01-01 03:00:00+00:00,0.021983945757821404,1772.7412972282916,0.0,0.0,2034.0866859790935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.00003284685634,SE_3,2026-04-23
2026-01-01 04:00:00+00:00,0.009028761316047327,1151.7726065053255,0.0,0.0,1412.0303274541711,401.37590797109726,0.0,0.0,0.0,0.0,0.14031327286564124,0.0,5.543908718931812,0.0,40.77790731629285,SE_3,2026-04-23
2026-01-01 05:00:00+00:00,0.009379815590908261,1358.0592588422796,0.0,0.0,1398.6238959647,130.41157281586987,0.0,0.0,0.0,0.0,0.04531844674270559,0.0,1.9775313343237262,0.0,46.54804278049288,SE_3,2026-04-23
2026-01-01 06:00:00+00:00,0.009871728538590656,1793.937313639765,0.0,0.0,1785.22266782388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.755146807816374,SE_3,2026-04-23
2026-01-01 07:00:00+00:00,0.0062341093722225495,1200.5621764149519,0.0,0.0,1488.250441255152,610.1393053587265,0.0,0.0,0.0,0.0,0.20923419030585583,0.0,10.015355384591361,0.0,42.117253286899775,SE_3,2026-04-23
2026-01-01 08:00:00+00:00,0.01538814111775113,2167.835156245426,0.0,0.0,2302.6051893142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.61926629925652,SE_3,2026-04-23
2026-01-01 09:00:00+00:00,0.3206077719368986,1383.330498908435,0.0,0.0,1652.662518062486,684.5616703580957,0.0,0.0,0.0,0.0,0.23563817541266702,0.0,11.242836083296691,0.0,45.92123064033711,SE_3,2026-04-23
2026-01-01 10:00:00+00:00,0.15624886419325293,1834.8846232883932,0.0,0.0,1908.2528921855094,213.215106805654,0.0,0.0,0.0,0.0,0.07306589039724698,0.0,3.4532778093901597,0.0,60.51478515646225,SE_3,2026-04-23
2026-01-01 11:00:00+00:00,0.07840401213203581,2910.2648908486667,0.0,0.0,2855.4186059643775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.48809917482323,SE_3,2026-04-23
2026-01-01 12:00:00+00:00,0.06264406098600138,3081.3483030736647,0.0,0.0,2963.129208015249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.7348448500994,SE_3,2026-04-23
2026-01-01 13:00:00+00:00,0.04694463136579067,3148.7256483290557,0.0,0.0,3044.0134702239366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.38893681564186,SE_3,2026-04-23
2026-01-01 14:00:00+00:00,0.014439592015816703,3041.0409606252606,0.0,0.0,3033.481601308335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.83799847438861,SE_3,2026-04-23
2026-01-01 15:00:00+00:00,0.13373977083624364,2736.497269040663,19.130647952906337,0.9384378251132374,2941.581234834329,110.72249001302859,0.013688879697423283,0.0,0.0,1.0954957908533047,0.06865028941696698,0.009294536671758995,2.19669769281899,0.0,79.18735337366527,SE_3,2026-04-23
2026-01-01 16:00:00+00:00,0.017388925993291945,3800.478113668188,0.0,0.0,4103.5926100900615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.23688731575655,SE_3,2026-04-23
2026-01-01 17:00:00+00:00,0.017964637740142293,3404.7377021931884,0.0,0.0,3433.8426395254633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.50169364360853,SE_3,2026-04-23
2026-01-01 18:00:00+00:00,0.025434456001299868,3665.62727537283,0.0,0.0,3718.5863681924916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.81092197867855,SE_3,2026-04-23
