,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Other,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.33648520403941584,6.021895271366348,34.79393730292192,0.41517178802538585,121.34288708378587,0.021223118039426496,0.5986578707870326,0.0,922.9925459414337,325.6954888496015,1.3866534659350598,256.2912226042589,0.0,0.8510833931501125,2.102748106655277,HR,2026-04-23
2026-01-01 01:00:00+00:00,3.073941328337767,0.822604017442501,53.46926113376257,0.0,213.66056979361804,0.0,0.0,0.0,1521.83907974277,581.2346807455567,0.0,375.8217986005069,0.0,0.303064638005132,0.0,HR,2026-04-23
2026-01-01 02:00:00+00:00,0.04799268177737637,43.85053040896522,72.53178544333034,3.741906531742795,24.49230591474258,0.19117148820551347,5.428916243762128,0.0,920.7702559388466,112.78511888180094,12.666881199987541,351.44175768702434,0.0,6.072952964194002,18.60342461562048,HR,2026-04-23
2026-01-01 03:00:00+00:00,0.3955875324461291,0.565125046351613,40.31225330641505,0.0,99.49968316097399,0.0,0.0,0.3955875324461291,1324.2763586172796,503.95967883482336,0.0,316.3570009476329,0.0,0.26372502163075273,0.0,HR,2026-04-23
2026-01-01 04:00:00+00:00,0.2376013592405001,0.350149371512316,23.885189271018696,0.0,108.74639052396783,0.0,0.0,0.0,878.9499545040942,336.7811687213636,0.0,203.87447156304594,0.0,0.175074685756158,0.0,HR,2026-04-23
2026-01-01 05:00:00+00:00,0.2627466471707309,0.3344048236718393,26.955417393833617,0.0,126.667769995126,0.0,0.0,0.0,839.4635946810682,320.25233381287035,0.0,205.12153023442286,0.0,0.16720241183591966,0.0,HR,2026-04-23
2026-01-01 06:00:00+00:00,2.75324652184965,13.29432296790088,44.982258889968534,1.7606210058175151,84.10062078000546,0.0900104466879487,2.8608412908993244,0.0,724.8821553502985,177.92961804778815,5.633107486884016,241.84495520187016,0.0,2.906374357860751,8.911867652168846,HR,2026-04-23
2026-01-01 07:00:00+00:00,18.99356915994585,4.1672794124496715,36.08817965956765,1.0273165114871528,108.20745933597928,0.05253323070104759,1.614559122785746,0.0,726.3025917561267,218.7515641953326,3.2988382739710302,210.51893205300388,0.0,1.8643976796647905,5.662779608984529,HR,2026-04-23
2026-01-01 08:00:00+00:00,165.1898051552959,6.564672057618693,61.34987788396538,3.2829633349250673,32.088666846178846,0.16757465466966867,4.758551266321873,0.0,770.8590391890509,105.82977580288136,10.61349246718259,313.53103665942126,0.0,5.4642665339439205,20.975278148544483,HR,2026-04-23
2026-01-01 09:00:00+00:00,310.30338951108666,5.0870875177719,54.37406972236482,3.010298295636394,20.54574467075973,0.15376582812331574,4.401546830029913,0.0,660.5371565047104,77.7906824033299,9.635675505134941,249.85319772324297,0.0,4.541833614336115,20.540551873472925,HR,2026-04-23
2026-01-01 10:00:00+00:00,405.8636957348081,6.14104390381813,51.65092030201552,2.812805951943411,22.398013463146842,0.1436892595080276,3.8909927978506125,0.0,643.1896697861764,82.59398331470842,8.857733272079741,176.34156350579335,0.0,4.288619612887639,19.502269095263937,HR,2026-04-23
2026-01-01 11:00:00+00:00,445.25734824532424,5.5949312164201475,45.674996361972426,2.3949181219039852,22.974798313916875,0.1222904790780738,3.332289741627431,0.0,574.3747056436416,80.54071086988526,7.726317500682708,171.38254551889605,0.0,3.7767722183423227,16.147375768308958,HR,2026-04-23
2026-01-01 12:00:00+00:00,362.1021309000496,10.430482953527557,36.78132397490771,1.8049206714516537,26.239150954123186,0.0728398663027703,2.565091932410904,0.0,498.1745612491749,85.75898665984766,5.801154742632939,162.3177174520189,0.0,2.8830275623969976,11.2436110811551,HR,2026-04-23
2026-01-01 13:00:00+00:00,211.02735165691757,0.31624406659357507,18.28816297300894,0.0,86.8976988839809,0.0,0.0,0.0,542.566832495738,223.43028968331924,0.0,134.47314773152166,0.0,0.10027250891991406,0.0,HR,2026-04-23
2026-01-01 14:00:00+00:00,132.68217639429312,0.3906472114137484,18.00807047124946,0.0,213.17082144401212,0.0,0.0,0.05361824470384782,538.6718655425855,292.50284435797664,0.0,133.20303934284482,0.0,0.09191699092088197,0.0,HR,2026-04-23
2026-01-01 15:00:00+00:00,12.412604639292304,5.686637503931785,12.085120563306798,0.421509008141357,104.01700113559926,0.016000499678131424,0.6631896857588947,0.13293705831847302,212.71438394561466,99.35142650393828,1.375256244149533,85.20970513829218,0.0,0.7191820385603662,2.0950460354180507,HR,2026-04-23
2026-01-01 16:00:00+00:00,0.8281267735128148,6.709676811087252,12.002878245713925,0.406009746940795,129.42014414602608,0.015397979634471646,0.6560776281097662,36.73429077786246,220.2773672351141,110.58196302431608,1.3200568510319588,81.90833697410969,0.0,0.684267457175421,2.055406349365175,HR,2026-04-23
2026-01-01 17:00:00+00:00,0.2555361034930117,7.847879628928077,11.935246303330592,0.43610602588582964,106.50549448301393,0.01655764997184387,0.7006156308376955,29.147936029473335,203.96672201876302,94.97258189125871,1.4290260979162148,83.5755632795098,0.0,0.724677867187047,2.1860569904308296,HR,2026-04-23
