,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Other,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,4.258560516283464,2.4453405204039416,73.60852689828481,38.11787093324957,0.0,0.0,0.09125881046842862,360.87835766627063,0.0,1.4264486369022993,0.0,2.173636018136837,ME,2026-04-23
2026-01-01 01:00:00+00:00,0.0,3.90408411813437,2.4335462176271307,70.39434409746332,32.47760866783667,0.0,0.0,0.09284625720288926,364.11484982134016,0.0,1.4195686269491599,0.0,2.1631521934463387,ME,2026-04-23
2026-01-01 02:00:00+00:00,0.0,4.204011345719893,1.9429861360931249,72.15579495678938,28.94858542659423,0.0,0.0,0.10017211390480005,341.7062138719575,0.0,1.1657916816558749,0.0,1.776444467285143,ME,2026-04-23
2026-01-01 03:00:00+00:00,0.0,5.945343557876427,1.988390216296786,71.41589053068583,32.163780675059904,0.0,0.0,0.10014657817350851,342.3754575429439,0.0,1.1930341297780716,0.0,1.8179567691856329,ME,2026-04-23
2026-01-01 04:00:00+00:00,0.0,4.5322590923821,1.8982716236866333,72.64435494066862,37.832205154789655,0.0,0.0,0.09774775588346847,326.1206358310069,0.0,1.13896297421198,0.0,1.7355626273706362,ME,2026-04-23
2026-01-01 05:00:00+00:00,0.0,4.489158252304008,1.8579634703147867,72.47560975609755,41.03444810580495,0.0,0.0,0.09469153515064561,316.8099639749223,0.0,1.5394554468322519,0.0,1.6987094585735194,ME,2026-04-23
2026-01-01 06:00:00+00:00,0.27909387703136507,4.78958996398432,1.8583029269745943,44.60004728863345,38.13721044572937,0.0,0.0,0.06202086156252557,259.7695062595037,0.0,1.8052085576324632,0.0,1.6990198189482004,ME,2026-04-23
2026-01-01 07:00:00+00:00,3.0391354011071083,4.319353133345081,1.8313429396375267,41.98634566382567,36.5371252382647,0.0,0.0,0.059537826201564004,255.51214983435364,0.0,2.040639275596101,0.0,1.6743706876685958,ME,2026-04-23
2026-01-01 08:00:00+00:00,8.593575607865056,3.4461124679043875,1.5050534259126997,49.376547272383036,38.04664258804017,0.0,0.0,0.08568260293361941,267.05833135135316,0.0,2.5502294161298527,0.0,1.3378252674779554,ME,2026-04-23
2026-01-01 09:00:00+00:00,11.635028898567398,4.080354952099632,1.8739909201452667,49.83434227225828,46.04417389643787,0.0,0.0,0.10405310397092796,331.9101938027595,0.0,3.9041477503026387,0.0,1.613714403458424,ME,2026-04-23
2026-01-01 10:00:00+00:00,11.561063723030605,5.261908039860382,2.4723508487604735,57.961866532865024,47.3600794122671,0.0,0.0,0.11480180632212743,402.507495028285,0.0,5.5627894097110655,0.0,2.197645198898199,ME,2026-04-23
2026-01-01 11:00:00+00:00,12.261430070454205,7.135591516541092,2.414646050552158,60.300916169195915,43.77335211422517,0.0,0.0,0.1109631680584091,388.62864135117866,0.0,5.286117029587158,0.0,2.088342530207272,ME,2026-04-23
2026-01-01 12:00:00+00:00,10.146864686468646,6.8607028025625745,2.1366804295437674,65.18835454974068,35.95134768621736,0.0,0.0,0.11409712399811409,372.8357980279136,0.0,4.926235434781463,0.0,1.8399192587737996,ME,2026-04-23
