,SE_3_DK_1,DK_1_SE_3,SE_3_FI,FI_SE_3,SE_3_NO_1,NO_1_SE_3,SE_3_SE_2,SE_2_SE_3,SE_3_SE_4,SE_4_SE_3,SE_3_DK_1_net_export,SE_3_FI_net_export,SE_3_NO_1_net_export,SE_3_SE_2_net_export,SE_3_SE_4_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,527.175,0.0,1200.0,0.0,0.0,1265.4,0.0,4131.925,2840.65,0.0,527.175,1200.0,-1265.4,-4131.925,2840.65,-829.5000000000005,None,SE_3,2026-04-23
2026-01-01 01:00:00+00:00,438.325,0.0,1200.0,0.0,1229.075,0.0,0.0,5667.375,2216.5,0.0,438.325,1200.0,1229.075,-5667.375,2216.5,-583.4749999999999,None,SE_3,2026-04-23
2026-01-01 02:00:00+00:00,473.8,0.0,1200.0,0.0,0.0,1810.725,0.0,1708.4,2615.8,0.0,473.8,1200.0,-1810.725,-1708.4,2615.8,770.4750000000001,None,SE_3,2026-04-23
2026-01-01 03:00:00+00:00,733.275,0.0,1187.575,0.0,874.575,0.0,0.0,3872.85,1905.875,0.0,733.275,1187.575,874.575,-3872.85,1905.875,828.4500000000003,None,SE_3,2026-04-23
2026-01-01 04:00:00+00:00,733.15,0.0,1122.625,0.0,871.875,1465.075,0.0,2418.45,1942.675,0.0,733.15,1122.625,-593.2,-2418.45,1942.675,786.8000000000002,None,SE_3,2026-04-23
2026-01-01 05:00:00+00:00,729.55,0.0,1114.875,0.0,543.8,735.9,0.0,2743.575,1777.05,0.0,729.55,1114.875,-192.10000000000002,-2743.575,1777.05,685.8,None,SE_3,2026-04-23
2026-01-01 06:00:00+00:00,716.925,0.0,1166.6,0.0,541.55,0.0,0.0,3639.925,1598.9,0.0,716.925,1166.6,541.55,-3639.925,1598.9,384.0499999999997,None,SE_3,2026-04-23
2026-01-01 07:00:00+00:00,692.175,0.0,1185.975,0.0,0.0,844.6,0.0,2506.7,1364.8,0.0,692.175,1185.975,-844.6,-2506.7,1364.8,-108.35000000000014,None,SE_3,2026-04-23
2026-01-01 08:00:00+00:00,732.95,0.0,1200.0,0.0,1819.65,890.1,0.0,4546.075,1177.125,0.0,732.95,1200.0,929.5500000000001,-4546.075,1177.125,-506.4499999999998,None,SE_3,2026-04-23
2026-01-01 09:00:00+00:00,733.25,0.0,1193.675,0.0,0.0,922.025,0.0,2856.25,928.8,0.0,733.25,1193.675,-922.025,-2856.25,928.8,-922.55,None,SE_3,2026-04-23
2026-01-01 10:00:00+00:00,732.85,0.0,1196.6,0.0,683.375,981.85,0.0,3722.075,657.025,0.0,732.85,1196.6,-298.475,-3722.075,657.025,-1434.0749999999998,None,SE_3,2026-04-23
2026-01-01 11:00:00+00:00,732.875,0.0,1200.0,0.0,1312.1,0.0,0.0,5854.25,942.425,0.0,732.875,1200.0,1312.1,-5854.25,942.425,-1666.8500000000001,None,SE_3,2026-04-23
2026-01-01 12:00:00+00:00,732.925,0.0,1200.0,0.0,1347.625,0.0,0.0,6139.275,1131.925,0.0,732.925,1200.0,1347.625,-6139.275,1131.925,-1726.7999999999995,None,SE_3,2026-04-23
2026-01-01 13:00:00+00:00,638.625,0.0,1200.0,0.0,1335.5,0.0,0.0,6284.175,1172.0,0.0,638.625,1200.0,1335.5,-6284.175,1172.0,-1938.0500000000002,None,SE_3,2026-04-23
