,IT_SUD_IT_CSUD,IT_CSUD_IT_SUD,IT_SUD_IT_CALA,IT_CALA_IT_SUD,IT_SUD_GR,GR_IT_SUD,IT_SUD_IT_CSUD_net_export,IT_SUD_IT_CALA_net_export,IT_SUD_GR_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,1473.5,0.0,0.0,466.5,0.0,500.0,1473.5,-466.5,-500.0,507.0,None,IT_SUD,2026-04-23
2026-01-01 01:00:00+00:00,1566.75,0.0,0.0,523.0,0.0,500.0,1566.75,-523.0,-500.0,543.75,None,IT_SUD,2026-04-23
2026-01-01 02:00:00+00:00,1730.75,0.0,0.0,618.5,0.0,500.0,1730.75,-618.5,-500.0,612.25,None,IT_SUD,2026-04-23
2026-01-01 03:00:00+00:00,1716.25,0.0,0.0,801.5,0.0,500.0,1716.25,-801.5,-500.0,414.75,None,IT_SUD,2026-04-23
2026-01-01 04:00:00+00:00,1507.25,0.0,0.0,660.75,0.0,500.0,1507.25,-660.75,-500.0,346.5,None,IT_SUD,2026-04-23
2026-01-01 05:00:00+00:00,1318.75,0.0,0.0,460.0,0.0,500.0,1318.75,-460.0,-500.0,358.75,None,IT_SUD,2026-04-23
2026-01-01 06:00:00+00:00,1651.0,0.0,0.0,560.25,0.0,500.0,1651.0,-560.25,-500.0,590.75,None,IT_SUD,2026-04-23
2026-01-01 07:00:00+00:00,1985.0,0.0,0.0,665.0,0.0,500.0,1985.0,-665.0,-500.0,820.0,None,IT_SUD,2026-04-23
2026-01-01 08:00:00+00:00,1741.5,0.0,123.75,71.5,0.0,500.0,1741.5,52.25,-500.0,1293.75,None,IT_SUD,2026-04-23
2026-01-01 09:00:00+00:00,2336.25,0.0,74.25,55.75,0.0,500.0,2336.25,18.5,-500.0,1854.75,None,IT_SUD,2026-04-23
2026-01-01 10:00:00+00:00,2685.5,0.0,40.75,67.75,42.0,500.0,2685.5,-27.0,-458.0,2200.5,None,IT_SUD,2026-04-23
2026-01-01 11:00:00+00:00,2856.5,0.0,168.0,0.0,0.0,500.0,2856.5,168.0,-500.0,2524.5,None,IT_SUD,2026-04-23
2026-01-01 12:00:00+00:00,2867.25,0.0,0.0,113.25,0.0,500.0,2867.25,-113.25,-500.0,2254.0,None,IT_SUD,2026-04-23
2026-01-01 13:00:00+00:00,2814.25,0.0,0.0,114.75,0.0,500.0,2814.25,-114.75,-500.0,2199.5,None,IT_SUD,2026-04-23
2026-01-01 14:00:00+00:00,2759.5,0.0,0.0,465.25,1.0,501.0,2759.5,-465.25,-500.0,1794.25,None,IT_SUD,2026-04-23
2026-01-01 15:00:00+00:00,2023.0,0.0,0.0,1089.0,350.0,298.0,2023.0,-1089.0,52.0,986.0,None,IT_SUD,2026-04-23
2026-01-01 16:00:00+00:00,1875.75,0.0,0.0,1029.75,350.0,250.0,1875.75,-1029.75,100.0,946.0,None,IT_SUD,2026-04-23
2026-01-01 17:00:00+00:00,2156.75,0.0,0.0,992.25,236.0,272.0,2156.75,-992.25,-36.0,1128.5,None,IT_SUD,2026-04-23
2026-01-01 18:00:00+00:00,2443.25,0.0,0.0,1196.75,374.0,174.0,2443.25,-1196.75,200.0,1446.5,None,IT_SUD,2026-04-23
2026-01-01 19:00:00+00:00,2349.75,0.0,0.0,1097.25,500.0,258.0,2349.75,-1097.25,242.0,1494.5,None,IT_SUD,2026-04-23
2026-01-01 20:00:00+00:00,2570.25,0.0,0.0,940.75,275.0,252.0,2570.25,-940.75,23.0,1652.5,None,IT_SUD,2026-04-23
2026-01-01 21:00:00+00:00,2789.75,0.0,0.0,788.25,48.0,322.0,2789.75,-788.25,-274.0,1727.5,None,IT_SUD,2026-04-23
2026-01-01 22:00:00+00:00,2763.75,0.0,0.0,268.0,53.0,512.0,2763.75,-268.0,-459.0,2036.75,None,IT_SUD,2026-04-23
