,SK_CZ,CZ_SK,SK_HU,HU_SK,SK_PL,PL_SK,SK_CZ_net_export,SK_HU_net_export,SK_PL_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,14.075,36.575,2022.6,21.375,117.7,1304.2749999999999,-22.500000000000004,2001.225,-1186.5749999999998,792.1500000000001,None,SK,2026-04-23
2026-01-01 01:00:00+00:00,12.45,17.05,2092.35,45.2,197.425,1644.725,-4.600000000000001,2047.1499999999999,-1447.3,595.25,None,SK,2026-04-23
2026-01-01 02:00:00+00:00,0.0,0.0,2064.2,44.475,2.725,1361.0,0.0,2019.725,-1358.275,661.4499999999998,None,SK,2026-04-23
2026-01-01 03:00:00+00:00,0.0,0.0,2195.625,41.425,1.025,1612.75,0.0,2154.2,-1611.725,542.4749999999999,None,SK,2026-04-23
2026-01-01 04:00:00+00:00,0.0,19.7,1619.225,15.05,0.0,1109.25,-19.7,1604.175,-1109.25,475.2249999999999,None,SK,2026-04-23
2026-01-01 05:00:00+00:00,0.0,55.2,1613.5,0.25,0.0,1145.15,-55.2,1613.25,-1145.15,412.89999999999986,None,SK,2026-04-23
2026-01-01 06:00:00+00:00,0.0,26.775,3944.7,9.15,0.0,3332.75,-26.775,3935.5499999999997,-3332.75,576.0249999999996,None,SK,2026-04-23
2026-01-01 07:00:00+00:00,0.0,201.4,855.45,6.8,0.0,314.25,-201.4,848.6500000000001,-314.25,333.0000000000001,None,SK,2026-04-23
2026-01-01 08:00:00+00:00,0.0,248.05,809.025,56.7,0.0,489.75,-248.05,752.3249999999999,-489.75,14.52499999999992,None,SK,2026-04-23
2026-01-01 09:00:00+00:00,0.0,208.875,616.775,75.875,0.0,366.25,-208.875,540.9,-366.25,-34.22500000000002,None,SK,2026-04-23
2026-01-01 10:00:00+00:00,0.0,161.5,1167.225,6.425,0.0,1267.5,-161.5,1160.8,-1267.5,-268.20000000000005,None,SK,2026-04-23
2026-01-01 11:00:00+00:00,208.175,13.825,325.6,194.575,0.0,559.375,194.35000000000002,131.02500000000003,-559.375,-233.99999999999994,None,SK,2026-04-23
2026-01-01 12:00:00+00:00,14.575,89.5,152.925,350.35,296.125,195.25,-74.925,-197.425,100.875,-171.47500000000002,None,SK,2026-04-23
2026-01-01 13:00:00+00:00,28.549999999999997,77.225,868.25,77.85000000000001,36.7,748.95,-48.675,790.4,-712.25,29.475000000000023,None,SK,2026-04-23
2026-01-01 14:00:00+00:00,74.325,6.0,937.2750000000001,18.725,0.0,665.75,68.325,918.5500000000001,-665.75,321.1250000000001,None,SK,2026-04-23
2026-01-01 15:00:00+00:00,60.5,0.0,2311.625,3.625,0.0,2010.75,60.5,2308.0,-2010.75,357.75,None,SK,2026-04-23
2026-01-01 16:00:00+00:00,3.9499999999999997,66.025,2995.425,3.25,0.0,2422.75,-62.075,2992.175,-2422.75,507.35000000000036,None,SK,2026-04-23
2026-01-01 17:00:00+00:00,56.8,6.4,1220.9,1.4,0.0,798.75,50.4,1219.5,-798.75,471.1500000000001,None,SK,2026-04-23
2026-01-01 18:00:00+00:00,37.825,0.0,491.625,1.45,0.0,142.75,37.825,490.175,-142.75,385.25,None,SK,2026-04-23
2026-01-01 19:00:00+00:00,5.375,19.225,2381.55,1.025,0.0,2031.0,-13.850000000000001,2380.525,-2031.0,335.6750000000002,None,SK,2026-04-23
2026-01-01 20:00:00+00:00,1.475,90.675,8644.175,2.8499999999999996,0.0,8250.75,-89.2,8641.324999999999,-8250.75,301.3749999999982,None,SK,2026-04-23
2026-01-01 21:00:00+00:00,0.45,53.025000000000006,1125.75,0.3,0.0,653.25,-52.575,1125.45,-653.25,419.625,None,SK,2026-04-23
2026-01-01 22:00:00+00:00,0.0,62.75,1155.6,1.4,0.0,661.75,-62.75,1154.1999999999998,-661.75,429.6999999999998,None,SK,2026-04-23
2026-01-01 23:00:00+00:00,40.974999999999994,659.425,2527.075,42.025,0.0,1559.25,-618.4499999999999,2485.0499999999997,-1559.25,307.3499999999999,None,SK,2026-04-23
2026-01-02 00:00:00+00:00,22.475,607.4,2381.375,30.075,0.0,1534.75,-584.925,2351.3,-1534.75,231.62500000000023,None,SK,2026-04-23
2026-01-02 01:00:00+00:00,10.1,638.7,2269.275,14.825000000000001,0.0,1532.75,-628.6,2254.4500000000003,-1532.75,93.10000000000036,None,SK,2026-04-23
2026-01-02 02:00:00+00:00,0.275,570.575,2256.45,0.175,0.375,1468.125,-570.3000000000001,2256.2749999999996,-1467.75,218.22499999999945,None,SK,2026-04-23
2026-01-02 03:00:00+00:00,10.299999999999999,543.425,2226.8,6.075,0.0,1477.0,-533.125,2220.7250000000004,-1477.0,210.60000000000036,None,SK,2026-04-23
