,FI_EE,EE_FI,FI_SE_1,SE_1_FI,FI_SE_3,SE_3_FI,FI_EE_net_export,FI_SE_1_net_export,FI_SE_3_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,648.45,0.0,0.0,3511.75,0.0,1200.0,648.45,-3511.75,-1200.0,-4063.3,None,FI,2026-04-23
2026-01-01 01:00:00+00:00,540.325,0.0,0.0,1954.45,0.0,1200.0,540.325,-1954.45,-1200.0,-2614.125,None,FI,2026-04-23
2026-01-01 02:00:00+00:00,438.05,0.0,0.0,2735.975,0.0,1200.0,438.05,-2735.975,-1200.0,-3497.9249999999997,None,FI,2026-04-23
2026-01-01 03:00:00+00:00,265.25,0.0,0.0,911.4,0.0,1187.575,265.25,-911.4,-1187.575,-1833.725,None,FI,2026-04-23
2026-01-01 04:00:00+00:00,184.15,0.0,0.0,934.95,0.0,1122.625,184.15,-934.95,-1122.625,-1873.4250000000002,None,FI,2026-04-23
2026-01-01 05:00:00+00:00,159.025,0.0,0.0,2121.0,0.0,1114.875,159.025,-2121.0,-1114.875,-3076.85,None,FI,2026-04-23
2026-01-01 06:00:00+00:00,193.0,0.0,0.0,2158.325,0.0,1166.6,193.0,-2158.325,-1166.6,-3131.9249999999997,None,FI,2026-04-23
2026-01-01 07:00:00+00:00,332.175,0.0,0.0,3709.85,0.0,1185.975,332.175,-3709.85,-1185.975,-4563.65,None,FI,2026-04-23
2026-01-01 08:00:00+00:00,338.775,0.0,0.0,1713.4,0.0,1200.0,338.775,-1713.4,-1200.0,-2574.625,None,FI,2026-04-23
2026-01-01 09:00:00+00:00,238.425,0.0,0.0,2878.175,0.0,1193.675,238.425,-2878.175,-1193.675,-3833.425,None,FI,2026-04-23
2026-01-01 10:00:00+00:00,246.4,0.0,0.0,2862.525,0.0,1196.6,246.4,-2862.525,-1196.6,-3812.725,None,FI,2026-04-23
2026-01-01 11:00:00+00:00,318.225,0.0,0.0,2788.0,0.0,1200.0,318.225,-2788.0,-1200.0,-3669.775,None,FI,2026-04-23
2026-01-01 12:00:00+00:00,421.3,0.0,0.0,2718.35,0.0,1200.0,421.3,-2718.35,-1200.0,-3497.0499999999997,None,FI,2026-04-23
2026-01-01 13:00:00+00:00,360.3,0.0,0.0,2374.45,0.0,1200.0,360.3,-2374.45,-1200.0,-3214.1499999999996,None,FI,2026-04-23
2026-01-01 14:00:00+00:00,349.075,0.0,0.0,3604.975,0.0,1200.0,349.075,-3604.975,-1200.0,-4455.9,None,FI,2026-04-23
2026-01-01 15:00:00+00:00,340.525,0.0,0.0,2470.375,0.0,1200.0,340.525,-2470.375,-1200.0,-3329.85,None,FI,2026-04-23
2026-01-01 16:00:00+00:00,335.975,0.0,0.0,2055.8,0.0,1200.0,335.975,-2055.8,-1200.0,-2919.8250000000003,None,FI,2026-04-23
2026-01-01 17:00:00+00:00,405.475,0.0,0.0,2871.95,0.0,1200.0,405.475,-2871.95,-1200.0,-3666.475,None,FI,2026-04-23
2026-01-01 18:00:00+00:00,482.625,0.0,0.0,2219.975,0.0,1200.0,482.625,-2219.975,-1200.0,-2937.35,None,FI,2026-04-23
2026-01-01 19:00:00+00:00,438.25,0.0,0.0,1814.15,0.0,1190.45,438.25,-1814.15,-1190.45,-2566.3500000000004,None,FI,2026-04-23
2026-01-01 20:00:00+00:00,311.325,0.0,0.0,1952.3,0.0,1200.0,311.325,-1952.3,-1200.0,-2840.975,None,FI,2026-04-23
2026-01-01 21:00:00+00:00,304.675,0.0,0.0,2004.8,0.0,1200.0,304.675,-2004.8,-1200.0,-2900.125,None,FI,2026-04-23
2026-01-01 22:00:00+00:00,289.75,0.0,0.0,2640.575,0.0,1200.0,289.75,-2640.575,-1200.0,-3550.825,None,FI,2026-04-23
2026-01-01 23:00:00+00:00,411.45,0.0,0.0,1922.0,0.0,991.475,411.45,-1922.0,-991.475,-2502.025,None,FI,2026-04-23
2026-01-02 00:00:00+00:00,203.875,0.0,0.0,1872.725,0.0,584.475,203.875,-1872.725,-584.475,-2253.325,None,FI,2026-04-23
2026-01-02 01:00:00+00:00,288.45,0.0,0.0,1914.175,0.0,519.875,288.45,-1914.175,-519.875,-2145.6,None,FI,2026-04-23
2026-01-02 02:00:00+00:00,291.975,0.0,0.0,1919.325,0.0,338.025,291.975,-1919.325,-338.025,-1965.375,None,FI,2026-04-23
2026-01-02 03:00:00+00:00,230.75,0.0,0.0,1872.7,0.0,368.575,230.75,-1872.7,-368.575,-2010.525,None,FI,2026-04-23
2026-01-02 04:00:00+00:00,435.1,0.0,0.0,1813.05,0.0,839.75,435.1,-1813.05,-839.75,-2217.7,None,FI,2026-04-23
2026-01-02 05:00:00+00:00,941.5,0.0,0.0,1917.95,0.0,1170.5,941.5,-1917.95,-1170.5,-2146.95,None,FI,2026-04-23
2026-01-02 06:00:00+00:00,998.125,0.0,0.0,1902.15,0.0,970.625,998.125,-1902.15,-970.625,-1874.65,None,FI,2026-04-23
2026-01-02 07:00:00+00:00,980.5,0.0,0.0,1910.825,0.0,542.5,980.5,-1910.825,-542.5,-1472.825,None,FI,2026-04-23
2026-01-02 08:00:00+00:00,1009.5,0.0,0.0,1912.925,0.0,513.175,1009.5,-1912.925,-513.175,-1416.6,None,FI,2026-04-23
2026-01-02 09:00:00+00:00,963.075,0.0,0.0,1919.45,0.0,383.15,963.075,-1919.45,-383.15,-1339.525,None,FI,2026-04-23
2026-01-02 10:00:00+00:00,595.975,0.0,0.0,1925.5,0.0,468.35,595.975,-1925.5,-468.35,-1797.875,None,FI,2026-04-23
2026-01-02 11:00:00+00:00,354.9,0.0,0.0,1932.65,0.0,497.25,354.9,-1932.65,-497.25,-2075.0,None,FI,2026-04-23
2026-01-02 12:00:00+00:00,331.9,0.0,0.0,1937.725,0.0,361.9,331.9,-1937.725,-361.9,-1967.725,None,FI,2026-04-23
2026-01-02 13:00:00+00:00,344.6,0.0,0.0,1939.3,0.0,290.75,344.6,-1939.3,-290.75,-1885.4499999999998,None,FI,2026-04-23
