,HU_AT,AT_HU,HU_HR,HR_HU,HU_RO,RO_HU,HU_RS,RS_HU,HU_SI,SI_HU,HU_SK,SK_HU,HU_AT_net_export,HU_HR_net_export,HU_RO_net_export,HU_RS_net_export,HU_SI_net_export,HU_SK_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,11.375,1363.05,1017.575,865.75,2058.425,99.55,706.0,45.0,36.05,1258.6750000000002,21.375,2022.6,-1351.675,151.82500000000005,1958.8750000000002,661.0,-1222.6250000000002,-2001.225,-1803.8249999999998,None,HU,2026-04-23
2026-01-01 01:00:00+00:00,12.35,1102.95,668.2750000000001,1848.25,2119.65,38.4,604.0,45.0,21.025,26.125,45.2,2092.35,-1090.6000000000001,-1179.975,2081.25,559.0,-5.100000000000001,-2047.1499999999999,-1682.5749999999998,None,HU,2026-04-23
2026-01-01 02:00:00+00:00,0.25,1164.25,1256.5,25.325000000000003,1906.3,74.325,563.0,45.0,92.45,2229.2999999999997,44.475,2064.2,-1164.0,1231.175,1831.975,518.0,-2136.85,-2019.725,-1739.4250000000002,None,HU,2026-04-23
2026-01-01 03:00:00+00:00,0.0,0.0,525.9,1427.925,1988.05,27.725,593.0,45.0,30.65,1222.425,41.425,2195.625,0.0,-902.025,1960.325,548.0,-1191.7749999999999,-2154.2,-1739.6749999999995,None,HU,2026-04-23
2026-01-01 04:00:00+00:00,0.0,0.0,712.5,990.4749999999999,2109.1499999999996,31.2,428.0,45.0,0.0,2245.625,15.05,1619.225,0.0,-277.9749999999999,2077.95,383.0,-2245.625,-1604.175,-1666.825,None,HU,2026-04-23
2026-01-01 05:00:00+00:00,15.875,100.7,671.725,831.4,1930.35,7.7,520.0,45.0,0.15,2176.0,0.25,1613.5,-84.825,-159.67499999999995,1922.6499999999999,475.0,-2175.85,-1613.25,-1635.9500000000003,None,HU,2026-04-23
2026-01-01 06:00:00+00:00,6.625,9.725000000000001,725.625,176.02499999999998,1265.625,20.525,447.0,71.0,28.0,33.175,9.15,3944.7,-3.1000000000000014,549.6,1245.1,376.0,-5.174999999999997,-3935.5499999999997,-1773.125,None,HU,2026-04-23
2026-01-01 07:00:00+00:00,48.2,150.875,609.975,284.35,484.8,1669.1,375.0,45.0,0.075,517.6,6.8,855.45,-102.675,325.625,-1184.3,330.0,-517.525,-848.6500000000001,-1997.525,None,HU,2026-04-23
2026-01-01 08:00:00+00:00,73.125,103.2,1150.5,0.0,366.65,2790.85,414.0,80.0,0.0,177.22500000000002,56.7,809.025,-30.075000000000003,1150.5,-2424.2,334.0,-177.22500000000002,-752.3249999999999,-1899.3249999999998,None,HU,2026-04-23
2026-01-01 09:00:00+00:00,5.4,57.65,1172.325,3.0500000000000003,574.55,3054.7,535.0,105.0,7.55,180.85,75.875,616.775,-52.25,1169.275,-2480.1499999999996,430.0,-173.29999999999998,-540.9,-1647.3249999999994,None,HU,2026-04-23
2026-01-01 10:00:00+00:00,8.475,90.525,1139.35,20.925,463.1,2366.025,603.0,80.0,316.625,73.225,6.425,1167.225,-82.05000000000001,1118.425,-1902.9250000000002,523.0,243.4,-1160.8,-1260.95,None,HU,2026-04-23
2026-01-01 11:00:00+00:00,9.9,201.325,1049.225,3.6,371.225,2219.225,617.0,80.0,0.4,310.25,194.575,325.6,-191.42499999999998,1045.625,-1848.0,537.0,-309.85,-131.02500000000003,-897.675,None,HU,2026-04-23
2026-01-01 12:00:00+00:00,7.775,448.675,838.925,29.825,296.975,1427.5,589.0,80.0,25.45,458.375,350.35,152.925,-440.90000000000003,809.0999999999999,-1130.525,509.0,-432.925,197.425,-488.8250000000002,None,HU,2026-04-23
2026-01-01 13:00:00+00:00,20.924999999999997,1554.475,614.775,695.6999999999999,901.45,375.29999999999995,613.0,48.0,145.475,0.225,77.85000000000001,868.25,-1533.55,-80.92499999999995,526.1500000000001,565.0,145.25,-790.4,-1168.475,None,HU,2026-04-23
2026-01-01 14:00:00+00:00,6.0249999999999995,2628.25,154.7,976.9,1996.6,42.75,478.0,45.0,5.15,56.125,18.725,937.2750000000001,-2622.225,-822.2,1953.85,433.0,-50.975,-918.5500000000001,-2027.1000000000004,None,HU,2026-04-23
2026-01-01 15:00:00+00:00,7.65,1770.125,231.15,79.05,1510.275,76.8,593.0,45.0,874.9250000000001,1535.5,3.625,2311.625,-1762.475,152.10000000000002,1433.4750000000001,548.0,-660.5749999999999,-2308.0,-2597.475,None,HU,2026-04-23
