,IT_NORD_CH,CH_IT_NORD,IT_NORD_FR,FR_IT_NORD,IT_NORD_SI,SI_IT_NORD,IT_NORD_AT,AT_IT_NORD,IT_NORD_IT_CNOR,IT_CNOR_IT_NORD,IT_NORD_CH_net_export,IT_NORD_FR_net_export,IT_NORD_SI_net_export,IT_NORD_AT_net_export,IT_NORD_IT_CNOR_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,366.0,967.0,0.1,2829.1,680.0,0.0,165.0,0.0,2465.5,0.0,-601.0,-2829.0,680.0,165.0,2465.5,-119.5,None,IT_NORD,2026-04-23
2026-01-01 01:00:00+00:00,345.0,927.0,21.725,2845.425,680.0,5.300000000000001,165.0,0.0,2377.5,0.0,-582.0,-2823.7000000000003,674.7,165.0,2377.5,-188.5,None,IT_NORD,2026-04-23
2026-01-01 02:00:00+00:00,315.0,1089.0,7.8,2829.0,680.0,7.8,165.0,0.0,2042.25,0.0,-774.0,-2821.2,672.2,165.0,2042.25,-715.75,None,IT_NORD,2026-04-23
2026-01-01 03:00:00+00:00,344.75,1005.0,0.35,2829.35,680.35,0.35,165.0,0.0,1600.5,0.0,-660.25,-2829.0,680.0,165.0,1600.5,-1043.75,None,IT_NORD,2026-04-23
2026-01-01 04:00:00+00:00,455.5,1213.0,0.0,2829.0,680.0,0.0,165.0,0.0,1511.0,0.0,-757.5,-2829.0,680.0,165.0,1511.0,-1230.5,None,IT_NORD,2026-04-23
2026-01-01 05:00:00+00:00,344.75,1204.0,0.8,2829.8,680.0,0.0,165.0,0.0,1809.75,0.0,-859.25,-2829.0,680.0,165.0,1809.75,-1033.5,None,IT_NORD,2026-04-23
2026-01-01 06:00:00+00:00,280.0,1396.0,0.1,2829.1,680.0,0.0,165.0,0.0,2203.5,0.0,-1116.0,-2829.0,680.0,165.0,2203.5,-896.5,None,IT_NORD,2026-04-23
2026-01-01 07:00:00+00:00,512.25,1391.0,0.625,2829.125,680.0,0.0,165.0,0.5,1264.5,0.0,-878.75,-2828.5,680.0,164.5,1264.5,-1598.25,None,IT_NORD,2026-04-23
2026-01-01 08:00:00+00:00,310.0,1354.0,1.5499999999999998,2833.05,681.15,1.15,112.5,0.0,836.75,0.0,-1044.0,-2831.5,680.0,112.5,836.75,-2246.25,None,IT_NORD,2026-04-23
2026-01-01 09:00:00+00:00,450.5,1156.0,0.1,2272.6,597.45,0.1,0.0,364.0,265.25,0.0,-705.5,-2272.5,597.35,-364.0,265.25,-2479.4,None,IT_NORD,2026-04-23
